SN,时间,色温,R/G,B/G,R,G,B
产品SN,09：58：13,k2800,1.45732833530242,0.680305541419155,72.4449723571371,49.7108102561551,33.8185396856985
产品SN,09：58：30,k2800,1.4568218431937,0.679562750127996,72.4640666666667,49.7412,33.8022666666667
产品SN,10：19：41,k2800,1.45732833530242,0.680305541419155,72.4449723571371,49.7108102561551,33.8185396856985
