09:22:10 450	 start loadBaseParameter
09:22:15 450	 start loadBaseParameter
09:22:20 309	 start loadBaseParameter
09:22:25 090	 start loadBaseParameter
09:22:29 918	 start setSN
09:22:29 934	 start setSN
09:22:29 934	 start setSN
09:22:29 934	 start setSN
09:23:05 573	 start setSN
09:23:05 573	start cam_stop 
09:23:05 714	finish cam_stop 
09:23:05 917	start cam_stop 
09:23:06 042	finish cam_stop 
09:23:06 042	 start Playnew
09:23:06 042	into cam_play:deviceID1 
09:23:06 058	openDevice:deviceID1 
09:23:06 417	开始sensor power:deviceID 1 
09:23:06 792	完成sensor power:deviceID 1 
09:23:06 808	完成Pin set:deviceID 1 
09:23:07 167	完成I2C set:deviceID 1 
09:23:07 323	start InitSensor :deviceID 1 
09:23:07 807	start InitSensor failed 1 times :deviceID 1 
09:23:08 401	start InitSensor failed 2 times :deviceID 1 
09:23:08 995	start InitSensor failed 3 times :deviceID 1 
09:23:08 995	start cam_stop 
09:23:09 135	finish cam_stop 
09:23:09 354	 start Playnew
09:23:09 354	into cam_play:deviceID1 
09:23:09 370	openDevice:deviceID1 
09:23:09 760	开始sensor power:deviceID 1 
09:23:10 151	完成sensor power:deviceID 1 
09:23:10 182	完成Pin set:deviceID 1 
09:23:10 526	完成I2C set:deviceID 1 
09:23:10 682	start InitSensor :deviceID 1 
09:23:11 167	start InitSensor failed 1 times :deviceID 1 
09:23:11 760	start InitSensor failed 2 times :deviceID 1 
09:23:12 354	start InitSensor failed 3 times :deviceID 1 
09:23:39 639	 start setSN
09:23:39 639	start cam_stop 
09:23:39 780	finish cam_stop 
09:23:39 998	start cam_stop 
09:23:40 123	finish cam_stop 
09:23:40 123	 start Playnew
09:23:40 123	into cam_play:deviceID1 
09:23:40 139	openDevice:deviceID1 
09:23:40 498	开始sensor power:deviceID 1 
09:23:40 905	完成sensor power:deviceID 1 
09:23:40 936	完成Pin set:deviceID 1 
09:23:41 295	完成I2C set:deviceID 1 
09:23:41 451	start InitSensor :deviceID 1 
09:23:41 936	start InitSensor failed 1 times :deviceID 1 
09:23:42 530	start InitSensor failed 2 times :deviceID 1 
09:23:43 123	start InitSensor failed 3 times :deviceID 1 
09:23:43 123	start cam_stop 
09:23:43 264	finish cam_stop 
09:23:43 483	 start Playnew
09:23:43 483	into cam_play:deviceID1 
09:23:43 483	openDevice:deviceID1 
09:23:43 873	开始sensor power:deviceID 1 
09:23:44 264	完成sensor power:deviceID 1 
09:23:44 295	完成Pin set:deviceID 1 
09:23:44 639	完成I2C set:deviceID 1 
09:23:44 795	start InitSensor :deviceID 1 
09:23:45 279	start InitSensor failed 1 times :deviceID 1 
09:23:45 873	start InitSensor failed 2 times :deviceID 1 
09:23:46 467	start InitSensor failed 3 times :deviceID 1 
09:23:52 162	 start setSN
09:23:52 162	start cam_stop 
09:23:52 287	finish cam_stop 
09:23:52 506	start cam_stop 
09:23:52 631	finish cam_stop 
09:23:52 631	 start Playnew
09:23:52 631	into cam_play:deviceID0 
09:23:52 646	openDevice:deviceID0 
09:23:52 818	开始sensor power:deviceID 0 
09:23:53 209	完成sensor power:deviceID 0 
09:23:53 240	完成Pin set:deviceID 0 
09:23:53 599	完成I2C set:deviceID 0 
09:23:53 755	start InitSensor :deviceID 0 
09:23:54 240	start InitSensor failed 1 times :deviceID 0 
09:23:54 834	start InitSensor failed 2 times :deviceID 0 
09:23:55 427	start InitSensor failed 3 times :deviceID 0 
09:23:55 427	start cam_stop 
09:23:55 568	finish cam_stop 
09:23:55 787	 start Playnew
09:23:55 787	into cam_play:deviceID0 
09:23:55 787	openDevice:deviceID0 
09:23:55 974	开始sensor power:deviceID 0 
09:23:56 349	完成sensor power:deviceID 0 
09:23:56 380	完成Pin set:deviceID 0 
