13:29:48 509	 start loadBaseParameter
13:29:49 965	 start setSN
13:29:49 966	 start setSN
13:29:49 967	 start setSN
13:29:49 967	 start setSN
13:29:49 968	 start loadPinDef
13:29:49 972	 finished loadPinDef
13:29:49 975	 start loadPinDef
13:29:49 978	 finished loadPinDef
13:29:49 981	 start loadPinDef
13:29:49 984	 finished loadPinDef
13:29:49 987	 start loadPinDef
13:29:49 990	 finished loadPinDef
14:59:19 585	 start loadPinDef
14:59:19 589	 finished loadPinDef
14:59:19 592	 start setSN
14:59:19 593	start cam_stop 
14:59:19 696	finish cam_stop 
14:59:20 198	start cam_stop 
14:59:20 300	finish cam_stop 
14:59:20 300	 start Playnew
14:59:20 301	into cam_play:deviceID0 
14:59:20 302	openDevice:deviceID0 
14:59:20 430	开始sensor power:deviceID 0 
14:59:20 724	完成sensor power:deviceID 0 
14:59:20 738	完成Pin set:deviceID 0 
14:59:21 019	完成I2C set:deviceID 0 
14:59:21 141	start InitSensor :deviceID 0 
14:59:21 440	完成 InitSensor  :deviceID 0 
14:59:21 441	set image format  :deviceID 0 
14:59:21 460	start Video :deviceID 0 
14:59:21 470	malloc memory :deviceID 0 
14:59:21 472	 WriteI2C:34,0,998,0 
14:59:21 473	 write I2C 0x998
14:59:22 252	finished play :deviceID 0 
14:59:22 254	 1:start getImage
14:59:22 254	 2 getImage times:0
14:59:22 255	3  GrabFrame times:0,result=
14:59:22 269	 5 ImageProcess result=
14:59:22 272	7 finish getImage
14:59:22 274	 1:start getImage
14:59:22 274	 2 getImage times:0
14:59:22 275	3  GrabFrame times:0,result=
14:59:22 280	 5 ImageProcess result=
14:59:22 283	7 finish getImage
14:59:22 287	 WriteI2C:fc,0,998,100 
14:59:22 288	 write I2C 0x998
14:59:23 072	 1:start getImage
14:59:23 073	 2 getImage times:0
14:59:23 074	3  GrabFrame times:0,result=
14:59:23 079	 5 ImageProcess result=
14:59:23 095	7 finish getImage
14:59:23 101	 1:start getImage
14:59:23 104	 2 getImage times:0
14:59:23 115	3  GrabFrame times:0,result=
14:59:23 121	 5 ImageProcess result=
14:59:23 127	7 finish getImage
14:59:23 870	 1:start getImage
14:59:23 871	 2 getImage times:0
14:59:23 872	3  GrabFrame times:0,result=
14:59:23 876	 5 ImageProcess result=
14:59:23 879	7 finish getImage
14:59:23 881	 1:start getImage
14:59:23 881	 2 getImage times:0
14:59:23 882	3  GrabFrame times:0,result=
14:59:23 887	 5 ImageProcess result=
14:59:23 890	7 finish getImage
14:59:24 100	 1:start getImage
14:59:24 100	 2 getImage times:0
14:59:24 102	3  GrabFrame times:0,result=
14:59:24 108	 5 ImageProcess result=
14:59:24 111	7 finish getImage
14:59:24 114	 1:start getImage
14:59:24 115	 2 getImage times:0
14:59:24 115	3  GrabFrame times:0,result=
14:59:24 120	 5 ImageProcess result=
14:59:24 123	7 finish getImage
14:59:24 318	 1:start getImage
14:59:24 319	 2 getImage times:0
14:59:24 319	3  GrabFrame times:0,result=
14:59:24 324	 5 ImageProcess result=
14:59:24 327	7 finish getImage
14:59:24 329	 1:start getImage
14:59:24 330	 2 getImage times:0
14:59:24 354	3  GrabFrame times:0,result=
14:59:24 358	 5 ImageProcess result=
14:59:24 361	7 finish getImage
14:59:24 561	 1:start getImage
14:59:24 562	 2 getImage times:0
14:59:24 562	3  GrabFrame times:0,result=
14:59:24 567	 5 ImageProcess result=
14:59:24 569	7 finish getImage
14:59:24 572	 1:start getImage
14:59:24 572	 2 getImage times:0
14:59:24 594	3  GrabFrame times:0,result=
14:59:24 598	 5 ImageProcess result=
14:59:24 601	7 finish getImage
14:59:24 793	 1:start getImage
14:59:24 793	 2 getImage times:0
14:59:24 795	3  GrabFrame times:0,result=
14:59:24 800	 5 ImageProcess result=
14:59:24 803	7 finish getImage
14:59:24 805	 1:start getImage
14:59:24 806	 2 getImage times:0
14:59:24 834	3  GrabFrame times:0,result=
14:59:24 838	 5 ImageProcess result=
14:59:24 841	7 finish getImage
14:59:25 047	 1:start getImage
14:59:25 047	 2 getImage times:0
14:59:25 048	3  GrabFrame times:0,result=
14:59:25 052	 5 ImageProcess result=
14:59:25 056	7 finish getImage
14:59:25 057	 1:start getImage
14:59:25 058	 2 getImage times:0
14:59:25 074	3  GrabFrame times:0,result=
14:59:25 078	 5 ImageProcess result=
14:59:25 081	7 finish getImage
14:59:25 389	 1:start getImage
14:59:25 389	 2 getImage times:0
14:59:25 390	3  GrabFrame times:0,result=
14:59:25 395	 5 ImageProcess result=
14:59:25 397	7 finish getImage
14:59:25 399	 1:start getImage
14:59:25 400	 2 getImage times:0
14:59:25 400	3  GrabFrame times:0,result=
14:59:25 405	 5 ImageProcess result=
14:59:25 409	7 finish getImage
14:59:25 609	 1:start getImage
14:59:25 610	 2 getImage times:0
14:59:25 611	3  GrabFrame times:0,result=
14:59:25 617	 5 ImageProcess result=
14:59:25 621	7 finish getImage
14:59:25 623	 1:start getImage
14:59:25 623	 2 getImage times:0
14:59:25 634	3  GrabFrame times:0,result=
14:59:25 638	 5 ImageProcess result=
14:59:25 641	7 finish getImage
14:59:25 841	 1:start getImage
14:59:25 842	 2 getImage times:0
14:59:25 843	3  GrabFrame times:0,result=
14:59:25 847	 5 ImageProcess result=
14:59:25 850	7 finish getImage
14:59:25 852	 1:start getImage
14:59:25 853	 2 getImage times:0
14:59:25 874	3  GrabFrame times:0,result=
14:59:25 878	 5 ImageProcess result=
14:59:25 881	7 finish getImage
14:59:26 089	 1:start getImage
14:59:26 090	 2 getImage times:0
14:59:26 091	3  GrabFrame times:0,result=
14:59:26 096	 5 ImageProcess result=
14:59:26 099	7 finish getImage
14:59:26 101	 1:start getImage
14:59:26 101	 2 getImage times:0
14:59:26 114	3  GrabFrame times:0,result=
14:59:26 119	 5 ImageProcess result=
14:59:26 122	7 finish getImage
14:59:26 325	 1:start getImage
14:59:26 325	 2 getImage times:0
14:59:26 326	3  GrabFrame times:0,result=
14:59:26 331	 5 ImageProcess result=
14:59:26 333	7 finish getImage
14:59:26 335	 1:start getImage
14:59:26 336	 2 getImage times:0
14:59:26 354	3  GrabFrame times:0,result=
14:59:26 358	 5 ImageProcess result=
14:59:26 361	7 finish getImage
14:59:26 562	 1:start getImage
14:59:26 562	 2 getImage times:0
14:59:26 563	3  GrabFrame times:0,result=
14:59:26 567	 5 ImageProcess result=
14:59:26 571	7 finish getImage
14:59:26 575	 1:start getImage
14:59:26 575	 2 getImage times:0
14:59:26 594	3  GrabFrame times:0,result=
14:59:26 598	 5 ImageProcess result=
14:59:26 601	7 finish getImage
14:59:26 799	 1:start getImage
14:59:26 799	 2 getImage times:0
14:59:26 800	3  GrabFrame times:0,result=
14:59:26 805	 5 ImageProcess result=
14:59:26 807	7 finish getImage
14:59:26 809	 1:start getImage
14:59:26 810	 2 getImage times:0
14:59:26 834	3  GrabFrame times:0,result=
14:59:26 838	 5 ImageProcess result=
14:59:26 841	7 finish getImage
14:59:27 031	 1:start getImage
14:59:27 031	 2 getImage times:0
14:59:27 032	3  GrabFrame times:0,result=
14:59:27 036	 5 ImageProcess result=
14:59:27 039	7 finish getImage
14:59:27 041	 1:start getImage
14:59:27 042	 2 getImage times:0
14:59:27 042	3  GrabFrame times:0,result=
14:59:27 046	 5 ImageProcess result=
14:59:27 050	7 finish getImage
14:59:27 253	 1:start getImage
14:59:27 253	 2 getImage times:0
14:59:27 255	3  GrabFrame times:0,result=
14:59:27 261	 5 ImageProcess result=
14:59:27 264	7 finish getImage
14:59:27 267	 1:start getImage
14:59:27 268	 2 getImage times:0
14:59:27 274	3  GrabFrame times:0,result=
14:59:27 279	 5 ImageProcess result=
14:59:27 282	7 finish getImage
14:59:27 484	 1:start getImage
14:59:27 485	 2 getImage times:0
14:59:27 486	3  GrabFrame times:0,result=
14:59:27 490	 5 ImageProcess result=
14:59:27 493	7 finish getImage
14:59:27 495	 1:start getImage
14:59:27 496	 2 getImage times:0
14:59:27 514	3  GrabFrame times:0,result=
14:59:27 518	 5 ImageProcess result=
14:59:27 521	7 finish getImage
14:59:27 716	 1:start getImage
14:59:27 716	 2 getImage times:0
14:59:27 717	3  GrabFrame times:0,result=
14:59:27 722	 5 ImageProcess result=
14:59:27 724	7 finish getImage
14:59:27 727	 1:start getImage
14:59:27 727	 2 getImage times:0
14:59:27 754	3  GrabFrame times:0,result=
14:59:27 758	 5 ImageProcess result=
14:59:27 761	7 finish getImage
14:59:27 952	 1:start getImage
14:59:27 953	 2 getImage times:0
14:59:27 954	3  GrabFrame times:0,result=
14:59:27 962	 5 ImageProcess result=
14:59:27 966	7 finish getImage
14:59:27 969	 1:start getImage
14:59:27 970	 2 getImage times:0
14:59:27 971	3  GrabFrame times:0,result=
14:59:27 983	 5 ImageProcess result=
14:59:27 986	7 finish getImage
14:59:28 186	 1:start getImage
14:59:28 186	 2 getImage times:0
14:59:28 188	3  GrabFrame times:0,result=
14:59:28 192	 5 ImageProcess result=
14:59:28 195	7 finish getImage
14:59:28 197	 1:start getImage
14:59:28 197	 2 getImage times:0
14:59:28 198	3  GrabFrame times:0,result=
14:59:28 202	 5 ImageProcess result=
14:59:28 205	7 finish getImage
14:59:28 413	 1:start getImage
14:59:28 413	 2 getImage times:0
14:59:28 414	3  GrabFrame times:0,result=
14:59:28 419	 5 ImageProcess result=
14:59:28 448	7 finish getImage
14:59:28 450	 1:start getImage
14:59:28 450	 2 getImage times:0
14:59:28 451	3  GrabFrame times:0,result=
14:59:28 455	 5 ImageProcess result=
14:59:28 458	7 finish getImage
14:59:28 670	 1:start getImage
14:59:28 670	 2 getImage times:0
14:59:28 671	3  GrabFrame times:0,result=
14:59:28 676	 5 ImageProcess result=
14:59:28 679	7 finish getImage
14:59:28 681	 1:start getImage
14:59:28 681	 2 getImage times:0
14:59:28 682	3  GrabFrame times:0,result=
14:59:28 686	 5 ImageProcess result=
14:59:28 689	7 finish getImage
14:59:28 892	 1:start getImage
14:59:28 892	 2 getImage times:0
14:59:28 893	3  GrabFrame times:0,result=
14:59:28 898	 5 ImageProcess result=
14:59:28 901	7 finish getImage
14:59:28 905	 1:start getImage
14:59:28 905	 2 getImage times:0
14:59:28 914	3  GrabFrame times:0,result=
14:59:28 919	 5 ImageProcess result=
14:59:28 921	7 finish getImage
14:59:29 127	 1:start getImage
14:59:29 128	 2 getImage times:0
14:59:29 130	3  GrabFrame times:0,result=
14:59:29 134	 5 ImageProcess result=
14:59:29 140	7 finish getImage
14:59:29 145	 1:start getImage
14:59:29 146	 2 getImage times:0
14:59:29 154	3  GrabFrame times:0,result=
14:59:29 158	 5 ImageProcess result=
14:59:29 162	7 finish getImage
14:59:29 389	 1:start getImage
14:59:29 389	 2 getImage times:0
14:59:29 390	3  GrabFrame times:0,result=
14:59:29 395	 5 ImageProcess result=
14:59:29 398	7 finish getImage
14:59:29 400	 1:start getImage
14:59:29 401	 2 getImage times:0
14:59:29 402	3  GrabFrame times:0,result=
14:59:29 406	 5 ImageProcess result=
14:59:29 409	7 finish getImage
14:59:29 616	 1:start getImage
14:59:29 617	 2 getImage times:0
14:59:29 618	3  GrabFrame times:0,result=
14:59:29 623	 5 ImageProcess result=
14:59:29 625	7 finish getImage
14:59:29 627	 1:start getImage
14:59:29 628	 2 getImage times:0
14:59:29 634	3  GrabFrame times:0,result=
14:59:29 638	 5 ImageProcess result=
14:59:29 641	7 finish getImage
14:59:29 835	 1:start getImage
14:59:29 835	 2 getImage times:0
14:59:29 836	3  GrabFrame times:0,result=
14:59:29 841	 5 ImageProcess result=
14:59:29 843	7 finish getImage
14:59:29 845	 1:start getImage
14:59:29 846	 2 getImage times:0
14:59:29 874	3  GrabFrame times:0,result=
14:59:29 878	 5 ImageProcess result=
14:59:29 881	7 finish getImage
14:59:30 081	 1:start getImage
14:59:30 082	 2 getImage times:0
14:59:30 083	3  GrabFrame times:0,result=
14:59:30 088	 5 ImageProcess result=
14:59:30 091	7 finish getImage
14:59:30 093	 1:start getImage
14:59:30 094	 2 getImage times:0
14:59:30 114	3  GrabFrame times:0,result=
14:59:30 122	 5 ImageProcess result=
14:59:30 125	7 finish getImage
14:59:30 322	 1:start getImage
14:59:30 322	 2 getImage times:0
14:59:30 323	3  GrabFrame times:0,result=
14:59:30 328	 5 ImageProcess result=
14:59:30 331	7 finish getImage
14:59:30 333	 1:start getImage
14:59:30 333	 2 getImage times:0
14:59:30 354	3  GrabFrame times:0,result=
14:59:30 359	 5 ImageProcess result=
14:59:30 362	7 finish getImage
14:59:30 559	 1:start getImage
14:59:30 559	 2 getImage times:0
14:59:30 560	3  GrabFrame times:0,result=
14:59:30 565	 5 ImageProcess result=
14:59:30 577	7 finish getImage
14:59:30 584	 1:start getImage
14:59:30 586	 2 getImage times:0
14:59:30 594	3  GrabFrame times:0,result=
14:59:30 599	 5 ImageProcess result=
14:59:30 602	7 finish getImage
14:59:30 805	 1:start getImage
14:59:30 805	 2 getImage times:0
14:59:30 806	3  GrabFrame times:0,result=
14:59:30 810	 5 ImageProcess result=
14:59:30 813	7 finish getImage
14:59:30 815	 1:start getImage
14:59:30 815	 2 getImage times:0
14:59:30 834	3  GrabFrame times:0,result=
14:59:30 838	 5 ImageProcess result=
14:59:30 841	7 finish getImage
14:59:31 041	 1:start getImage
14:59:31 042	 2 getImage times:0
14:59:31 043	3  GrabFrame times:0,result=
14:59:31 047	 5 ImageProcess result=
14:59:31 050	7 finish getImage
14:59:31 053	 1:start getImage
14:59:31 054	 2 getImage times:0
14:59:31 074	3  GrabFrame times:0,result=
14:59:31 081	 5 ImageProcess result=
14:59:31 085	7 finish getImage
14:59:31 300	 1:start getImage
14:59:31 301	 2 getImage times:0
14:59:31 302	3  GrabFrame times:0,result=
14:59:31 308	 5 ImageProcess result=
14:59:31 311	7 finish getImage
14:59:31 313	 1:start getImage
14:59:31 313	 2 getImage times:0
14:59:31 314	3  GrabFrame times:0,result=
14:59:31 319	 5 ImageProcess result=
14:59:31 322	7 finish getImage
14:59:31 521	 1:start getImage
14:59:31 521	 2 getImage times:0
14:59:31 522	3  GrabFrame times:0,result=
14:59:31 527	 5 ImageProcess result=
14:59:31 530	7 finish getImage
14:59:31 532	 1:start getImage
14:59:31 533	 2 getImage times:0
14:59:31 554	3  GrabFrame times:0,result=
14:59:31 558	 5 ImageProcess result=
14:59:31 561	7 finish getImage
14:59:31 761	 1:start getImage
14:59:31 762	 2 getImage times:0
14:59:31 763	3  GrabFrame times:0,result=
14:59:31 769	 5 ImageProcess result=
14:59:31 789	7 finish getImage
14:59:31 802	 1:start getImage
14:59:31 805	 2 getImage times:0
14:59:31 811	3  GrabFrame times:0,result=
14:59:31 827	 5 ImageProcess result=
14:59:31 831	7 finish getImage
14:59:32 104	 1:start getImage
14:59:32 105	 2 getImage times:0
14:59:32 106	3  GrabFrame times:0,result=
14:59:32 114	 5 ImageProcess result=
14:59:32 117	7 finish getImage
14:59:32 119	 1:start getImage
14:59:32 119	 2 getImage times:0
14:59:32 121	3  GrabFrame times:0,result=
14:59:32 127	 5 ImageProcess result=
14:59:32 132	7 finish getImage
14:59:32 330	 1:start getImage
14:59:32 331	 2 getImage times:0
14:59:32 333	3  GrabFrame times:0,result=
14:59:32 339	 5 ImageProcess result=
14:59:32 342	7 finish getImage
14:59:32 343	 1:start getImage
14:59:32 344	 2 getImage times:0
14:59:32 354	3  GrabFrame times:0,result=
14:59:32 359	 5 ImageProcess result=
14:59:32 361	7 finish getImage
14:59:32 589	 1:start getImage
14:59:32 590	 2 getImage times:0
14:59:32 591	3  GrabFrame times:0,result=
14:59:32 595	 5 ImageProcess result=
14:59:32 598	7 finish getImage
14:59:32 600	 1:start getImage
14:59:32 601	 2 getImage times:0
14:59:32 602	3  GrabFrame times:0,result=
14:59:32 608	 5 ImageProcess result=
14:59:32 611	7 finish getImage
14:59:32 810	 1:start getImage
14:59:32 811	 2 getImage times:0
14:59:32 812	3  GrabFrame times:0,result=
14:59:32 818	 5 ImageProcess result=
14:59:32 821	7 finish getImage
14:59:32 822	 1:start getImage
14:59:32 823	 2 getImage times:0
14:59:32 834	3  GrabFrame times:0,result=
14:59:32 838	 5 ImageProcess result=
14:59:32 841	7 finish getImage
14:59:33 046	 1:start getImage
14:59:33 047	 2 getImage times:0
14:59:33 048	3  GrabFrame times:0,result=
14:59:33 053	 5 ImageProcess result=
14:59:33 055	7 finish getImage
14:59:33 057	 1:start getImage
14:59:33 057	 2 getImage times:0
14:59:33 074	3  GrabFrame times:0,result=
14:59:33 078	 5 ImageProcess result=
14:59:33 081	7 finish getImage
14:59:33 285	 1:start getImage
14:59:33 286	 2 getImage times:0
14:59:33 287	3  GrabFrame times:0,result=
14:59:33 291	 5 ImageProcess result=
14:59:33 295	7 finish getImage
14:59:33 296	 1:start getImage
14:59:33 297	 2 getImage times:0
14:59:33 314	3  GrabFrame times:0,result=
14:59:33 318	 5 ImageProcess result=
14:59:33 321	7 finish getImage
14:59:33 516	 1:start getImage
14:59:33 517	 2 getImage times:0
14:59:33 518	3  GrabFrame times:0,result=
14:59:33 522	 5 ImageProcess result=
14:59:33 525	7 finish getImage
14:59:33 526	 1:start getImage
14:59:33 527	 2 getImage times:0
14:59:33 554	3  GrabFrame times:0,result=
14:59:33 558	 5 ImageProcess result=
14:59:33 562	7 finish getImage
14:59:33 772	 1:start getImage
14:59:33 773	 2 getImage times:0
14:59:33 774	3  GrabFrame times:0,result=
14:59:33 778	 5 ImageProcess result=
14:59:33 781	7 finish getImage
14:59:33 783	 1:start getImage
14:59:33 784	 2 getImage times:0
14:59:33 794	3  GrabFrame times:0,result=
14:59:33 799	 5 ImageProcess result=
14:59:33 801	7 finish getImage
14:59:34 009	 1:start getImage
14:59:34 009	 2 getImage times:0
14:59:34 010	3  GrabFrame times:0,result=
14:59:34 015	 5 ImageProcess result=
14:59:34 018	7 finish getImage
14:59:34 019	 1:start getImage
14:59:34 020	 2 getImage times:0
14:59:34 034	3  GrabFrame times:0,result=
14:59:34 039	 5 ImageProcess result=
14:59:34 042	7 finish getImage
14:59:34 242	 1:start getImage
14:59:34 242	 2 getImage times:0
14:59:34 243	3  GrabFrame times:0,result=
14:59:34 248	 5 ImageProcess result=
14:59:34 251	7 finish getImage
14:59:34 253	 1:start getImage
14:59:34 254	 2 getImage times:0
14:59:34 274	3  GrabFrame times:0,result=
14:59:34 279	 5 ImageProcess result=
14:59:34 282	7 finish getImage
14:59:34 486	 1:start getImage
14:59:34 486	 2 getImage times:0
14:59:34 487	3  GrabFrame times:0,result=
14:59:34 492	 5 ImageProcess result=
14:59:34 495	7 finish getImage
14:59:34 496	 1:start getImage
14:59:34 497	 2 getImage times:0
14:59:34 513	3  GrabFrame times:0,result=
14:59:34 518	 5 ImageProcess result=
14:59:34 522	7 finish getImage
14:59:34 727	 1:start getImage
14:59:34 728	 2 getImage times:0
14:59:34 729	3  GrabFrame times:0,result=
14:59:34 735	 5 ImageProcess result=
14:59:34 738	7 finish getImage
14:59:34 740	 1:start getImage
14:59:34 741	 2 getImage times:0
14:59:34 754	3  GrabFrame times:0,result=
14:59:34 758	 5 ImageProcess result=
14:59:34 761	7 finish getImage
14:59:34 964	 1:start getImage
14:59:34 964	 2 getImage times:0
14:59:34 965	3  GrabFrame times:0,result=
14:59:34 970	 5 ImageProcess result=
14:59:34 973	7 finish getImage
14:59:34 974	 1:start getImage
14:59:34 975	 2 getImage times:0
14:59:34 994	3  GrabFrame times:0,result=
14:59:34 998	 5 ImageProcess result=
14:59:35 002	7 finish getImage
14:59:35 206	 1:start getImage
14:59:35 207	 2 getImage times:0
14:59:35 208	3  GrabFrame times:0,result=
14:59:35 212	 5 ImageProcess result=
14:59:35 215	7 finish getImage
14:59:35 218	 1:start getImage
14:59:35 218	 2 getImage times:0
14:59:35 234	3  GrabFrame times:0,result=
14:59:35 239	 5 ImageProcess result=
14:59:35 243	7 finish getImage
14:59:35 452	 1:start getImage
14:59:35 452	 2 getImage times:0
14:59:35 453	3  GrabFrame times:0,result=
14:59:35 458	 5 ImageProcess result=
14:59:35 461	7 finish getImage
14:59:35 463	 1:start getImage
14:59:35 464	 2 getImage times:0
14:59:35 474	3  GrabFrame times:0,result=
14:59:35 479	 5 ImageProcess result=
14:59:35 482	7 finish getImage
14:59:35 692	 1:start getImage
14:59:35 693	 2 getImage times:0
14:59:35 694	3  GrabFrame times:0,result=
14:59:35 699	 5 ImageProcess result=
14:59:35 702	7 finish getImage
14:59:35 704	 1:start getImage
14:59:35 704	 2 getImage times:0
14:59:35 714	3  GrabFrame times:0,result=
14:59:35 719	 5 ImageProcess result=
14:59:35 721	7 finish getImage
14:59:35 910	 1:start getImage
14:59:35 910	 2 getImage times:0
14:59:35 911	3  GrabFrame times:0,result=
14:59:35 916	 5 ImageProcess result=
14:59:35 918	7 finish getImage
14:59:35 920	 1:start getImage
14:59:35 921	 2 getImage times:0
14:59:35 922	3  GrabFrame times:0,result=
14:59:35 926	 5 ImageProcess result=
14:59:35 929	7 finish getImage
14:59:36 139	 1:start getImage
14:59:36 139	 2 getImage times:0
14:59:36 140	3  GrabFrame times:0,result=
14:59:36 145	 5 ImageProcess result=
14:59:36 148	7 finish getImage
14:59:36 150	 1:start getImage
14:59:36 150	 2 getImage times:0
14:59:36 153	3  GrabFrame times:0,result=
14:59:36 158	 5 ImageProcess result=
14:59:36 161	7 finish getImage
14:59:36 363	 1:start getImage
14:59:36 363	 2 getImage times:0
14:59:36 364	3  GrabFrame times:0,result=
14:59:36 369	 5 ImageProcess result=
14:59:36 373	7 finish getImage
14:59:36 376	 1:start getImage
14:59:36 376	 2 getImage times:0
14:59:36 394	3  GrabFrame times:0,result=
14:59:36 398	 5 ImageProcess result=
14:59:36 401	7 finish getImage
14:59:36 601	 1:start getImage
14:59:36 601	 2 getImage times:0
14:59:36 602	3  GrabFrame times:0,result=
14:59:36 607	 5 ImageProcess result=
14:59:36 610	7 finish getImage
14:59:36 611	 1:start getImage
14:59:36 612	 2 getImage times:0
14:59:36 634	3  GrabFrame times:0,result=
14:59:36 638	 5 ImageProcess result=
14:59:36 641	7 finish getImage
14:59:36 846	 1:start getImage
14:59:36 846	 2 getImage times:0
14:59:36 847	3  GrabFrame times:0,result=
14:59:36 852	 5 ImageProcess result=
14:59:36 855	7 finish getImage
14:59:36 858	 1:start getImage
14:59:36 858	 2 getImage times:0
14:59:36 875	3  GrabFrame times:0,result=
14:59:36 879	 5 ImageProcess result=
14:59:36 882	7 finish getImage
14:59:37 077	 1:start getImage
14:59:37 077	 2 getImage times:0
14:59:37 078	3  GrabFrame times:0,result=
14:59:37 083	 5 ImageProcess result=
14:59:37 087	7 finish getImage
14:59:37 089	 1:start getImage
14:59:37 090	 2 getImage times:0
14:59:37 114	3  GrabFrame times:0,result=
14:59:37 118	 5 ImageProcess result=
14:59:37 121	7 finish getImage
14:59:37 332	 1:start getImage
14:59:37 333	 2 getImage times:0
14:59:37 334	3  GrabFrame times:0,result=
14:59:37 339	 5 ImageProcess result=
14:59:37 342	7 finish getImage
14:59:37 344	 1:start getImage
14:59:37 345	 2 getImage times:0
14:59:37 354	3  GrabFrame times:0,result=
14:59:37 359	 5 ImageProcess result=
14:59:37 362	7 finish getImage
14:59:37 560	 1:start getImage
14:59:37 561	 2 getImage times:0
14:59:37 562	3  GrabFrame times:0,result=
14:59:37 566	 5 ImageProcess result=
14:59:37 569	7 finish getImage
14:59:37 571	 1:start getImage
14:59:37 572	 2 getImage times:0
