13:30:56 571	 start loadBaseParameter
13:31:01 696	 start loadBaseParameter
13:31:06 024	 start loadBaseParameter
13:31:10 352	 start loadBaseParameter
13:31:14 680	 start setSN
13:31:14 680	 start setSN
13:31:14 680	 start setSN
13:31:14 680	 start setSN
13:46:17 828	 start loadBaseParameter
13:46:23 422	 start loadBaseParameter
13:46:28 187	 start loadBaseParameter
13:46:32 875	 start loadBaseParameter
13:46:37 484	 start setSN
13:46:37 499	 start setSN
13:46:37 499	 start setSN
13:46:37 499	 start setSN
14:02:46 777	 start setSN
14:02:46 777	 start setSN
14:02:46 777	 start setSN
14:02:46 777	 start setSN
14:04:22 661	 1:start getImage
14:04:22 661	 2 getImage times:0
14:04:22 676	3  GrabFrame times:0,result=
14:04:22 739	 2 getImage times:1
14:04:22 739	3  GrabFrame times:1,result=
14:04:22 801	 2 getImage times:2
14:04:22 801	3  GrabFrame times:2,result=
14:04:22 879	 1:start getImage
14:04:22 879	 2 getImage times:0
14:04:22 879	3  GrabFrame times:0,result=
14:04:22 958	 2 getImage times:1
14:04:22 958	3  GrabFrame times:1,result=
14:04:23 020	 2 getImage times:2
14:04:23 020	3  GrabFrame times:2,result=
14:04:23 083	 1:start getImage
14:04:23 098	 2 getImage times:0
14:04:23 098	3  GrabFrame times:0,result=
14:04:23 176	 2 getImage times:1
14:04:23 176	3  GrabFrame times:1,result=
14:04:23 239	 2 getImage times:2
14:04:23 239	3  GrabFrame times:2,result=
14:04:23 317	 1:start getImage
14:04:23 333	 2 getImage times:0
14:04:23 333	3  GrabFrame times:0,result=
14:04:23 411	 2 getImage times:1
14:04:23 411	3  GrabFrame times:1,result=
14:04:23 473	 2 getImage times:2
14:04:23 473	3  GrabFrame times:2,result=
14:04:23 536	 1:start getImage
14:04:23 551	 2 getImage times:0
14:04:23 551	3  GrabFrame times:0,result=
14:04:23 614	 2 getImage times:1
14:04:23 614	3  GrabFrame times:1,result=
14:04:23 676	 2 getImage times:2
14:04:23 676	3  GrabFrame times:2,result=
14:04:23 739	 1:start getImage
14:04:23 754	 2 getImage times:0
14:04:23 754	3  GrabFrame times:0,result=
14:04:23 832	 2 getImage times:1
14:04:23 832	3  GrabFrame times:1,result=
14:04:23 895	 2 getImage times:2
14:04:23 895	3  GrabFrame times:2,result=
14:04:32 988	 start setSN
14:04:32 988	start cam_stop 
14:04:33 129	finish cam_stop 
14:04:33 644	start cam_stop 
14:04:33 769	finish cam_stop 
14:04:33 769	 start Playnew
14:04:33 769	into cam_play:deviceID0 
14:04:33 785	openDevice:deviceID0 
14:04:33 957	开始sensor power:deviceID 0 
14:04:34 332	完成sensor power:deviceID 0 
14:04:34 363	完成Pin set:deviceID 0 
14:04:34 691	完成I2C set:deviceID 0 
14:04:34 847	start InitSensor :deviceID 0 
14:04:35 332	start InitSensor failed 1 times :deviceID 0 
14:04:35 925	start InitSensor failed 2 times :deviceID 0 
14:04:36 519	start InitSensor failed 3 times :deviceID 0 
14:04:36 738	 1:start getImage
14:04:36 738	 2 getImage times:0
14:04:36 753	3  GrabFrame times:0,result=
14:04:36 816	 2 getImage times:1
14:04:36 816	3  GrabFrame times:1,result=
14:04:36 878	 2 getImage times:2
14:04:36 878	3  GrabFrame times:2,result=
14:04:36 957	 1:start getImage
14:04:36 957	 2 getImage times:0
