11:12:23 922	 start loadBaseParameter
11:12:28 847	 start loadBaseParameter
11:12:33 389	 start loadBaseParameter
11:12:37 906	 start loadBaseParameter
11:12:42 472	 start setSN
11:12:42 474	 start setSN
11:12:42 475	 start setSN
11:12:42 477	 start setSN
11:12:42 479	 start loadPinDef
11:12:42 487	 finished loadPinDef
11:12:42 494	 start loadPinDef
11:12:42 500	 finished loadPinDef
11:12:42 507	 start loadPinDef
11:12:42 513	 finished loadPinDef
11:12:42 520	 start loadPinDef
11:12:42 526	 finished loadPinDef
14:32:24 772	 start loadBaseParameter
14:32:29 928	 start loadBaseParameter
14:32:34 678	 start loadBaseParameter
14:32:39 380	 start loadBaseParameter
14:32:44 099	 start setSN
14:32:44 099	 start setSN
14:32:44 099	 start setSN
14:32:44 099	 start setSN
14:32:44 099	 start loadPinDef
14:32:44 115	 finished loadPinDef
14:32:44 115	 start loadPinDef
14:32:44 161	 finished loadPinDef
14:32:44 161	 start loadPinDef
14:32:44 161	 finished loadPinDef
14:32:44 193	 start loadPinDef
14:32:44 208	 finished loadPinDef
16:26:16 575	 start setSN
16:26:16 575	 start setSN
16:26:16 575	 start setSN
16:26:16 591	 start setSN
16:26:24 606	 start setSN
16:26:24 606	start cam_stop 
16:26:24 746	finish cam_stop 
16:26:24 965	start cam_stop 
16:26:25 090	finish cam_stop 
16:26:25 090	 start Playnew
16:26:25 090	into cam_play:deviceID0 
16:26:25 106	openDevice:deviceID0 
16:26:25 278	开始sensor power:deviceID 0 
16:26:25 668	完成sensor power:deviceID 0 
16:26:25 699	完成Pin set:deviceID 0 
16:26:26 043	完成I2C set:deviceID 0 
16:26:26 199	start InitSensor :deviceID 0 
16:26:26 809	完成 InitSensor  :deviceID 0 
16:26:26 809	set image format  :deviceID 0 
16:26:26 856	start Video :deviceID 0 
16:26:26 871	malloc memory :deviceID 0 
16:26:26 887	finished play :deviceID 0 
16:26:26 887	 start getImage
16:26:26 887	  getImage times:0
16:26:26 934	 finish getImage
16:26:26 934	 start getImage
16:26:26 934	  getImage times:0
16:26:26 981	 finish getImage
16:26:27 606	 start getImage
16:26:27 606	  getImage times:0
16:26:27 637	 finish getImage
16:26:27 637	 start getImage
16:26:27 637	  getImage times:0
16:26:27 652	 finish getImage
16:26:27 840	 start getImage
16:26:27 840	  getImage times:0
16:26:27 856	 finish getImage
16:26:27 856	 start getImage
16:26:27 856	  getImage times:0
16:26:27 871	 finish getImage
16:26:28 059	 start getImage
16:26:28 059	  getImage times:0
16:26:28 090	 finish getImage
16:26:28 090	 start getImage
16:26:28 090	  getImage times:0
16:26:28 106	 finish getImage
16:26:28 293	 start getImage
16:26:28 293	  getImage times:0
16:26:28 324	 finish getImage
16:26:28 324	 start getImage
16:26:28 324	  getImage times:0
16:26:28 340	 finish getImage
16:26:28 527	 start getImage
16:26:28 527	  getImage times:0
16:26:28 543	 finish getImage
16:26:28 559	 start getImage
16:26:28 559	  getImage times:0
16:26:28 574	 finish getImage
16:26:28 762	 start getImage
16:26:28 762	  getImage times:0
16:26:28 793	 finish getImage
16:26:28 809	 start getImage
16:26:28 809	  getImage times:0
16:26:28 824	 finish getImage
16:26:29 012	 start getImage
16:26:29 012	  getImage times:0
16:26:29 043	 finish getImage
16:26:29 059	 start getImage
16:26:29 059	  getImage times:0
16:26:29 074	 finish getImage
16:26:29 262	 start getImage
16:26:29 262	  getImage times:0
16:26:29 293	 finish getImage
16:26:29 293	 start getImage
16:26:29 293	  getImage times:0
16:26:29 309	 finish getImage
16:26:29 496	 start getImage
16:26:29 496	  getImage times:0
16:26:29 527	 finish getImage
16:26:29 527	 start getImage
16:26:29 527	  getImage times:0
16:26:29 543	 finish getImage
16:26:29 730	 start getImage
16:26:29 730	  getImage times:0
16:26:29 762	 finish getImage
16:26:29 762	 start getImage
16:26:29 762	  getImage times:0
16:26:29 777	 finish getImage
16:26:29 980	 start getImage
16:26:29 980	  getImage times:0
16:26:29 996	 finish getImage
16:26:29 996	 start getImage
16:26:29 996	  getImage times:0
16:26:30 012	 finish getImage
16:26:30 199	 start getImage
16:26:30 199	  getImage times:0
16:26:30 215	 finish getImage
16:26:30 215	 start getImage
16:26:30 230	  getImage times:0
16:26:30 246	 finish getImage
16:26:30 449	 start getImage
16:26:30 449	  getImage times:0
16:26:30 480	 finish getImage
16:26:30 496	 start getImage
16:26:30 496	  getImage times:0
16:26:30 512	 finish getImage
16:26:30 699	 start getImage
16:26:30 699	  getImage times:0
16:26:30 715	 finish getImage
16:26:30 730	 start getImage
16:26:30 730	  getImage times:0
16:26:30 730	 finish getImage
16:26:30 918	 start getImage
16:26:30 918	  getImage times:0
16:26:30 949	 finish getImage
16:26:30 949	 start getImage
16:26:30 949	  getImage times:0
16:26:30 965	 finish getImage
16:26:31 152	 start getImage
16:26:31 152	  getImage times:0
16:26:31 183	 finish getImage
16:26:31 183	 start getImage
16:26:31 183	  getImage times:0
16:26:31 199	 finish getImage
16:26:31 387	 start getImage
16:26:31 387	  getImage times:0
16:26:31 402	 finish getImage
16:26:31 402	 start getImage
16:26:31 402	  getImage times:0
16:26:31 418	 finish getImage
16:26:31 590	 start getImage
16:26:31 590	  getImage times:0
16:26:31 621	 finish getImage
16:26:31 621	 start getImage
16:26:31 637	  getImage times:0
16:26:31 637	 finish getImage
16:26:31 824	 start getImage
16:26:31 824	  getImage times:0
16:26:31 855	 finish getImage
16:26:31 871	 start getImage
16:26:31 871	  getImage times:0
16:26:31 902	 finish getImage
16:26:32 090	 start getImage
16:26:32 090	  getImage times:0
16:26:32 090	 finish getImage
16:26:32 105	 start getImage
16:26:32 105	  getImage times:0
16:26:32 121	 finish getImage
16:26:32 308	 start getImage
16:26:32 308	  getImage times:0
16:26:32 340	 finish getImage
16:26:32 355	 start getImage
16:26:32 355	  getImage times:0
16:26:32 371	 finish getImage
16:26:32 558	 start getImage
16:26:32 558	  getImage times:0
16:26:32 590	 finish getImage
16:26:32 590	 start getImage
16:26:32 590	  getImage times:0
16:26:32 605	 finish getImage
16:26:32 793	 start getImage
16:26:32 793	  getImage times:0
16:26:32 824	 finish getImage
16:26:32 840	 start getImage
16:26:32 840	  getImage times:0
16:26:32 855	 finish getImage
16:26:33 043	 start getImage
16:26:33 043	  getImage times:0
16:26:33 074	 finish getImage
16:26:33 074	 start getImage
16:26:33 074	  getImage times:0
16:26:33 090	 finish getImage
16:26:33 277	 start getImage
16:26:33 277	  getImage times:0
16:26:33 308	 finish getImage
16:26:33 308	 start getImage
16:26:33 308	  getImage times:0
16:26:33 340	 finish getImage
16:26:33 511	 start getImage
16:26:33 511	  getImage times:0
16:26:33 543	 finish getImage
16:26:33 558	 start getImage
16:26:33 558	  getImage times:0
16:26:33 574	 finish getImage
16:26:33 761	 start getImage
16:26:33 761	  getImage times:0
16:26:33 793	 finish getImage
16:26:33 793	 start getImage
16:26:33 793	  getImage times:0
16:26:33 808	 finish getImage
16:26:33 996	 start getImage
16:26:33 996	  getImage times:0
16:26:34 027	 finish getImage
16:26:34 027	 start getImage
16:26:34 027	  getImage times:0
16:26:34 058	 finish getImage
16:26:34 246	 start getImage
16:26:34 246	  getImage times:0
16:26:34 277	 finish getImage
16:26:34 277	 start getImage
16:26:34 277	  getImage times:0
16:26:34 293	 finish getImage
16:26:34 480	 start getImage
16:26:34 480	  getImage times:0
16:26:34 511	 finish getImage
16:26:34 511	 start getImage
16:26:34 511	  getImage times:0
16:26:34 527	 finish getImage
16:26:34 730	 start getImage
16:26:34 730	  getImage times:0
16:26:34 777	 finish getImage
16:26:34 777	 start getImage
16:26:34 777	  getImage times:0
16:26:34 793	 finish getImage
16:26:34 980	 start getImage
16:26:34 980	  getImage times:0
16:26:34 996	 finish getImage
