00:01:10 045	 2 getImage times:0
00:01:10 046	3  GrabFrame times:0,result=
00:01:10 050	 5 ImageProcess result=
00:01:10 054	7 finish getImage
00:01:10 473	 1:start getImage
00:01:10 473	 2 getImage times:0
00:01:10 475	3  GrabFrame times:0,result=
00:01:10 479	 5 ImageProcess result=
00:01:10 483	7 finish getImage
00:01:10 485	 1:start getImage
00:01:10 485	 2 getImage times:0
00:01:10 486	3  GrabFrame times:0,result=
00:01:10 491	 5 ImageProcess result=
00:01:10 494	7 finish getImage
00:01:10 914	 1:start getImage
00:01:10 915	 2 getImage times:0
00:01:10 916	3  GrabFrame times:0,result=
00:01:10 921	 5 ImageProcess result=
00:01:10 924	7 finish getImage
00:01:10 926	 1:start getImage
00:01:10 926	 2 getImage times:0
00:01:10 927	3  GrabFrame times:0,result=
00:01:10 933	 5 ImageProcess result=
00:01:10 936	7 finish getImage
00:01:11 358	 1:start getImage
00:01:11 359	 2 getImage times:0
00:01:11 360	3  GrabFrame times:0,result=
00:01:11 364	 5 ImageProcess result=
00:01:11 367	7 finish getImage
00:01:11 369	 1:start getImage
00:01:11 370	 2 getImage times:0
00:01:11 371	3  GrabFrame times:0,result=
00:01:11 376	 5 ImageProcess result=
00:01:11 379	7 finish getImage
00:01:14 362	 1:start getImage
00:01:14 363	 2 getImage times:0
00:01:14 364	3  GrabFrame times:0,result=
00:01:14 368	 5 ImageProcess result=
00:01:14 371	7 finish getImage
00:01:14 374	 1:start getImage
00:01:14 374	 2 getImage times:0
00:01:14 402	3  GrabFrame times:0,result=
00:01:14 406	 5 ImageProcess result=
00:01:14 409	7 finish getImage
00:01:14 958	 1:start getImage
00:01:14 959	 2 getImage times:0
00:01:14 960	3  GrabFrame times:0,result=
00:01:14 965	 5 ImageProcess result=
00:01:14 968	7 finish getImage
00:01:14 969	 1:start getImage
00:01:14 970	 2 getImage times:0
00:01:14 971	3  GrabFrame times:0,result=
00:01:14 976	 5 ImageProcess result=
00:01:14 979	7 finish getImage
00:01:15 739	 1:start getImage
