14:18:05 243	 start loadBaseParameter
14:18:10 664	 start loadBaseParameter
14:18:14 961	 start loadBaseParameter
14:18:19 289	 start loadBaseParameter
14:18:23 648	 start setSN
14:18:23 663	 start setSN
14:18:23 663	 start setSN
14:18:23 663	 start setSN
14:18:23 694	 start loadPinDef
14:18:23 710	 finished loadPinDef
14:18:23 710	 start loadPinDef
14:18:23 726	 finished loadPinDef
14:18:23 726	 start loadPinDef
14:18:23 726	 finished loadPinDef
14:18:23 741	 start loadPinDef
14:18:23 741	 finished loadPinDef
14:22:58 358	 start loadBaseParameter
14:23:03 342	 start loadBaseParameter
14:23:08 138	 start loadBaseParameter
14:23:12 779	 start loadBaseParameter
14:23:17 575	 start setSN
14:23:17 575	 start setSN
14:23:17 575	 start setSN
14:23:17 575	 start setSN
14:23:17 591	 start loadPinDef
14:23:17 591	 finished loadPinDef
14:23:17 607	 start loadPinDef
14:23:17 622	 finished loadPinDef
14:23:17 622	 start loadPinDef
14:23:17 622	 finished loadPinDef
14:23:17 638	 start loadPinDef
14:23:17 638	 finished loadPinDef
14:28:47 317	 start loadPinDef
14:28:47 348	 finished loadPinDef
14:28:47 348	 start setSN
14:28:47 363	start cam_stop 
14:28:47 488	finish cam_stop 
14:28:47 707	start cam_stop 
14:28:47 832	finish cam_stop 
14:28:47 832	 start Playnew
14:28:47 832	into cam_play:deviceID0 
14:28:47 848	openDevice:deviceID0 
14:28:48 020	开始sensor power:deviceID 0 
14:28:48 410	完成sensor power:deviceID 0 
14:28:48 426	完成Pin set:deviceID 0 
14:28:48 785	完成I2C set:deviceID 0 
14:28:48 942	start InitSensor :deviceID 0 
14:28:49 551	完成 InitSensor  :deviceID 0 
14:28:49 551	set image format  :deviceID 0 
14:28:49 598	start Video :deviceID 0 
14:28:49 613	malloc memory :deviceID 0 
14:28:49 613	finished play :deviceID 0 
14:28:49 629	 start getImage
14:28:49 629	  getImage times:0
14:28:49 676	 finish getImage
14:28:49 692	 start getImage
14:28:49 692	  getImage times:0
14:28:49 707	 finish getImage
14:28:50 160	 start getImage
14:28:50 160	  getImage times:0
14:28:50 192	 finish getImage
14:28:50 207	 start getImage
14:28:50 207	  getImage times:0
14:28:50 238	 finish getImage
14:28:50 426	 start getImage
14:28:50 426	  getImage times:0
14:28:50 457	 finish getImage
14:28:50 473	 start getImage
14:28:50 473	  getImage times:0
14:28:50 488	 finish getImage
14:28:50 676	 start getImage
14:28:50 676	  getImage times:0
14:28:50 707	 finish getImage
14:28:50 707	 start getImage
14:28:50 707	  getImage times:0
14:28:50 738	 finish getImage
14:28:50 910	 start getImage
14:28:50 910	  getImage times:0
14:28:50 941	 finish getImage
14:28:50 957	 start getImage
14:28:50 957	  getImage times:0
14:28:50 973	 finish getImage
14:28:51 160	 start getImage
14:28:51 160	  getImage times:0
14:28:51 191	 finish getImage
14:28:51 191	 start getImage
14:28:51 191	  getImage times:0
14:28:51 207	 finish getImage
14:28:51 395	 start getImage
14:28:51 395	  getImage times:0
14:28:51 426	 finish getImage
14:28:51 441	 start getImage
14:28:51 441	  getImage times:0
14:28:51 457	 finish getImage
14:28:51 645	 start getImage
14:28:51 645	  getImage times:0
14:28:51 676	 finish getImage
14:28:51 676	 start getImage
14:28:51 676	  getImage times:0
14:28:51 691	 finish getImage
14:28:51 879	 start getImage
14:28:51 879	  getImage times:0
14:28:51 910	 finish getImage
14:28:51 910	 start getImage
14:28:51 910	  getImage times:0
14:28:51 926	 finish getImage
14:28:52 113	 start getImage
14:28:52 113	  getImage times:0
14:28:52 145	 finish getImage
14:28:52 160	 start getImage
14:28:52 160	  getImage times:0
14:28:52 176	 finish getImage
14:28:52 363	 start getImage
14:28:52 363	  getImage times:0
14:28:52 395	 finish getImage
14:28:52 395	 start getImage
14:28:52 395	  getImage times:0
14:28:52 410	 finish getImage
14:28:52 598	 start getImage
14:28:52 598	  getImage times:0
14:28:52 629	 finish getImage
14:28:52 629	 start getImage
14:28:52 629	  getImage times:0
14:28:52 644	 finish getImage
14:28:52 832	 start getImage
14:28:52 832	  getImage times:0
14:28:52 863	 finish getImage
14:28:52 879	 start getImage
14:28:52 879	  getImage times:0
14:28:52 894	 finish getImage
14:28:53 082	 start getImage
14:28:53 082	  getImage times:0
14:28:53 113	 finish getImage
14:28:53 113	 start getImage
14:28:53 113	  getImage times:0
14:28:53 129	 finish getImage
14:28:53 316	 start getImage
14:28:53 316	  getImage times:0
14:28:53 348	 finish getImage
14:28:53 348	 start getImage
14:28:53 348	  getImage times:0
14:28:53 363	 finish getImage
14:28:53 551	 start getImage
14:28:53 551	  getImage times:0
14:28:53 582	 finish getImage
14:28:53 598	 start getImage
14:28:53 598	  getImage times:0
14:28:53 613	 finish getImage
14:28:53 801	 start getImage
14:28:53 801	  getImage times:0
14:28:53 832	 finish getImage
14:28:53 832	 start getImage
14:28:53 832	  getImage times:0
14:28:53 848	 finish getImage
14:28:54 035	 start getImage
14:28:54 035	  getImage times:0
14:28:54 066	 finish getImage
14:28:54 066	 start getImage
14:28:54 066	  getImage times:0
14:28:54 082	 finish getImage
14:28:54 269	 start getImage
14:28:54 269	  getImage times:0
