00:00:00 412	 1:start getImage
00:00:00 428	 2 getImage times:0
00:00:00 429	3  GrabFrame times:0,result=
00:00:00 433	 5 ImageProcess result=
00:00:00 435	7 finish getImage
00:00:00 437	 1:start getImage
00:00:00 437	 2 getImage times:0
00:00:00 438	3  GrabFrame times:0,result=
00:00:00 442	 5 ImageProcess result=
00:00:00 444	7 finish getImage
00:00:01 956	 1:start getImage
00:00:01 957	 2 getImage times:0
00:00:01 957	3  GrabFrame times:0,result=
00:00:01 961	 5 ImageProcess result=
00:00:01 964	7 finish getImage
00:00:01 965	 1:start getImage
00:00:01 966	 2 getImage times:0
00:00:01 967	3  GrabFrame times:0,result=
00:00:01 971	 5 ImageProcess result=
00:00:01 973	7 finish getImage
00:00:02 434	 1:start getImage
00:00:02 435	 2 getImage times:0
00:00:02 436	3  GrabFrame times:0,result=
00:00:02 440	 5 ImageProcess result=
00:00:02 442	7 finish getImage
00:00:02 443	 1:start getImage
00:00:02 444	 2 getImage times:0
00:00:02 445	3  GrabFrame times:0,result=
00:00:02 449	 5 ImageProcess result=
00:00:02 451	7 finish getImage
00:00:02 898	 1:start getImage
00:00:02 899	 2 getImage times:0
00:00:02 900	3  GrabFrame times:0,result=
00:00:02 904	 5 ImageProcess result=
00:00:02 907	7 finish getImage
00:00:02 909	 1:start getImage
00:00:02 909	 2 getImage times:0
00:00:02 917	3  GrabFrame times:0,result=
00:00:02 922	 5 ImageProcess result=
00:00:02 924	7 finish getImage
00:00:03 382	 1:start getImage
00:00:03 383	 2 getImage times:0
00:00:03 383	3  GrabFrame times:0,result=
00:00:03 387	 5 ImageProcess result=
00:00:03 390	7 finish getImage
00:00:03 391	 1:start getImage
00:00:03 391	 2 getImage times:0
00:00:03 398	3  GrabFrame times:0,result=
00:00:03 402	 5 ImageProcess result=
00:00:03 404	7 finish getImage
00:00:05 282	 1:start getImage
00:00:05 283	 2 getImage times:0
00:00:05 283	3  GrabFrame times:0,result=
00:00:05 287	 5 ImageProcess result=
00:00:05 290	7 finish getImage
00:00:05 291	 1:start getImage
00:00:05 291	 2 getImage times:0
00:00:05 298	3  GrabFrame times:0,result=
00:00:05 302	 5 ImageProcess result=
00:00:05 304	7 finish getImage
00:00:05 751	 1:start getImage
00:00:05 752	 2 getImage times:0
00:00:05 753	3  GrabFrame times:0,result=
00:00:05 757	 5 ImageProcess result=
00:00:05 760	7 finish getImage
00:00:05 762	 1:start getImage
00:00:05 762	 2 getImage times:0
00:00:05 763	3  GrabFrame times:0,result=
00:00:05 767	 5 ImageProcess result=
00:00:05 769	7 finish getImage
00:00:06 225	 1:start getImage
00:00:06 226	 2 getImage times:0
00:00:06 226	3  GrabFrame times:0,result=
00:00:06 230	 5 ImageProcess result=
00:00:06 232	7 finish getImage
00:00:06 234	 1:start getImage
00:00:06 234	 2 getImage times:0
00:00:06 238	3  GrabFrame times:0,result=
00:00:06 241	 5 ImageProcess result=
00:00:06 243	7 finish getImage
00:00:06 702	 1:start getImage
00:00:06 703	 2 getImage times:0
00:00:06 703	3  GrabFrame times:0,result=
00:00:06 707	 5 ImageProcess result=
00:00:06 710	7 finish getImage
00:00:06 711	 1:start getImage
00:00:06 711	 2 getImage times:0
00:00:06 718	3  GrabFrame times:0,result=
00:00:06 722	 5 ImageProcess result=
00:00:06 724	7 finish getImage
00:00:07 172	 1:start getImage
00:00:07 173	 2 getImage times:0
00:00:07 174	3  GrabFrame times:0,result=
00:00:07 178	 5 ImageProcess result=
00:00:07 182	7 finish getImage
00:00:07 183	 1:start getImage
00:00:07 184	 2 getImage times:0
00:00:07 184	3  GrabFrame times:0,result=
00:00:07 188	 5 ImageProcess result=
00:00:07 191	7 finish getImage
00:00:07 649	 1:start getImage
00:00:07 650	 2 getImage times:0
00:00:07 650	3  GrabFrame times:0,result=
00:00:07 654	 5 ImageProcess result=
00:00:07 656	7 finish getImage
00:00:07 658	 1:start getImage
00:00:07 658	 2 getImage times:0
00:00:07 659	3  GrabFrame times:0,result=
00:00:07 663	 5 ImageProcess result=
00:00:07 665	7 finish getImage
00:00:08 123	 1:start getImage
00:00:08 124	 2 getImage times:0
00:00:08 124	3  GrabFrame times:0,result=
00:00:08 128	 5 ImageProcess result=
00:00:08 131	7 finish getImage
00:00:08 132	 1:start getImage
00:00:08 132	 2 getImage times:0
00:00:08 137	3  GrabFrame times:0,result=
00:00:08 141	 5 ImageProcess result=
00:00:08 144	7 finish getImage
00:00:08 590	 1:start getImage
00:00:08 591	 2 getImage times:0
00:00:08 592	3  GrabFrame times:0,result=
00:00:08 596	 5 ImageProcess result=
00:00:08 599	7 finish getImage
00:00:08 600	 1:start getImage
00:00:08 601	 2 getImage times:0
00:00:08 602	3  GrabFrame times:0,result=
00:00:08 606	 5 ImageProcess result=
00:00:08 608	7 finish getImage
00:00:09 066	 1:start getImage
00:00:09 067	 2 getImage times:0
00:00:09 067	3  GrabFrame times:0,result=
00:00:09 071	 5 ImageProcess result=
00:00:09 074	7 finish getImage
00:00:09 075	 1:start getImage
00:00:09 076	 2 getImage times:0
00:00:09 078	3  GrabFrame times:0,result=
00:00:09 082	 5 ImageProcess result=
00:00:09 084	7 finish getImage
00:00:09 542	 1:start getImage
00:00:09 543	 2 getImage times:0
00:00:09 543	3  GrabFrame times:0,result=
00:00:09 547	 5 ImageProcess result=
00:00:09 550	7 finish getImage
00:00:09 551	 1:start getImage
00:00:09 551	 2 getImage times:0
00:00:09 558	3  GrabFrame times:0,result=
00:00:09 562	 5 ImageProcess result=
00:00:09 564	7 finish getImage
00:00:10 012	 1:start getImage
00:00:10 013	 2 getImage times:0
00:00:10 014	3  GrabFrame times:0,result=
00:00:10 018	 5 ImageProcess result=
00:00:10 021	7 finish getImage
00:00:10 023	 1:start getImage
00:00:10 023	 2 getImage times:0
00:00:10 024	3  GrabFrame times:0,result=
00:00:10 028	 5 ImageProcess result=
00:00:10 030	7 finish getImage
00:00:10 489	 1:start getImage
00:00:10 490	 2 getImage times:0
00:00:10 490	3  GrabFrame times:0,result=
00:00:10 494	 5 ImageProcess result=
00:00:10 497	7 finish getImage
00:00:10 498	 1:start getImage
00:00:10 498	 2 getImage times:0
00:00:10 499	3  GrabFrame times:0,result=
00:00:10 503	 5 ImageProcess result=
