09:15:02 409	 start loadBaseParameter
09:15:07 518	 start loadBaseParameter
09:15:11 846	 start loadBaseParameter
09:15:16 174	 start loadBaseParameter
09:15:20 517	 start setSN
09:15:20 533	 start setSN
09:15:20 533	 start setSN
09:15:20 533	 start setSN
09:15:20 549	 start loadPinDef
09:15:20 564	 finished loadPinDef
09:15:20 580	 start loadPinDef
09:15:20 580	 finished loadPinDef
09:15:20 596	 start loadPinDef
09:15:20 596	 finished loadPinDef
09:15:20 611	 start loadPinDef
09:15:20 611	 finished loadPinDef
09:58:24 509	 start setSN
09:58:24 509	 start setSN
09:58:24 509	 start setSN
09:58:24 509	 start setSN
10:05:16 325	 start setSN
10:05:18 340	start cam_stop 
10:05:18 465	finish cam_stop 
10:05:18 465	 start Playnew
10:05:18 465	into cam_play:deviceID0 
10:05:18 481	openDevice:deviceID0 
10:05:18 653	开始sensor power:deviceID 0 
10:05:19 028	完成sensor power:deviceID 0 
10:05:19 044	完成Pin set:deviceID 0 
10:05:19 372	完成I2C set:deviceID 0 
10:05:19 528	start InitSensor :deviceID 0 
10:05:20 137	完成 InitSensor  :deviceID 0 
10:05:20 137	set image format  :deviceID 0 
10:05:20 168	start Video :deviceID 0 
10:05:20 168	malloc memory :deviceID 0 
10:05:20 168	finished play :deviceID 0 
10:05:20 168	start cam_stop 
10:05:20 325	finish cam_stop 
10:05:20 325	 start Playnew
10:05:20 325	into cam_play:deviceID0 
10:05:20 325	openDevice:deviceID0 
10:05:20 481	开始sensor power:deviceID 0 
10:05:20 856	完成sensor power:deviceID 0 
10:05:20 887	完成Pin set:deviceID 0 
10:05:21 215	完成I2C set:deviceID 0 
10:05:21 371	start InitSensor :deviceID 0 
10:05:21 981	完成 InitSensor  :deviceID 0 
10:05:21 981	set image format  :deviceID 0 
10:05:22 012	start Video :deviceID 0 
10:05:22 012	malloc memory :deviceID 0 
10:05:22 012	finished play :deviceID 0 
10:05:24 028	 start getImage
10:05:24 028	  getImage times:0
10:05:24 074	 finish getImage
10:05:24 090	 start getImage
10:05:24 090	  getImage times:0
10:05:24 106	 finish getImage
10:06:27 633	 start getImage
10:06:27 633	  getImage times:0
10:06:27 664	 finish getImage
10:06:27 680	 start getImage
10:06:27 680	  getImage times:0
10:06:27 726	 finish getImage
10:06:28 492	 start getImage
10:06:28 492	  getImage times:0
10:06:28 523	 finish getImage
10:06:28 523	 start getImage
10:06:28 523	  getImage times:0
10:06:28 539	 finish getImage
10:06:29 367	 start getImage
10:06:29 367	  getImage times:0
10:06:29 398	 finish getImage
10:06:29 414	 start getImage
10:06:29 414	  getImage times:0
10:06:29 429	 finish getImage
10:06:30 257	 start getImage
10:06:30 257	  getImage times:0
10:06:30 289	 finish getImage
10:06:30 289	 start getImage
10:06:30 289	  getImage times:0
10:06:30 304	 finish getImage
10:06:30 882	 start getImage
10:06:30 882	  getImage times:0
10:06:30 914	 finish getImage
10:06:30 914	 start getImage
10:06:30 914	  getImage times:0
10:06:30 945	 finish getImage
10:06:31 507	 start getImage
10:06:31 507	  getImage times:0
10:06:31 507	 finish getImage
10:06:31 523	 start getImage
10:06:31 523	  getImage times:0
10:06:31 539	 finish getImage
10:06:32 117	 start getImage
10:06:32 117	  getImage times:0
10:06:32 148	 finish getImage
10:06:32 164	 start getImage
10:06:32 164	  getImage times:0
10:06:32 179	 finish getImage
10:06:32 742	 start getImage
10:06:32 742	  getImage times:0
10:06:32 773	 finish getImage
10:06:32 773	 start getImage
10:06:32 773	  getImage times:0
10:06:32 789	 finish getImage
10:06:33 367	 start getImage
10:06:33 367	  getImage times:0
10:06:33 414	 finish getImage
10:06:33 414	 start getImage
10:06:33 414	  getImage times:0
10:06:33 429	 finish getImage
10:06:34 007	 start getImage
10:06:34 007	  getImage times:0
10:06:34 038	 finish getImage
10:06:34 054	 start getImage
10:06:34 054	  getImage times:0
