09:36:00 327	 start loadBaseParameter
09:36:06 264	 start loadBaseParameter
09:36:11 061	 start loadBaseParameter
09:36:15 936	 start loadBaseParameter
09:36:20 826	 start setSN
09:36:20 841	 start setSN
09:36:20 841	 start setSN
09:36:20 841	 start setSN
09:36:20 873	 start loadPinDef
09:36:20 920	 finished loadPinDef
09:36:20 935	 start loadPinDef
09:36:20 951	 finished loadPinDef
09:36:20 966	 start loadPinDef
09:36:20 966	 finished loadPinDef
09:36:20 966	 start loadPinDef
09:36:20 982	 finished loadPinDef
10:30:29 985	 start loadBaseParameter
10:30:34 938	 start loadBaseParameter
10:30:39 797	 start loadBaseParameter
10:30:44 594	 start loadBaseParameter
10:30:49 359	 start setSN
10:30:49 359	 start setSN
10:30:49 359	 start setSN
10:30:49 374	 start setSN
10:30:49 374	 start loadPinDef
10:30:49 390	 finished loadPinDef
10:30:49 406	 start loadPinDef
10:30:49 406	 finished loadPinDef
10:30:49 421	 start loadPinDef
10:30:49 421	 finished loadPinDef
10:30:49 421	 start loadPinDef
10:30:49 437	 finished loadPinDef
10:31:29 013	 start setSN
10:31:29 013	 start setSN
10:31:29 013	 start setSN
10:31:29 013	 start setSN
10:34:44 430	 start loadPinDef
10:34:44 430	 finished loadPinDef
10:34:44 446	 start setSN
10:34:46 461	start cam_stop 
10:34:46 586	finish cam_stop 
10:34:46 586	 start Playnew
10:34:46 586	into cam_play:deviceID0 
10:34:46 586	openDevice:deviceID0 
10:34:46 727	开始sensor power:deviceID 0 
10:34:47 102	完成sensor power:deviceID 0 
10:34:47 133	完成Pin set:deviceID 0 
10:34:47 477	完成I2C set:deviceID 0 
10:34:47 633	start InitSensor :deviceID 0 
10:34:48 117	完成 InitSensor  :deviceID 0 
10:34:48 117	set image format  :deviceID 0 
10:34:48 164	start Video :deviceID 0 
10:34:48 180	malloc memory :deviceID 0 
10:34:48 211	disable ISX019 AE :deviceID 0 
10:34:48 211	 WriteI2C:34,0,998,0 
10:34:48 211	 write I2C 0x998
10:34:49 164	finished play :deviceID 0 
10:34:51 174	 1:start getImage
10:34:51 174	 2 getImage times:0
10:34:51 174	3  GrabFrame times:0,result=
10:34:51 174	 5 ImageProcess result=
10:34:51 174	7 finish getImage
10:34:51 190	 1:start getImage
10:34:51 190	 2 getImage times:0
10:34:51 190	3  GrabFrame times:0,result=
10:34:51 190	 5 ImageProcess result=
10:34:51 206	7 finish getImage
10:35:27 861	 start loadPinDef
10:35:27 861	 finished loadPinDef
10:35:27 861	 start setSN
