19:22:08 689	 start loadBaseParameter
19:22:09 685	 start loadBaseParameter
19:22:10 489	 start loadBaseParameter
19:22:11 329	 start loadBaseParameter
19:22:12 169	 start setSN
19:22:12 179	 start setSN
19:22:12 179	 start setSN
19:22:12 179	 start setSN
19:22:12 210	 start loadPinDef
19:22:12 212	 finished loadPinDef
19:22:12 219	 start loadPinDef
19:22:12 219	 finished loadPinDef
19:22:12 230	 start loadPinDef
19:22:12 232	 finished loadPinDef
19:22:12 239	 start loadPinDef
19:22:12 239	 finished loadPinDef
19:22:56 909	 start loadBaseParameter
19:22:57 842	 start loadBaseParameter
19:22:58 703	 start loadBaseParameter
19:22:59 539	 start loadBaseParameter
19:23:00 379	 start setSN
19:23:00 389	 start setSN
19:23:00 389	 start setSN
19:23:00 395	 start setSN
19:23:00 399	 start loadPinDef
19:23:00 399	 finished loadPinDef
19:23:00 409	 start loadPinDef
19:23:00 409	 finished loadPinDef
19:23:00 419	 start loadPinDef
19:23:00 423	 finished loadPinDef
19:23:00 429	 start loadPinDef
19:23:00 429	 finished loadPinDef
19:24:17 916	 start loadBaseParameter
19:24:18 809	 start loadBaseParameter
19:24:19 659	 start loadBaseParameter
19:24:27 501	 start loadBaseParameter
19:24:28 342	 start setSN
19:24:28 349	 start setSN
19:24:28 349	 start setSN
19:24:28 349	 start setSN
19:24:28 359	 start loadPinDef
19:24:28 359	 finished loadPinDef
19:24:28 370	 start loadPinDef
19:24:28 370	 finished loadPinDef
19:24:28 382	 start loadPinDef
19:24:28 382	 finished loadPinDef
19:24:28 389	 start loadPinDef
19:24:28 397	 finished loadPinDef
19:28:01 889	 start loadBaseParameter
19:28:02 832	 start loadBaseParameter
19:28:03 689	 start loadBaseParameter
19:28:04 552	 start loadBaseParameter
19:28:05 409	 start setSN
19:28:05 409	 start setSN
19:28:05 419	 start setSN
19:28:05 419	 start setSN
19:28:05 429	 start loadPinDef
19:28:05 430	 finished loadPinDef
19:28:05 480	 start loadPinDef
19:28:05 482	 finished loadPinDef
19:28:05 509	 start loadPinDef
19:28:05 509	 finished loadPinDef
19:28:05 519	 start loadPinDef
19:28:05 519	 finished loadPinDef
19:44:33 521	 start loadBaseParameter
19:44:34 440	 start loadBaseParameter
19:44:35 281	 start loadBaseParameter
19:44:36 118	 start loadBaseParameter
19:44:36 951	 start setSN
19:44:36 958	 start setSN
19:44:36 959	 start setSN
19:44:36 959	 start setSN
19:44:36 969	 start loadPinDef
19:44:36 972	 finished loadPinDef
19:44:36 978	 start loadPinDef
19:44:36 989	 finished loadPinDef
19:44:36 994	 start loadPinDef
19:44:36 998	 finished loadPinDef
19:44:36 998	 start loadPinDef
