09:24:26 643	 start loadBaseParameter
09:24:27 814	 start loadBaseParameter
09:24:28 096	 start loadBaseParameter
09:24:28 392	 start loadBaseParameter
09:24:28 721	 start setSN
09:24:28 736	 start setSN
09:24:28 736	 start setSN
09:24:28 736	 start setSN
09:24:28 752	 start loadPinDef
09:24:28 783	 finished loadPinDef
09:24:28 814	 start loadPinDef
09:24:28 814	 finished loadPinDef
09:24:28 814	 start loadPinDef
09:24:28 830	 finished loadPinDef
09:24:28 830	 start loadPinDef
09:24:28 846	 finished loadPinDef
09:37:37 141	 start loadBaseParameter
09:37:37 563	 start loadBaseParameter
09:37:37 829	 start loadBaseParameter
09:37:38 126	 start loadBaseParameter
09:37:38 438	 start setSN
09:37:38 438	 start setSN
09:37:38 438	 start setSN
09:37:38 438	 start setSN
09:37:38 454	 start loadPinDef
09:37:38 454	 finished loadPinDef
09:37:38 454	 start loadPinDef
09:37:38 469	 finished loadPinDef
09:37:38 469	 start loadPinDef
09:37:38 485	 finished loadPinDef
09:37:38 485	 start loadPinDef
09:37:38 501	 finished loadPinDef
09:43:53 891	 start setSN
09:43:53 891	 start setSN
09:43:53 891	 start setSN
09:43:53 891	 start setSN
10:05:33 148	 start loadBaseParameter
10:05:34 117	 start loadBaseParameter
10:05:34 367	 start loadBaseParameter
10:05:34 601	 start loadBaseParameter
10:05:34 867	 start setSN
10:05:34 867	 start setSN
10:05:34 867	 start setSN
10:05:34 883	 start setSN
10:05:34 883	 start loadPinDef
10:05:34 914	 finished loadPinDef
10:05:34 929	 start loadPinDef
10:05:34 929	 finished loadPinDef
10:05:34 945	 start loadPinDef
10:05:34 945	 finished loadPinDef
10:05:34 961	 start loadPinDef
10:05:34 961	 finished loadPinDef
13:22:44 386	 start loadBaseParameter
13:22:44 823	 start loadBaseParameter
13:22:45 104	 start loadBaseParameter
13:22:45 386	 start loadBaseParameter
13:22:45 667	 start setSN
13:22:45 667	 start setSN
13:22:45 682	 start setSN
13:22:45 682	 start setSN
13:22:45 682	 start loadPinDef
13:22:45 698	 finished loadPinDef
13:22:45 714	 start loadPinDef
13:22:45 714	 finished loadPinDef
13:22:45 729	 start loadPinDef
13:22:45 729	 finished loadPinDef
13:22:45 745	 start loadPinDef
13:22:45 745	 finished loadPinDef
16:33:05 120	 start loadBaseParameter
16:33:05 635	 start loadBaseParameter
16:33:05 870	 start loadBaseParameter
16:33:06 104	 start loadBaseParameter
16:33:06 354	 start setSN
16:33:06 354	 start setSN
16:33:06 354	 start setSN
16:33:06 370	 start setSN
