13:43:52 856	 start loadBaseParameter
13:43:54 298	 start setSN
13:43:54 299	 start setSN
13:43:54 300	 start setSN
13:43:54 300	 start setSN
13:43:54 311	 start loadPinDef
13:43:54 314	 finished loadPinDef
13:43:54 318	 start loadPinDef
13:43:54 322	 finished loadPinDef
13:43:54 325	 start loadPinDef
13:43:54 329	 finished loadPinDef
13:43:54 332	 start loadPinDef
13:43:54 336	 finished loadPinDef
14:06:47 550	 start setSN
14:06:47 551	 start setSN
14:06:47 551	 start setSN
14:06:47 552	 start setSN
14:06:53 615	 start loadPinDef
14:06:53 619	 finished loadPinDef
14:06:53 623	 start setSN
14:06:53 624	start cam_stop 
14:06:53 726	finish cam_stop 
14:06:54 227	start cam_stop 
14:06:54 329	finish cam_stop 
14:06:54 329	 start Playnew
14:06:54 330	into cam_play:deviceID1 
14:06:54 330	openDevice:deviceID1 
14:06:54 454	开始sensor power:deviceID 1 
14:06:54 747	完成sensor power:deviceID 1 
14:06:54 758	完成Pin set:deviceID 1 
14:06:55 038	完成I2C set:deviceID 1 
14:06:55 160	start InitSensor :deviceID 1 
14:06:55 459	完成 InitSensor  :deviceID 1 
14:06:55 460	set image format  :deviceID 1 
14:06:55 478	start Video :deviceID 1 
14:06:55 486	malloc memory :deviceID 1 
14:06:55 488	 WriteI2C:34,0,998,0 
14:06:55 489	 write I2C 0x998
14:06:56 269	finished play :deviceID 1 
14:06:56 271	 1:start getImage
14:06:56 271	 2 getImage times:0
14:06:56 272	3  GrabFrame times:0,result=
14:06:56 278	 5 ImageProcess result=
14:06:56 281	7 finish getImage
14:06:56 283	 1:start getImage
14:06:56 283	 2 getImage times:0
14:06:56 290	3  GrabFrame times:0,result=
14:06:56 294	 5 ImageProcess result=
14:06:56 297	7 finish getImage
14:06:56 301	 WriteI2C:fc,0,998,100 
14:06:56 301	 write I2C 0x998
14:06:57 082	 1:start getImage
14:06:57 083	 2 getImage times:0
14:06:57 084	3  GrabFrame times:0,result=
14:06:57 089	 5 ImageProcess result=
14:06:57 092	7 finish getImage
14:06:57 094	 1:start getImage
14:06:57 094	 2 getImage times:0
14:06:57 095	3  GrabFrame times:0,result=
14:06:57 101	 5 ImageProcess result=
14:06:57 103	7 finish getImage
14:06:57 353	 1:start getImage
14:06:57 354	 2 getImage times:0
14:06:57 355	3  GrabFrame times:0,result=
14:06:57 359	 5 ImageProcess result=
14:06:57 362	7 finish getImage
14:06:57 363	 1:start getImage
14:06:57 364	 2 getImage times:0
14:06:57 369	3  GrabFrame times:0,result=
14:06:57 374	 5 ImageProcess result=
14:06:57 376	7 finish getImage
14:06:57 548	 1:start getImage
14:06:57 549	 2 getImage times:0
14:06:57 549	3  GrabFrame times:0,result=
14:06:57 554	 5 ImageProcess result=
14:06:57 557	7 finish getImage
14:06:57 558	 1:start getImage
14:06:57 559	 2 getImage times:0
14:06:57 569	3  GrabFrame times:0,result=
14:06:57 574	 5 ImageProcess result=
14:06:57 577	7 finish getImage
14:06:57 746	 1:start getImage
14:06:57 746	 2 getImage times:0
14:06:57 747	3  GrabFrame times:0,result=
14:06:57 752	 5 ImageProcess result=
14:06:57 755	7 finish getImage
14:06:57 756	 1:start getImage
14:06:57 757	 2 getImage times:0
14:06:57 769	3  GrabFrame times:0,result=
14:06:57 774	 5 ImageProcess result=
14:06:57 777	7 finish getImage
14:06:57 947	 1:start getImage
14:06:57 948	 2 getImage times:0
14:06:57 948	3  GrabFrame times:0,result=
14:06:57 953	 5 ImageProcess result=
14:06:57 956	7 finish getImage
14:06:57 957	 1:start getImage
14:06:57 957	 2 getImage times:0
14:06:57 970	3  GrabFrame times:0,result=
14:06:57 974	 5 ImageProcess result=
14:06:57 977	7 finish getImage
14:06:58 150	 1:start getImage
14:06:58 151	 2 getImage times:0
14:06:58 152	3  GrabFrame times:0,result=
14:06:58 156	 5 ImageProcess result=
14:06:58 159	7 finish getImage
14:06:58 160	 1:start getImage
14:06:58 160	 2 getImage times:0
14:06:58 170	3  GrabFrame times:0,result=
14:06:58 174	 5 ImageProcess result=
14:06:58 177	7 finish getImage
14:06:58 351	 1:start getImage
14:06:58 352	 2 getImage times:0
14:06:58 352	3  GrabFrame times:0,result=
14:06:58 357	 5 ImageProcess result=
14:06:58 360	7 finish getImage
14:06:58 361	 1:start getImage
14:06:58 361	 2 getImage times:0
14:06:58 369	3  GrabFrame times:0,result=
14:06:58 373	 5 ImageProcess result=
14:06:58 376	7 finish getImage
14:06:58 558	 1:start getImage
14:06:58 558	 2 getImage times:0
14:06:58 559	3  GrabFrame times:0,result=
14:06:58 564	 5 ImageProcess result=
14:06:58 567	7 finish getImage
14:06:58 568	 1:start getImage
14:06:58 568	 2 getImage times:0
14:06:58 569	3  GrabFrame times:0,result=
14:06:58 574	 5 ImageProcess result=
14:06:58 576	7 finish getImage
14:06:58 752	 1:start getImage
14:06:58 752	 2 getImage times:0
14:06:58 753	3  GrabFrame times:0,result=
14:06:58 758	 5 ImageProcess result=
14:06:58 761	7 finish getImage
14:06:58 762	 1:start getImage
14:06:58 762	 2 getImage times:0
14:06:58 769	3  GrabFrame times:0,result=
14:06:58 773	 5 ImageProcess result=
14:06:58 776	7 finish getImage
14:06:58 949	 1:start getImage
14:06:58 949	 2 getImage times:0
14:06:58 950	3  GrabFrame times:0,result=
14:06:58 955	 5 ImageProcess result=
14:06:58 958	7 finish getImage
14:06:58 959	 1:start getImage
14:06:58 960	 2 getImage times:0
