09:14:36 110	 start loadBaseParameter
09:14:41 250	 start loadBaseParameter
09:14:46 110	 start loadBaseParameter
09:14:50 938	 start loadBaseParameter
09:14:55 781	 start setSN
09:14:55 797	 start setSN
09:14:55 797	 start setSN
09:14:55 797	 start setSN
09:14:55 797	 start loadPinDef
09:14:55 812	 finished loadPinDef
09:14:55 828	 start loadPinDef
09:14:55 828	 finished loadPinDef
09:14:55 844	 start loadPinDef
09:14:55 844	 finished loadPinDef
09:14:55 844	 start loadPinDef
09:14:55 859	 finished loadPinDef
12:36:47 681	 start setSN
12:36:47 681	 start setSN
12:36:47 681	 start setSN
12:36:47 681	 start setSN
12:37:47 224	 start loadPinDef
12:37:47 224	 finished loadPinDef
12:37:47 224	 start setSN
12:37:49 240	start cam_stop 
12:37:49 365	finish cam_stop 
12:37:49 365	 start Playnew
12:37:49 365	into cam_play:deviceID0 
12:37:49 365	openDevice:deviceID0 
12:37:49 505	开始sensor power:deviceID 0 
12:37:49 880	完成sensor power:deviceID 0 
12:37:49 911	完成Pin set:deviceID 0 
12:37:50 255	完成I2C set:deviceID 0 
12:37:50 411	start InitSensor :deviceID 0 
12:37:50 896	完成 InitSensor  :deviceID 0 
12:37:50 896	set image format  :deviceID 0 
12:37:50 943	start Video :deviceID 0 
12:37:50 958	malloc memory :deviceID 0 
12:37:50 989	disable ISX019 AE :deviceID 0 
12:37:50 989	 WriteI2C:34,0,998,0 
12:37:50 989	 write I2C 0x998
12:37:51 880	finished play :deviceID 0 
12:37:53 900	 1:start getImage
12:37:53 900	 2 getImage times:0
12:37:53 900	3  GrabFrame times:0,result=
12:37:53 900	 5 ImageProcess result=
12:37:53 916	7 finish getImage
12:37:53 916	 1:start getImage
12:37:53 916	 2 getImage times:0
12:37:53 916	3  GrabFrame times:0,result=
12:37:53 916	 5 ImageProcess result=
12:37:53 916	7 finish getImage
12:38:57 522	 1:start getImage
12:38:57 522	 2 getImage times:0
12:38:57 522	3  GrabFrame times:0,result=
12:38:57 538	 5 ImageProcess result=
12:38:57 554	7 finish getImage
12:38:57 569	 1:start getImage
12:38:57 569	 2 getImage times:0
12:38:57 569	3  GrabFrame times:0,result=
12:38:57 569	 5 ImageProcess result=
12:38:57 585	7 finish getImage
12:38:58 397	 1:start getImage
12:38:58 397	 2 getImage times:0
12:38:58 413	3  GrabFrame times:0,result=
12:38:58 428	 5 ImageProcess result=
12:38:58 444	7 finish getImage
12:38:58 444	 1:start getImage
12:38:58 444	 2 getImage times:0
12:38:58 444	3  GrabFrame times:0,result=
12:38:58 460	 5 ImageProcess result=
12:38:58 475	7 finish getImage
12:38:59 257	 1:start getImage
12:38:59 257	 2 getImage times:0
12:38:59 257	3  GrabFrame times:0,result=
12:38:59 288	 5 ImageProcess result=
12:38:59 288	7 finish getImage
12:38:59 288	 1:start getImage
12:38:59 303	 2 getImage times:0
12:38:59 303	3  GrabFrame times:0,result=
12:38:59 319	 5 ImageProcess result=
12:38:59 319	7 finish getImage
12:39:00 131	 1:start getImage
12:39:00 131	 2 getImage times:0
12:39:00 131	3  GrabFrame times:0,result=
12:39:00 163	 5 ImageProcess result=
12:39:00 178	7 finish getImage
12:39:00 178	 1:start getImage
12:39:00 178	 2 getImage times:0
12:39:00 178	3  GrabFrame times:0,result=
12:39:00 194	 5 ImageProcess result=
12:39:00 194	7 finish getImage
12:39:00 756	 1:start getImage
12:39:00 756	 2 getImage times:0
12:39:00 756	3  GrabFrame times:0,result=
12:39:00 788	 5 ImageProcess result=
12:39:00 803	7 finish getImage
12:39:00 819	 1:start getImage
12:39:00 819	 2 getImage times:0
12:39:00 819	3  GrabFrame times:0,result=
12:39:00 819	 5 ImageProcess result=
12:39:00 835	7 finish getImage
12:39:01 381	 1:start getImage
12:39:01 381	 2 getImage times:0
12:39:01 381	3  GrabFrame times:0,result=
12:39:01 413	 5 ImageProcess result=
12:39:01 413	7 finish getImage
12:39:01 428	 1:start getImage
12:39:01 428	 2 getImage times:0
12:39:01 428	3  GrabFrame times:0,result=
12:39:01 428	 5 ImageProcess result=
12:39:01 444	7 finish getImage
12:39:01 975	 1:start getImage
12:39:01 975	 2 getImage times:0
12:39:01 975	3  GrabFrame times:0,result=
12:39:02 006	 5 ImageProcess result=
12:39:02 006	7 finish getImage
12:39:02 006	 1:start getImage
12:39:02 022	 2 getImage times:0
12:39:02 022	3  GrabFrame times:0,result=
12:39:02 022	 5 ImageProcess result=
12:39:02 038	7 finish getImage
12:39:02 553	 1:start getImage
12:39:02 553	 2 getImage times:0
12:39:02 553	3  GrabFrame times:0,result=
12:39:02 584	 5 ImageProcess result=
12:39:02 584	7 finish getImage
12:39:02 584	 1:start getImage
12:39:02 600	 2 getImage times:0
12:39:02 600	3  GrabFrame times:0,result=
12:39:02 600	 5 ImageProcess result=
12:39:02 616	7 finish getImage
12:39:03 131	 1:start getImage
12:39:03 131	 2 getImage times:0
12:39:03 131	3  GrabFrame times:0,result=
12:39:03 163	 5 ImageProcess result=
12:39:03 178	7 finish getImage
12:39:03 194	 1:start getImage
12:39:03 194	 2 getImage times:0
12:39:03 209	3  GrabFrame times:0,result=
12:39:03 209	 5 ImageProcess result=
12:39:03 225	7 finish getImage
12:39:03 741	 1:start getImage
12:39:03 741	 2 getImage times:0
12:39:03 741	3  GrabFrame times:0,result=
12:39:03 772	 5 ImageProcess result=
12:39:03 787	7 finish getImage
12:39:03 787	 1:start getImage
12:39:03 787	 2 getImage times:0
12:39:03 787	3  GrabFrame times:0,result=
12:39:03 803	 5 ImageProcess result=
12:39:03 803	7 finish getImage
12:39:04 334	 1:start getImage
12:39:04 334	 2 getImage times:0
12:39:04 334	3  GrabFrame times:0,result=
12:39:04 366	 5 ImageProcess result=
12:39:04 381	7 finish getImage
12:39:04 381	 1:start getImage
12:39:04 381	 2 getImage times:0
12:39:04 381	3  GrabFrame times:0,result=
12:39:04 397	 5 ImageProcess result=
12:39:04 397	7 finish getImage
12:39:04 928	 1:start getImage
12:39:04 928	 2 getImage times:0
12:39:04 928	3  GrabFrame times:0,result=
12:39:04 959	 5 ImageProcess result=
12:39:04 959	7 finish getImage
12:39:04 959	 1:start getImage
12:39:04 975	 2 getImage times:0
12:39:04 975	3  GrabFrame times:0,result=
12:39:04 975	 5 ImageProcess result=
12:39:04 990	7 finish getImage
12:39:05 506	 1:start getImage
12:39:05 506	 2 getImage times:0
12:39:05 522	3  GrabFrame times:0,result=
12:39:05 537	 5 ImageProcess result=
12:39:05 553	7 finish getImage
12:39:05 553	 1:start getImage
12:39:05 553	 2 getImage times:0
12:39:05 569	3  GrabFrame times:0,result=
12:39:05 569	 5 ImageProcess result=
12:39:05 584	7 finish getImage
12:39:06 100	 1:start getImage
12:39:06 100	 2 getImage times:0
12:39:06 100	3  GrabFrame times:0,result=
12:39:06 131	 5 ImageProcess result=
12:39:06 131	7 finish getImage
12:39:06 131	 1:start getImage
12:39:06 147	 2 getImage times:0
12:39:06 147	3  GrabFrame times:0,result=
12:39:06 147	 5 ImageProcess result=
12:39:06 147	7 finish getImage
12:39:11 881	 1:start getImage
12:39:11 881	 2 getImage times:0
12:39:11 881	3  GrabFrame times:0,result=
12:39:11 912	 5 ImageProcess result=
12:39:11 912	7 finish getImage
12:39:11 912	 1:start getImage
12:39:11 928	 2 getImage times:0
12:39:11 928	3  GrabFrame times:0,result=
12:39:11 928	 5 ImageProcess result=
12:39:11 943	7 finish getImage
12:39:12 802	 1:start getImage
12:39:12 802	 2 getImage times:0
12:39:12 818	3  GrabFrame times:0,result=
12:39:12 834	 5 ImageProcess result=
12:39:12 849	7 finish getImage
12:39:12 849	 1:start getImage
12:39:12 849	 2 getImage times:0
12:39:12 865	3  GrabFrame times:0,result=
12:39:12 881	 5 ImageProcess result=
12:39:12 881	7 finish getImage
12:39:13 615	 1:start getImage
12:39:13 615	 2 getImage times:0
12:39:13 615	3  GrabFrame times:0,result=
12:39:13 646	 5 ImageProcess result=
12:39:13 646	7 finish getImage
12:39:13 646	 1:start getImage
12:39:13 662	 2 getImage times:0
12:39:13 662	3  GrabFrame times:0,result=
12:39:13 662	 5 ImageProcess result=
12:39:13 677	7 finish getImage
12:39:14 209	 1:start getImage
12:39:14 209	 2 getImage times:0
12:39:14 209	3  GrabFrame times:0,result=
12:39:14 240	 5 ImageProcess result=
12:39:14 256	7 finish getImage
12:39:14 271	 1:start getImage
12:39:14 271	 2 getImage times:0
12:39:14 287	3  GrabFrame times:0,result=
12:39:14 302	 5 ImageProcess result=
12:39:14 318	7 finish getImage
12:39:14 849	 1:start getImage
12:39:14 849	 2 getImage times:0
12:39:14 849	3  GrabFrame times:0,result=
12:39:14 880	 5 ImageProcess result=
12:39:14 896	7 finish getImage
12:39:14 912	 1:start getImage
12:39:14 912	 2 getImage times:0
12:39:14 912	3  GrabFrame times:0,result=
12:39:14 927	 5 ImageProcess result=
12:39:14 927	7 finish getImage
12:39:15 474	 1:start getImage
12:39:15 474	 2 getImage times:0
12:39:15 474	3  GrabFrame times:0,result=
12:39:15 505	 5 ImageProcess result=
12:39:15 521	7 finish getImage
12:39:15 537	 1:start getImage
12:39:15 537	 2 getImage times:0
12:39:15 537	3  GrabFrame times:0,result=
12:39:15 552	 5 ImageProcess result=
12:39:15 552	7 finish getImage
12:39:16 084	 1:start getImage
12:39:16 084	 2 getImage times:0
12:39:16 084	3  GrabFrame times:0,result=
12:39:16 115	 5 ImageProcess result=
12:39:16 115	7 finish getImage
12:39:16 115	 1:start getImage
12:39:16 130	 2 getImage times:0
12:39:16 130	3  GrabFrame times:0,result=
12:39:16 130	 5 ImageProcess result=
12:39:16 146	7 finish getImage
12:39:16 662	 1:start getImage
12:39:16 662	 2 getImage times:0
12:39:16 662	3  GrabFrame times:0,result=
12:39:16 693	 5 ImageProcess result=
12:39:16 708	7 finish getImage
12:39:16 724	 1:start getImage
12:39:16 724	 2 getImage times:0
12:39:16 740	3  GrabFrame times:0,result=
12:39:16 740	 5 ImageProcess result=
12:39:16 755	7 finish getImage
12:39:17 271	 1:start getImage
12:39:17 271	 2 getImage times:0
12:39:17 271	3  GrabFrame times:0,result=
12:39:17 302	 5 ImageProcess result=
12:39:17 318	7 finish getImage
12:39:17 318	 1:start getImage
12:39:17 318	 2 getImage times:0
12:39:17 318	3  GrabFrame times:0,result=
12:39:17 333	 5 ImageProcess result=
12:39:17 333	7 finish getImage
12:39:17 896	 1:start getImage
12:39:17 896	 2 getImage times:0
12:39:17 896	3  GrabFrame times:0,result=
12:39:17 927	 5 ImageProcess result=
12:39:17 943	7 finish getImage
12:39:17 943	 1:start getImage
12:39:17 943	 2 getImage times:0
12:39:17 943	3  GrabFrame times:0,result=
12:39:17 958	 5 ImageProcess result=
12:39:17 958	7 finish getImage
12:39:18 505	 1:start getImage
12:39:18 505	 2 getImage times:0
12:39:18 505	3  GrabFrame times:0,result=
12:39:18 536	 5 ImageProcess result=
12:39:18 536	7 finish getImage
12:39:18 536	 1:start getImage
12:39:18 536	 2 getImage times:0
12:39:18 536	3  GrabFrame times:0,result=
12:39:18 552	 5 ImageProcess result=
12:39:18 552	7 finish getImage
12:39:19 083	 1:start getImage
12:39:19 083	 2 getImage times:0
12:39:19 099	3  GrabFrame times:0,result=
12:39:19 115	 5 ImageProcess result=
12:39:19 130	7 finish getImage
12:39:19 146	 1:start getImage
12:39:19 146	 2 getImage times:0
12:39:19 161	3  GrabFrame times:0,result=
12:39:19 177	 5 ImageProcess result=
12:39:19 193	7 finish getImage
12:39:21 989	 1:start getImage
12:39:21 989	 2 getImage times:0
12:39:21 989	3  GrabFrame times:0,result=
12:39:22 021	 5 ImageProcess result=
12:39:22 021	7 finish getImage
12:39:22 021	 1:start getImage
12:39:22 036	 2 getImage times:0
12:39:22 036	3  GrabFrame times:0,result=
12:39:22 052	 5 ImageProcess result=
12:39:22 052	7 finish getImage
12:39:22 302	 1:start getImage
12:39:22 302	 2 getImage times:0
12:39:22 302	3  GrabFrame times:0,result=
12:39:22 333	 5 ImageProcess result=
12:39:22 349	7 finish getImage
12:39:22 349	 1:start getImage
12:39:22 349	 2 getImage times:0
12:39:22 349	3  GrabFrame times:0,result=
12:39:22 364	 5 ImageProcess result=
12:39:22 380	7 finish getImage
12:39:22 708	 1:start getImage
12:39:22 708	 2 getImage times:0
12:39:22 708	3  GrabFrame times:0,result=
12:39:22 739	 5 ImageProcess result=
12:39:22 755	7 finish getImage
12:39:22 755	 1:start getImage
12:39:22 755	 2 getImage times:0
12:39:22 755	3  GrabFrame times:0,result=
12:39:22 771	 5 ImageProcess result=
12:39:22 771	7 finish getImage
12:39:27 489	start cam_stop 
12:39:27 645	finish cam_stop 
12:56:08 606	 start setSN
12:56:08 606	 start setSN
12:56:08 616	 start setSN
12:56:08 621	 start setSN
12:58:50 225	 start setSN
12:58:50 225	 start setSN
12:58:50 225	 start setSN
12:58:50 225	 start setSN
13:00:36 554	 start loadBaseParameter
13:00:41 539	 start loadBaseParameter
13:00:46 335	 start loadBaseParameter
13:00:51 194	 start loadBaseParameter
13:00:56 054	 start setSN
13:00:56 069	 start setSN
13:00:56 069	 start setSN
13:00:56 069	 start setSN
13:00:56 069	 start loadPinDef
13:00:56 085	 finished loadPinDef
13:00:56 085	 start loadPinDef
13:00:56 101	 finished loadPinDef
13:00:56 101	 start loadPinDef
13:00:56 116	 finished loadPinDef
13:00:56 116	 start loadPinDef
13:00:56 132	 finished loadPinDef
13:03:04 905	 start setSN
13:03:04 905	 start setSN
13:03:04 905	 start setSN
13:03:04 905	 start setSN
13:10:42 092	 start loadPinDef
13:10:42 092	 finished loadPinDef
13:10:42 092	 start setSN
13:10:44 108	start cam_stop 
13:10:44 233	finish cam_stop 
13:10:44 233	 start Playnew
13:10:44 233	into cam_play:deviceID0 
13:10:44 248	openDevice:deviceID0 
13:10:44 389	开始sensor power:deviceID 0 
13:10:44 764	完成sensor power:deviceID 0 
13:10:44 780	完成Pin set:deviceID 0 
13:10:45 108	完成I2C set:deviceID 0 
