13:00:13 077	 start loadBaseParameter
13:00:18 780	 start loadBaseParameter
13:00:23 623	 start loadBaseParameter
13:00:28 483	 start loadBaseParameter
13:00:33 373	 start setSN
13:00:33 389	 start setSN
13:00:33 389	 start setSN
13:00:33 389	 start setSN
13:00:33 420	 start loadPinDef
13:00:33 451	 finished loadPinDef
13:00:33 467	 start loadPinDef
13:00:33 467	 finished loadPinDef
13:00:33 482	 start loadPinDef
13:00:33 482	 finished loadPinDef
13:00:33 498	 start loadPinDef
13:00:33 498	 finished loadPinDef
13:15:46 350	 start loadBaseParameter
13:15:51 287	 start loadBaseParameter
13:15:56 099	 start loadBaseParameter
13:16:00 911	 start loadBaseParameter
13:16:05 708	 start setSN
13:16:05 708	 start setSN
13:16:05 708	 start setSN
13:16:05 708	 start setSN
13:16:05 708	 start loadPinDef
13:16:05 708	 finished loadPinDef
13:16:05 724	 start loadPinDef
13:16:05 724	 finished loadPinDef
13:16:05 739	 start loadPinDef
13:16:05 739	 finished loadPinDef
13:16:05 755	 start loadPinDef
13:16:05 755	 finished loadPinDef
13:16:51 967	 start loadBaseParameter
13:16:56 904	 start loadBaseParameter
13:17:01 716	 start loadBaseParameter
13:17:06 544	 start loadBaseParameter
13:17:11 356	 start setSN
13:17:11 356	 start setSN
13:17:11 356	 start setSN
13:17:11 356	 start setSN
13:17:11 356	 start loadPinDef
13:17:11 372	 finished loadPinDef
13:17:11 388	 start loadPinDef
13:17:11 388	 finished loadPinDef
13:17:11 388	 start loadPinDef
13:17:11 403	 finished loadPinDef
13:17:11 403	 start loadPinDef
13:17:11 419	 finished loadPinDef
13:34:43 726	 start loadBaseParameter
13:34:48 632	 start loadBaseParameter
13:34:53 428	 start loadBaseParameter
13:34:58 209	 start loadBaseParameter
13:35:03 037	 start setSN
13:35:03 037	 start setSN
13:35:03 037	 start setSN
13:35:03 037	 start setSN
13:35:03 053	 start loadPinDef
13:35:03 053	 finished loadPinDef
13:35:03 069	 start loadPinDef
13:35:03 069	 finished loadPinDef
13:35:03 069	 start loadPinDef
13:35:03 084	 finished loadPinDef
13:35:03 084	 start loadPinDef
13:35:03 100	 finished loadPinDef
13:38:29 036	 start loadPinDef
13:38:29 036	 finished loadPinDef
13:38:29 067	 start setSN
13:38:29 083	start cam_stop 
13:38:29 208	finish cam_stop 
13:38:29 426	start cam_stop 
13:38:29 551	finish cam_stop 
13:38:29 551	 start Playnew
13:38:29 551	into cam_play:deviceID3 
13:38:29 567	openDevice:deviceID3 
13:38:29 739	开始sensor power:deviceID 3 
13:38:30 129	完成sensor power:deviceID 3 
13:38:30 161	完成Pin set:deviceID 3 
13:38:30 520	完成I2C set:deviceID 3 
13:38:30 676	start InitSensor :deviceID 3 
13:38:31 161	start InitSensor failed 1 times :deviceID 3 
13:38:31 754	start InitSensor failed 2 times :deviceID 3 
13:38:32 348	start InitSensor failed 3 times :deviceID 3 
13:38:32 348	start cam_stop 
13:38:32 473	finish cam_stop 
13:38:32 692	 start Playnew
13:38:32 692	into cam_play:deviceID3 
13:38:32 692	openDevice:deviceID3 
13:38:32 895	开始sensor power:deviceID 3 
