15:20:34 697	 start loadBaseParameter
15:20:36 461	 start setSN
15:20:36 462	 start setSN
15:20:36 463	 start setSN
15:20:36 463	 start setSN
15:20:36 489	 start loadPinDef
15:20:36 494	 finished loadPinDef
15:20:36 497	 start loadPinDef
15:20:36 501	 finished loadPinDef
15:20:36 504	 start loadPinDef
15:20:36 508	 finished loadPinDef
15:20:36 511	 start loadPinDef
15:20:36 515	 finished loadPinDef
15:23:29 334	 start setSN
15:23:29 335	 start setSN
15:23:29 335	 start setSN
15:23:29 336	 start setSN
15:23:38 291	 start loadPinDef
15:23:38 294	 finished loadPinDef
15:23:38 298	 start setSN
15:23:38 299	start cam_stop 
15:23:38 401	finish cam_stop 
15:23:38 902	start cam_stop 
15:23:39 004	finish cam_stop 
15:23:39 004	 start Playnew
15:23:39 005	into cam_play:deviceID1 
15:23:39 006	openDevice:deviceID1 
15:23:39 131	开始sensor power:deviceID 1 
15:23:39 423	完成sensor power:deviceID 1 
15:23:39 434	完成Pin set:deviceID 1 
15:23:39 715	完成I2C set:deviceID 1 
15:23:39 836	start InitSensor :deviceID 1 
15:23:40 136	完成 InitSensor  :deviceID 1 
15:23:40 137	set image format  :deviceID 1 
15:23:40 156	start Video :deviceID 1 
15:23:40 164	malloc memory :deviceID 1 
15:23:40 166	 WriteI2C:34,0,998,0 
15:23:40 167	 write I2C 0x998
15:23:40 947	finished play :deviceID 1 
15:23:40 949	 1:start getImage
15:23:40 949	 2 getImage times:0
15:23:40 950	3  GrabFrame times:0,result=
15:23:40 956	 5 ImageProcess result=
15:23:40 959	7 finish getImage
15:23:40 960	 1:start getImage
15:23:40 960	 2 getImage times:0
15:23:40 966	3  GrabFrame times:0,result=
15:23:40 970	 5 ImageProcess result=
15:23:40 972	7 finish getImage
15:23:40 976	 WriteI2C:fc,0,998,100 
15:23:40 977	 write I2C 0x998
15:23:41 759	 1:start getImage
15:23:41 760	 2 getImage times:0
15:23:41 761	3  GrabFrame times:0,result=
15:23:41 765	 5 ImageProcess result=
15:23:41 768	7 finish getImage
15:23:41 770	 1:start getImage
15:23:41 771	 2 getImage times:0
15:23:41 771	3  GrabFrame times:0,result=
15:23:41 776	 5 ImageProcess result=
15:23:41 779	7 finish getImage
15:23:42 344	 1:start getImage
15:23:42 345	 2 getImage times:0
15:23:42 346	3  GrabFrame times:0,result=
15:23:42 351	 5 ImageProcess result=
15:23:42 355	7 finish getImage
15:23:42 356	 1:start getImage
15:23:42 357	 2 getImage times:0
15:23:42 366	3  GrabFrame times:0,result=
