08:57:58 510	 start loadBaseParameter
08:57:59 994	 start setSN
08:57:59 995	 start setSN
08:57:59 996	 start setSN
08:57:59 996	 start setSN
08:57:59 998	 start loadPinDef
08:58:00 002	 finished loadPinDef
08:58:00 007	 start loadPinDef
08:58:00 010	 finished loadPinDef
08:58:00 014	 start loadPinDef
08:58:00 018	 finished loadPinDef
08:58:00 022	 start loadPinDef
08:58:00 025	 finished loadPinDef
08:58:35 961	 start setSN
08:58:35 962	 start setSN
08:58:35 962	 start setSN
08:58:35 963	 start setSN
16:01:15 072	 start loadBaseParameter
16:01:16 518	 start setSN
16:01:16 519	 start setSN
16:01:16 519	 start setSN
16:01:16 520	 start setSN
16:01:16 521	 start loadPinDef
16:01:16 524	 finished loadPinDef
16:01:16 527	 start loadPinDef
16:01:16 531	 finished loadPinDef
16:01:16 534	 start loadPinDef
16:01:16 537	 finished loadPinDef
16:01:16 540	 start loadPinDef
16:01:16 543	 finished loadPinDef
16:01:34 389	 start loadBaseParameter
16:01:35 833	 start setSN
16:01:35 833	 start setSN
16:01:35 834	 start setSN
16:01:35 835	 start setSN
16:01:35 836	 start loadPinDef
16:01:35 839	 finished loadPinDef
16:01:35 843	 start loadPinDef
16:01:35 846	 finished loadPinDef
16:01:35 850	 start loadPinDef
16:01:35 853	 finished loadPinDef
16:01:35 857	 start loadPinDef
16:01:35 860	 finished loadPinDef
16:43:43 371	 start loadBaseParameter
16:43:44 829	 start setSN
16:43:44 830	 start setSN
16:43:44 830	 start setSN
16:43:44 831	 start setSN
16:43:44 832	 start loadPinDef
16:43:44 836	 finished loadPinDef
16:43:44 839	 start loadPinDef
16:43:44 842	 finished loadPinDef
16:43:44 846	 start loadPinDef
16:43:44 849	 finished loadPinDef
16:43:44 853	 start loadPinDef
16:43:44 856	 finished loadPinDef
17:12:14 664	 start loadBaseParameter
17:12:16 101	 start setSN
17:12:16 102	 start setSN
17:12:16 102	 start setSN
17:12:16 103	 start setSN
17:12:16 104	 start loadPinDef
17:12:16 107	 finished loadPinDef
17:12:16 111	 start loadPinDef
17:12:16 114	 finished loadPinDef
17:12:16 118	 start loadPinDef
17:12:16 121	 finished loadPinDef
17:12:16 125	 start loadPinDef
17:12:16 128	 finished loadPinDef
19:11:39 737	 start loadBaseParameter
19:11:41 241	 start setSN
19:11:41 242	 start setSN
19:11:41 242	 start setSN
19:11:41 243	 start setSN
19:11:41 252	 start loadPinDef
19:11:41 256	 finished loadPinDef
19:11:41 259	 start loadPinDef
19:11:41 263	 finished loadPinDef
19:11:41 266	 start loadPinDef
19:11:41 270	 finished loadPinDef
19:11:41 273	 start loadPinDef
19:11:41 276	 finished loadPinDef
19:15:25 126	 start loadPinDef
19:15:25 130	 finished loadPinDef
19:15:25 133	 start setSN
19:15:25 134	start cam_stop 
19:15:25 237	finish cam_stop 
19:15:25 737	start cam_stop 
19:15:25 839	finish cam_stop 
19:15:25 839	 start Playnew
19:15:25 840	into cam_play:deviceID3 
19:15:25 840	openDevice:deviceID3 
19:15:25 965	开始sensor power:deviceID 3 
19:15:26 258	完成sensor power:deviceID 3 
19:15:26 270	完成Pin set:deviceID 3 
19:15:26 550	完成I2C set:deviceID 3 
19:15:26 672	start InitSensor :deviceID 3 
19:15:26 971	完成 InitSensor  :deviceID 3 
19:15:26 972	set image format  :deviceID 3 
19:15:26 990	start Video :deviceID 3 
19:15:27 000	malloc memory :deviceID 3 
19:15:27 002	 WriteI2C:34,0,998,0 
19:15:27 003	 write I2C 0x998
19:15:27 782	finished play :deviceID 3 
19:15:27 784	 1:start getImage
19:15:27 784	 2 getImage times:0
19:15:27 785	3  GrabFrame times:0,result=
19:15:27 792	 5 ImageProcess result=
19:15:27 796	7 finish getImage
19:15:27 798	 1:start getImage
19:15:27 799	 2 getImage times:0
19:15:27 801	3  GrabFrame times:0,result=
19:15:27 809	 5 ImageProcess result=
19:15:27 814	7 finish getImage
19:15:27 822	 WriteI2C:fc,0,998,100 
19:15:27 823	 write I2C 0x998
19:15:28 605	 1:start getImage
19:15:28 606	 2 getImage times:0
19:15:28 607	3  GrabFrame times:0,result=
19:15:28 613	 5 ImageProcess result=
19:15:28 616	7 finish getImage
19:15:28 618	 1:start getImage
19:15:28 619	 2 getImage times:0
19:15:28 641	3  GrabFrame times:0,result=
19:15:28 648	 5 ImageProcess result=
19:15:28 656	7 finish getImage
19:15:29 181	 1:start getImage
19:15:29 182	 2 getImage times:0
19:15:29 183	3  GrabFrame times:0,result=
19:15:29 188	 5 ImageProcess result=
19:15:29 191	7 finish getImage
19:15:29 192	 1:start getImage
19:15:29 192	 2 getImage times:0
19:15:29 200	3  GrabFrame times:0,result=
19:15:29 205	 5 ImageProcess result=
19:15:29 208	7 finish getImage
19:15:29 378	 1:start getImage
19:15:29 379	 2 getImage times:0
19:15:29 379	3  GrabFrame times:0,result=
19:15:29 384	 5 ImageProcess result=
19:15:29 387	7 finish getImage
19:15:29 388	 1:start getImage
19:15:29 389	 2 getImage times:0
19:15:29 401	3  GrabFrame times:0,result=
19:15:29 405	 5 ImageProcess result=
19:15:29 408	7 finish getImage
19:15:29 578	 1:start getImage
19:15:29 579	 2 getImage times:0
19:15:29 579	3  GrabFrame times:0,result=
19:15:29 584	 5 ImageProcess result=
19:15:29 587	7 finish getImage
19:15:29 588	 1:start getImage
19:15:29 589	 2 getImage times:0
19:15:29 601	3  GrabFrame times:0,result=
19:15:29 605	 5 ImageProcess result=
19:15:29 608	7 finish getImage
19:15:29 778	 1:start getImage
19:15:29 778	 2 getImage times:0
19:15:29 779	3  GrabFrame times:0,result=
19:15:29 784	 5 ImageProcess result=
19:15:29 787	7 finish getImage
19:15:29 788	 1:start getImage
19:15:29 789	 2 getImage times:0
19:15:29 801	3  GrabFrame times:0,result=
19:15:29 805	 5 ImageProcess result=
19:15:29 808	7 finish getImage
19:15:29 977	 1:start getImage
19:15:29 977	 2 getImage times:0
19:15:29 979	3  GrabFrame times:0,result=
19:15:29 983	 5 ImageProcess result=
19:15:29 986	7 finish getImage
19:15:29 988	 1:start getImage
19:15:29 988	 2 getImage times:0
19:15:30 001	3  GrabFrame times:0,result=
19:15:30 005	 5 ImageProcess result=
19:15:30 008	7 finish getImage
19:15:30 177	 1:start getImage
19:15:30 177	 2 getImage times:0
19:15:30 178	3  GrabFrame times:0,result=
19:15:30 183	 5 ImageProcess result=
19:15:30 186	7 finish getImage
19:15:30 188	 1:start getImage
19:15:30 188	 2 getImage times:0
19:15:30 201	3  GrabFrame times:0,result=
19:15:30 205	 5 ImageProcess result=
19:15:30 208	7 finish getImage
19:15:30 376	 1:start getImage
19:15:30 376	 2 getImage times:0
19:15:30 377	3  GrabFrame times:0,result=
19:15:30 382	 5 ImageProcess result=
19:15:30 385	7 finish getImage
19:15:30 386	 1:start getImage
19:15:30 387	 2 getImage times:0
19:15:30 401	3  GrabFrame times:0,result=
19:15:30 405	 5 ImageProcess result=
19:15:30 408	7 finish getImage
19:15:30 577	 1:start getImage
19:15:30 577	 2 getImage times:0
19:15:30 578	3  GrabFrame times:0,result=
19:15:30 583	 5 ImageProcess result=
19:15:30 586	7 finish getImage
19:15:30 587	 1:start getImage
19:15:30 588	 2 getImage times:0
19:15:30 601	3  GrabFrame times:0,result=
19:15:30 606	 5 ImageProcess result=
19:15:30 608	7 finish getImage
19:15:30 777	 1:start getImage
19:15:30 777	 2 getImage times:0
19:15:30 778	3  GrabFrame times:0,result=
19:15:30 783	 5 ImageProcess result=
19:15:30 786	7 finish getImage
19:15:30 787	 1:start getImage
19:15:30 788	 2 getImage times:0
19:15:30 801	3  GrabFrame times:0,result=
19:15:30 805	 5 ImageProcess result=
19:15:30 807	7 finish getImage
19:15:30 976	 1:start getImage
19:15:30 976	 2 getImage times:0
19:15:30 977	3  GrabFrame times:0,result=
19:15:30 982	 5 ImageProcess result=
19:15:30 985	7 finish getImage
19:15:30 986	 1:start getImage
19:15:30 987	 2 getImage times:0
19:15:31 000	3  GrabFrame times:0,result=
19:15:31 005	 5 ImageProcess result=
19:15:31 008	7 finish getImage
19:15:31 176	 1:start getImage
19:15:31 176	 2 getImage times:0
19:15:31 177	3  GrabFrame times:0,result=
19:15:31 182	 5 ImageProcess result=
19:15:31 185	7 finish getImage
19:15:31 187	 1:start getImage
19:15:31 187	 2 getImage times:0
19:15:31 200	3  GrabFrame times:0,result=
19:15:31 205	 5 ImageProcess result=
19:15:31 208	7 finish getImage
19:15:31 377	 1:start getImage
19:15:31 377	 2 getImage times:0
19:15:31 378	3  GrabFrame times:0,result=
19:15:31 383	 5 ImageProcess result=
19:15:31 386	7 finish getImage
19:15:31 388	 1:start getImage
19:15:31 388	 2 getImage times:0
19:15:31 401	3  GrabFrame times:0,result=
19:15:31 406	 5 ImageProcess result=
19:15:31 408	7 finish getImage
19:15:31 577	 1:start getImage
19:15:31 578	 2 getImage times:0
19:15:31 579	3  GrabFrame times:0,result=
19:15:31 584	 5 ImageProcess result=
19:15:31 586	7 finish getImage
19:15:31 590	 1:start getImage
19:15:31 590	 2 getImage times:0
19:15:31 601	3  GrabFrame times:0,result=
19:15:31 606	 5 ImageProcess result=
19:15:31 608	7 finish getImage
19:15:31 777	 1:start getImage
19:15:31 777	 2 getImage times:0
19:15:31 779	3  GrabFrame times:0,result=
19:15:31 783	 5 ImageProcess result=
19:15:31 786	7 finish getImage
19:15:31 788	 1:start getImage
19:15:31 788	 2 getImage times:0
19:15:31 801	3  GrabFrame times:0,result=
19:15:31 805	 5 ImageProcess result=
19:15:31 808	7 finish getImage
19:15:31 977	 1:start getImage
19:15:31 978	 2 getImage times:0
19:15:31 979	3  GrabFrame times:0,result=
19:15:31 983	 5 ImageProcess result=
19:15:31 986	7 finish getImage
19:15:31 987	 1:start getImage
19:15:31 988	 2 getImage times:0
19:15:32 001	3  GrabFrame times:0,result=
19:15:32 005	 5 ImageProcess result=
19:15:32 008	7 finish getImage
19:15:32 177	 1:start getImage
19:15:32 178	 2 getImage times:0
19:15:32 179	3  GrabFrame times:0,result=
19:15:32 183	 5 ImageProcess result=
19:15:32 186	7 finish getImage
19:15:32 187	 1:start getImage
19:15:32 187	 2 getImage times:0
19:15:32 201	3  GrabFrame times:0,result=
19:15:32 205	 5 ImageProcess result=
19:15:32 208	7 finish getImage
19:15:32 377	 1:start getImage
19:15:32 377	 2 getImage times:0
19:15:32 378	3  GrabFrame times:0,result=
19:15:32 383	 5 ImageProcess result=
19:15:32 385	7 finish getImage
19:15:32 387	 1:start getImage
19:15:32 387	 2 getImage times:0
19:15:32 401	3  GrabFrame times:0,result=
19:15:32 406	 5 ImageProcess result=
19:15:32 409	7 finish getImage
19:15:32 576	 1:start getImage
19:15:32 577	 2 getImage times:0
19:15:32 577	3  GrabFrame times:0,result=
19:15:32 582	 5 ImageProcess result=
19:15:32 585	7 finish getImage
19:15:32 586	 1:start getImage
19:15:32 586	 2 getImage times:0
19:15:32 600	3  GrabFrame times:0,result=
19:15:32 605	 5 ImageProcess result=
19:15:32 608	7 finish getImage
19:15:32 777	 1:start getImage
19:15:32 778	 2 getImage times:0
19:15:32 779	3  GrabFrame times:0,result=
19:15:32 783	 5 ImageProcess result=
19:15:32 786	7 finish getImage
19:15:32 787	 1:start getImage
19:15:32 788	 2 getImage times:0
19:15:32 800	3  GrabFrame times:0,result=
19:15:32 805	 5 ImageProcess result=
19:15:32 808	7 finish getImage
19:15:32 977	 1:start getImage
19:15:32 978	 2 getImage times:0
19:15:32 978	3  GrabFrame times:0,result=
19:15:32 983	 5 ImageProcess result=
19:15:32 986	7 finish getImage
19:15:32 987	 1:start getImage
19:15:32 988	 2 getImage times:0
19:15:33 001	3  GrabFrame times:0,result=
19:15:33 005	 5 ImageProcess result=
19:15:33 008	7 finish getImage
19:15:33 178	 1:start getImage
19:15:33 179	 2 getImage times:0
19:15:33 180	3  GrabFrame times:0,result=
19:15:33 184	 5 ImageProcess result=
19:15:33 187	7 finish getImage
19:15:33 188	 1:start getImage
19:15:33 189	 2 getImage times:0
19:15:33 201	3  GrabFrame times:0,result=
19:15:33 205	 5 ImageProcess result=
19:15:33 208	7 finish getImage
19:15:33 377	 1:start getImage
19:15:33 377	 2 getImage times:0
19:15:33 378	3  GrabFrame times:0,result=
19:15:33 383	 5 ImageProcess result=
19:15:33 386	7 finish getImage
19:15:33 387	 1:start getImage
19:15:33 387	 2 getImage times:0
19:15:33 401	3  GrabFrame times:0,result=
19:15:33 405	 5 ImageProcess result=
19:15:33 408	7 finish getImage
19:15:33 577	 1:start getImage
19:15:33 577	 2 getImage times:0
19:15:33 578	3  GrabFrame times:0,result=
19:15:33 583	 5 ImageProcess result=
19:15:33 585	7 finish getImage
19:15:33 587	 1:start getImage
19:15:33 587	 2 getImage times:0
19:15:33 601	3  GrabFrame times:0,result=
19:15:33 606	 5 ImageProcess result=
19:15:33 609	7 finish getImage
19:15:33 777	 1:start getImage
19:15:33 777	 2 getImage times:0
19:15:33 778	3  GrabFrame times:0,result=
19:15:33 783	 5 ImageProcess result=
19:15:33 786	7 finish getImage
19:15:33 787	 1:start getImage
19:15:33 788	 2 getImage times:0
19:15:33 801	3  GrabFrame times:0,result=
19:15:33 805	 5 ImageProcess result=
19:15:33 808	7 finish getImage
19:15:33 977	 1:start getImage
19:15:33 977	 2 getImage times:0
19:15:33 978	3  GrabFrame times:0,result=
19:15:33 983	 5 ImageProcess result=
19:15:33 986	7 finish getImage
19:15:33 987	 1:start getImage
19:15:33 987	 2 getImage times:0
19:15:34 001	3  GrabFrame times:0,result=
19:15:34 005	 5 ImageProcess result=
19:15:34 008	7 finish getImage
19:15:34 177	 1:start getImage
19:15:34 177	 2 getImage times:0
19:15:34 178	3  GrabFrame times:0,result=
19:15:34 183	 5 ImageProcess result=
