13:11:08 040	 start loadBaseParameter
13:11:13 212	 start loadBaseParameter
13:11:18 102	 start loadBaseParameter
13:11:22 914	 start loadBaseParameter
13:11:27 742	 start setSN
13:11:27 758	 start setSN
13:11:27 758	 start setSN
13:11:27 758	 start setSN
13:11:27 758	 start loadPinDef
13:11:27 789	 finished loadPinDef
13:11:27 789	 start loadPinDef
13:11:27 789	 finished loadPinDef
13:11:27 805	 start loadPinDef
13:11:27 805	 finished loadPinDef
13:11:27 820	 start loadPinDef
13:11:27 820	 finished loadPinDef
16:16:59 553	 start setSN
16:16:59 553	 start setSN
16:16:59 553	 start setSN
16:16:59 553	 start setSN
16:18:28 187	 start loadPinDef
16:18:28 202	 finished loadPinDef
16:18:28 218	 start setSN
16:18:30 233	start cam_stop 
16:18:30 358	finish cam_stop 
16:18:30 358	 start Playnew
16:18:30 358	into cam_play:deviceID3 
16:18:30 358	openDevice:deviceID3 
16:18:30 499	开始sensor power:deviceID 3 
16:18:30 874	完成sensor power:deviceID 3 
16:18:30 889	完成Pin set:deviceID 3 
16:18:31 218	完成I2C set:deviceID 3 
16:18:31 374	start InitSensor :deviceID 3 
16:18:31 858	完成 InitSensor  :deviceID 3 
16:18:31 858	set image format  :deviceID 3 
16:18:31 905	start Video :deviceID 3 
16:18:31 921	malloc memory :deviceID 3 
16:18:31 936	disable ISX019 AE :deviceID 3 
16:18:31 936	 WriteI2C:34,0,998,0 
16:18:31 936	 write I2C 0x998
16:18:32 889	finished play :deviceID 3 
16:18:34 905	 1:start getImage
16:18:34 905	 2 getImage times:0
16:18:34 905	3  GrabFrame times:0,result=
16:18:34 905	 5 ImageProcess result=
16:18:34 905	7 finish getImage
16:18:34 920	 1:start getImage
16:18:34 920	 2 getImage times:0
16:18:34 920	3  GrabFrame times:0,result=
16:18:34 920	 5 ImageProcess result=
16:18:34 936	7 finish getImage
16:19:42 994	 1:start getImage
16:19:42 994	 2 getImage times:0
16:19:42 994	3  GrabFrame times:0,result=
16:19:43 025	 5 ImageProcess result=
16:19:43 025	7 finish getImage
16:19:43 041	 1:start getImage
16:19:43 041	 2 getImage times:0
16:19:43 041	3  GrabFrame times:0,result=
16:19:43 041	 5 ImageProcess result=
16:19:43 056	7 finish getImage
16:19:43 947	 1:start getImage
16:19:43 947	 2 getImage times:0
16:19:43 963	3  GrabFrame times:0,result=
16:19:43 978	 5 ImageProcess result=
16:19:43 994	7 finish getImage
16:19:43 994	 1:start getImage
16:19:44 009	 2 getImage times:0
16:19:44 009	3  GrabFrame times:0,result=
16:19:44 025	 5 ImageProcess result=
16:19:44 025	7 finish getImage
16:19:44 806	 1:start getImage
16:19:44 806	 2 getImage times:0
16:19:44 822	3  GrabFrame times:0,result=
