10:05:24 903	 start loadBaseParameter
10:05:29 981	 start loadBaseParameter
10:05:34 325	 start loadBaseParameter
10:05:38 668	 start loadBaseParameter
10:05:43 027	 start setSN
10:05:43 043	 start setSN
10:05:43 043	 start setSN
10:05:43 043	 start setSN
10:05:43 058	 start loadPinDef
10:05:43 074	 finished loadPinDef
10:05:43 090	 start loadPinDef
10:05:43 105	 finished loadPinDef
10:05:43 105	 start loadPinDef
10:05:43 105	 finished loadPinDef
10:05:43 121	 start loadPinDef
10:05:43 121	 finished loadPinDef
10:12:41 301	 start setSN
10:12:41 301	 start setSN
10:12:41 301	 start setSN
10:12:41 301	 start setSN
10:16:28 848	 start loadPinDef
10:16:28 863	 finished loadPinDef
10:16:28 879	 start setSN
10:16:30 894	start cam_stop 
10:16:31 019	finish cam_stop 
10:16:31 019	 start Playnew
10:16:31 019	into cam_play:deviceID1 
10:16:31 019	openDevice:deviceID1 
10:16:31 332	开始sensor power:deviceID 1 
10:16:31 707	完成sensor power:deviceID 1 
10:16:31 738	完成Pin set:deviceID 1 
10:16:32 066	完成I2C set:deviceID 1 
10:16:32 222	start InitSensor :deviceID 1 
10:16:32 707	完成 InitSensor  :deviceID 1 
10:16:32 707	set image format  :deviceID 1 
10:16:32 738	start Video :deviceID 1 
10:16:32 754	malloc memory :deviceID 1 
10:16:32 785	disable ISX019 AE :deviceID 1 
10:16:32 785	 WriteI2C:34,0,998,0 
10:16:32 785	 write I2C 0x998
10:16:33 738	finished play :deviceID 1 
10:16:35 753	 1:start getImage
10:16:35 753	 2 getImage times:0
10:16:35 753	3  GrabFrame times:0,result=
10:16:35 753	 5 ImageProcess result=
10:16:35 753	7 finish getImage
10:16:35 769	 1:start getImage
10:16:35 769	 2 getImage times:0
10:16:35 769	3  GrabFrame times:0,result=
10:16:35 769	 5 ImageProcess result=
10:16:35 785	7 finish getImage
10:17:10 502	 start loadPinDef
10:17:10 533	 finished loadPinDef
10:17:10 533	 start setSN
10:17:12 548	start cam_stop 
10:17:12 673	finish cam_stop 
10:17:12 673	 start Playnew
10:17:12 673	into cam_play:deviceID2 
10:17:12 673	openDevice:deviceID2 
10:17:12 986	开始sensor power:deviceID 2 
10:17:13 361	完成sensor power:deviceID 2 
10:17:13 376	完成Pin set:deviceID 2 
10:17:13 705	完成I2C set:deviceID 2 
10:17:13 861	start InitSensor :deviceID 2 
10:17:14 345	完成 InitSensor  :deviceID 2 
10:17:14 345	set image format  :deviceID 2 
10:17:14 376	start Video :deviceID 2 
10:17:14 376	malloc memory :deviceID 2 
10:17:14 376	disable ISX019 AE :deviceID 2 
10:17:14 376	 WriteI2C:34,0,998,0 
10:17:14 376	 write I2C 0x998
10:17:14 580	finished play :deviceID 2 
10:17:16 606	 1:start getImage
10:17:16 606	 2 getImage times:0
10:17:16 606	3  GrabFrame times:0,result=
10:17:16 611	 5 ImageProcess result=
10:17:16 616	7 finish getImage
10:17:16 621	 1:start getImage
10:17:16 621	 2 getImage times:0
10:17:19 635	3  GrabFrame times:0,result=
10:17:19 698	 2 getImage times:1
10:17:22 713	3  GrabFrame times:1,result=
10:17:22 776	 2 getImage times:2
10:17:25 791	3  GrabFrame times:2,result=
10:17:25 854	 1:start getImage
