14:32:26 958	 start loadBaseParameter
14:32:28 049	 start setSN
14:32:28 053	 start setSN
14:32:28 055	 start setSN
14:32:28 059	 start setSN
14:32:28 061	 start loadPinDef
14:32:28 067	 finished loadPinDef
14:32:28 071	 start loadPinDef
14:32:28 075	 finished loadPinDef
14:32:28 079	 start loadPinDef
14:32:28 083	 finished loadPinDef
14:32:28 089	 start loadPinDef
14:32:28 093	 finished loadPinDef
14:56:09 073	 start loadBaseParameter
14:56:10 131	 start setSN
14:56:10 137	 start setSN
14:56:10 144	 start setSN
14:56:10 146	 start setSN
14:56:10 150	 start loadPinDef
14:56:10 156	 finished loadPinDef
14:56:10 160	 start loadPinDef
14:56:10 164	 finished loadPinDef
14:56:10 168	 start loadPinDef
14:56:10 172	 finished loadPinDef
14:56:10 176	 start loadPinDef
14:56:10 180	 finished loadPinDef
15:11:29 777	 start loadBaseParameter
15:11:30 839	 start setSN
15:11:30 843	 start setSN
15:11:30 845	 start setSN
15:11:30 849	 start setSN
15:11:30 853	 start loadPinDef
15:11:30 857	 finished loadPinDef
15:11:30 861	 start loadPinDef
15:11:30 867	 finished loadPinDef
15:11:30 871	 start loadPinDef
15:11:30 875	 finished loadPinDef
15:11:30 881	 start loadPinDef
15:11:30 885	 finished loadPinDef
15:46:44 546	 start setSN
15:46:44 550	 start setSN
15:46:44 553	 start setSN
15:46:44 557	 start setSN
15:47:39 294	 start loadBaseParameter
15:47:40 353	 start setSN
15:47:40 357	 start setSN
15:47:40 361	 start setSN
15:47:40 365	 start setSN
15:47:40 367	 start loadPinDef
15:47:40 373	 finished loadPinDef
15:47:40 377	 start loadPinDef
15:47:40 381	 finished loadPinDef
15:47:40 385	 start loadPinDef
15:47:40 391	 finished loadPinDef
15:47:40 395	 start loadPinDef
15:47:40 399	 finished loadPinDef
15:48:49 968	 start setSN
15:48:49 972	 start setSN
15:48:49 976	 start setSN
15:48:49 980	 start setSN
15:50:56 319	 start loadBaseParameter
15:50:57 388	 start setSN
15:50:57 392	 start setSN
15:50:57 396	 start setSN
15:50:57 399	 start setSN
