21:25:57 632	 start loadBaseParameter
21:26:01 718	 start setSN
21:26:02 012	 start setSN
21:26:02 032	 start loadPinDef
21:26:02 037	 finished loadPinDef
21:26:02 040	 start loadPinDef
21:26:02 044	 finished loadPinDef
21:26:02 048	 start loadPinDef
21:26:02 052	 finished loadPinDef
21:26:02 056	 start loadPinDef
21:26:02 059	 finished loadPinDef
21:26:14 037	 start loadPinDef
21:26:14 041	 finished loadPinDef
21:26:14 045	 start setSN
21:26:14 046	start cam_stop 
21:26:14 148	finish cam_stop 
21:26:14 650	start cam_stop 
21:26:14 753	finish cam_stop 
21:26:14 754	 start Playnew
21:26:14 755	into cam_play:deviceID1 
21:26:14 755	openDevice:deviceID1 
21:26:14 879	开始sensor power:deviceID 1 
21:26:15 173	完成sensor power:deviceID 1 
21:26:15 184	完成Pin set:deviceID 1 
21:26:15 464	完成I2C set:deviceID 1 
21:26:15 581	start InitSensor :deviceID 1 
21:26:15 880	完成 InitSensor  :deviceID 1 
21:26:15 881	set image format  :deviceID 1 
21:26:15 900	start Video :deviceID 1 
21:26:15 908	malloc memory :deviceID 1 
21:26:15 912	 WriteI2C:34,0,998,0 
21:26:15 912	 write I2C 0x998
21:26:16 693	finished play :deviceID 1 
21:26:16 700	 1:start getImage
21:26:16 700	 2 getImage times:0
21:26:17 701	3  GrabFrame times:0,result=
21:26:17 752	 2 getImage times:1
21:26:18 752	3  GrabFrame times:1,result=
21:26:18 803	 2 getImage times:2
21:26:19 804	3  GrabFrame times:2,result=
21:26:19 858	 1:start getImage
21:26:19 859	 2 getImage times:0
21:26:20 860	3  GrabFrame times:0,result=
21:26:20 911	 2 getImage times:1
21:26:21 912	3  GrabFrame times:1,result=
21:26:21 963	 2 getImage times:2
21:26:22 963	3  GrabFrame times:2,result=
21:26:23 016	 1:start getImage
21:26:23 016	 2 getImage times:0
21:26:24 017	3  GrabFrame times:0,result=
21:26:24 068	 2 getImage times:1
21:26:25 069	3  GrabFrame times:1,result=
21:26:25 120	 2 getImage times:2
21:26:26 120	3  GrabFrame times:2,result=
21:26:26 172	 1:start getImage
21:26:26 173	 2 getImage times:0
21:26:27 175	3  GrabFrame times:0,result=
21:26:27 226	 2 getImage times:1
