16:45:29 326	 start loadBaseParameter
16:45:30 774	 start setSN
16:45:30 775	 start setSN
16:45:30 776	 start setSN
16:45:30 777	 start setSN
16:45:30 778	 start loadPinDef
16:45:30 782	 finished loadPinDef
16:45:30 786	 start loadPinDef
16:45:30 789	 finished loadPinDef
16:45:30 793	 start loadPinDef
16:45:30 797	 finished loadPinDef
16:45:30 801	 start loadPinDef
16:45:30 804	 finished loadPinDef
16:47:44 398	 start setSN
16:47:44 400	 start setSN
16:47:44 402	 start setSN
16:47:44 403	 start setSN
17:01:46 102	 start loadPinDef
17:01:46 106	 finished loadPinDef
17:01:46 109	 start setSN
17:01:46 111	start cam_stop 
17:01:46 213	finish cam_stop 
17:01:46 714	start cam_stop 
17:01:46 817	finish cam_stop 
17:01:46 817	 start Playnew
17:01:46 818	into cam_play:deviceID1 
17:01:46 819	openDevice:deviceID1 
17:01:46 944	开始sensor power:deviceID 1 
17:01:47 238	完成sensor power:deviceID 1 
17:01:47 249	完成Pin set:deviceID 1 
17:01:47 530	完成I2C set:deviceID 1 
17:01:47 652	start InitSensor :deviceID 1 
17:01:47 952	完成 InitSensor  :deviceID 1 
17:01:47 953	set image format  :deviceID 1 
17:01:47 972	start Video :deviceID 1 
17:01:47 980	malloc memory :deviceID 1 
17:01:47 983	 WriteI2C:34,0,998,0 
17:01:47 984	 write I2C 0x998
17:01:48 763	finished play :deviceID 1 
17:01:48 765	 1:start getImage
17:01:48 766	 2 getImage times:0
17:01:48 767	3  GrabFrame times:0,result=
17:01:48 772	 5 ImageProcess result=
17:01:48 775	7 finish getImage
17:01:48 777	 1:start getImage
17:01:48 778	 2 getImage times:0
17:01:48 782	3  GrabFrame times:0,result=
17:01:48 786	 5 ImageProcess result=
17:01:48 789	7 finish getImage
17:01:48 794	 WriteI2C:fc,0,998,100 
17:01:48 794	 write I2C 0x998
17:01:49 577	 1:start getImage
17:01:49 578	 2 getImage times:0
17:01:49 580	3  GrabFrame times:0,result=
17:01:49 586	 5 ImageProcess result=
17:01:49 591	7 finish getImage
17:01:49 593	 1:start getImage
17:01:49 594	 2 getImage times:0
17:01:49 595	3  GrabFrame times:0,result=
17:01:49 600	 5 ImageProcess result=
17:01:49 608	7 finish getImage
17:01:49 891	 1:start getImage
17:01:49 892	 2 getImage times:0
17:01:49 893	3  GrabFrame times:0,result=
17:01:49 898	 5 ImageProcess result=
17:01:49 901	7 finish getImage
17:01:49 902	 1:start getImage
17:01:49 903	 2 getImage times:0
17:01:49 904	3  GrabFrame times:0,result=
17:01:49 909	 5 ImageProcess result=
17:01:49 912	7 finish getImage
17:01:50 081	 1:start getImage
17:01:50 082	 2 getImage times:0
17:01:50 083	3  GrabFrame times:0,result=
17:01:50 088	 5 ImageProcess result=
17:01:50 091	7 finish getImage
17:01:50 092	 1:start getImage
17:01:50 093	 2 getImage times:0
17:01:50 102	3  GrabFrame times:0,result=
17:01:50 107	 5 ImageProcess result=
17:01:50 110	7 finish getImage
17:01:50 278	 1:start getImage
17:01:50 279	 2 getImage times:0
17:01:50 280	3  GrabFrame times:0,result=
17:01:50 285	 5 ImageProcess result=
17:01:50 288	7 finish getImage
17:01:50 289	 1:start getImage
17:01:50 290	 2 getImage times:0
17:01:50 302	3  GrabFrame times:0,result=
17:01:50 306	 5 ImageProcess result=
17:01:50 309	7 finish getImage
17:01:50 477	 1:start getImage
17:01:50 478	 2 getImage times:0
17:01:50 479	3  GrabFrame times:0,result=
17:01:50 483	 5 ImageProcess result=
17:01:50 487	7 finish getImage
17:01:50 488	 1:start getImage
17:01:50 489	 2 getImage times:0
17:01:50 502	3  GrabFrame times:0,result=
17:01:50 506	 5 ImageProcess result=
17:01:50 509	7 finish getImage
17:01:50 677	 1:start getImage
17:01:50 678	 2 getImage times:0
17:01:50 679	3  GrabFrame times:0,result=
17:01:50 683	 5 ImageProcess result=
17:01:50 686	7 finish getImage
17:01:50 688	 1:start getImage
17:01:50 689	 2 getImage times:0
17:01:50 702	3  GrabFrame times:0,result=
17:01:50 706	 5 ImageProcess result=
17:01:50 709	7 finish getImage
17:01:50 879	 1:start getImage
17:01:50 880	 2 getImage times:0
17:01:50 881	3  GrabFrame times:0,result=
17:01:50 885	 5 ImageProcess result=
17:01:50 888	7 finish getImage
17:01:50 890	 1:start getImage
17:01:50 890	 2 getImage times:0
17:01:50 902	3  GrabFrame times:0,result=
17:01:50 906	 5 ImageProcess result=
17:01:50 909	7 finish getImage
17:01:51 077	 1:start getImage
17:01:51 078	 2 getImage times:0
17:01:51 079	3  GrabFrame times:0,result=
17:01:51 084	 5 ImageProcess result=
17:01:51 087	7 finish getImage
17:01:51 089	 1:start getImage
17:01:51 089	 2 getImage times:0
17:01:51 102	3  GrabFrame times:0,result=
17:01:51 107	 5 ImageProcess result=
17:01:51 110	7 finish getImage
17:01:51 277	 1:start getImage
17:01:51 278	 2 getImage times:0
17:01:51 279	3  GrabFrame times:0,result=
17:01:51 284	 5 ImageProcess result=
17:01:51 288	7 finish getImage
17:01:51 290	 1:start getImage
17:01:51 291	 2 getImage times:0
17:01:51 302	3  GrabFrame times:0,result=
17:01:51 308	 5 ImageProcess result=
17:01:51 312	7 finish getImage
17:01:51 481	 1:start getImage
17:01:51 482	 2 getImage times:0
17:01:51 483	3  GrabFrame times:0,result=
17:01:51 488	 5 ImageProcess result=
17:01:51 491	7 finish getImage
17:01:51 492	 1:start getImage
