15:40:53 757	 start loadPinDef
15:40:53 773	 finished loadPinDef
15:40:53 773	 start loadPinDef
15:40:53 789	 finished loadPinDef
15:42:47 005	 start loadBaseParameter
15:42:47 365	 start loadBaseParameter
15:42:47 615	 start loadBaseParameter
15:42:47 865	 start loadBaseParameter
15:42:48 130	 start setSN
15:42:48 130	 start setSN
15:42:48 130	 start setSN
15:42:48 130	 start setSN
15:42:48 130	 start loadPinDef
15:42:48 130	 finished loadPinDef
15:42:48 146	 start loadPinDef
15:42:48 146	 finished loadPinDef
15:42:48 162	 start loadPinDef
15:42:48 162	 finished loadPinDef
15:42:48 177	 start loadPinDef
15:42:48 177	 finished loadPinDef
15:43:50 593	 start loadBaseParameter
15:43:51 124	 start loadBaseParameter
15:43:51 374	 start loadBaseParameter
15:43:51 624	 start loadBaseParameter
15:43:51 874	 start setSN
15:43:51 874	 start setSN
15:43:51 874	 start setSN
15:43:51 890	 start setSN
15:43:51 890	 start loadPinDef
15:43:51 890	 finished loadPinDef
15:43:51 890	 start loadPinDef
15:43:51 905	 finished loadPinDef
15:43:51 905	 start loadPinDef
15:43:51 921	 finished loadPinDef
15:43:51 921	 start loadPinDef
15:43:51 937	 finished loadPinDef
15:54:37 201	 start setSN
15:54:37 211	 start setSN
15:54:37 216	 start setSN
15:54:37 226	 start setSN
15:54:58 475	 start loadBaseParameter
15:54:58 991	 start loadBaseParameter
15:54:59 241	 start loadBaseParameter
15:54:59 491	 start loadBaseParameter
15:54:59 741	 start setSN
15:54:59 741	 start setSN
15:54:59 741	 start setSN
15:54:59 756	 start setSN
15:54:59 756	 start loadPinDef
15:54:59 756	 finished loadPinDef
15:54:59 772	 start loadPinDef
15:54:59 772	 finished loadPinDef
15:54:59 772	 start loadPinDef
15:54:59 788	 finished loadPinDef
15:54:59 788	 start loadPinDef
15:54:59 803	 finished loadPinDef
20:21:38 040	 start loadBaseParameter
20:21:38 603	 start loadBaseParameter
20:21:38 837	 start loadBaseParameter
20:21:39 087	 start loadBaseParameter
20:21:39 337	 start setSN
20:21:39 337	 start setSN
20:21:39 337	 start setSN
20:21:39 353	 start setSN
20:21:39 353	 start loadPinDef
20:21:39 353	 finished loadPinDef
20:21:39 368	 start loadPinDef
20:21:39 368	 finished loadPinDef
20:21:39 384	 start loadPinDef
20:21:39 384	 finished loadPinDef
20:21:39 400	 start loadPinDef
20:21:39 400	 finished loadPinDef
20:40:36 056	 start setSN
20:40:36 056	 start setSN
20:40:36 056	 start setSN
20:40:36 056	 start setSN
20:42:29 401	 start setSN
20:42:29 401	 start setSN
20:42:29 401	 start setSN
20:42:29 401	 start setSN
20:42:58 774	 start setSN
20:43:00 821	start cam_stop 
20:43:00 946	finish cam_stop 
20:43:00 946	 start Playnew
20:43:00 946	into cam_play:deviceID0 
20:43:00 961	openDevice:deviceID0 
20:43:01 117	开始sensor power:deviceID 0 
20:43:01 492	完成sensor power:deviceID 0 
20:43:01 508	完成Pin set:deviceID 0 
20:43:01 852	完成I2C set:deviceID 0 
20:43:02 008	start InitSensor :deviceID 0 
20:43:02 492	start InitSensor failed 1 times :deviceID 0 
20:43:03 086	start InitSensor failed 2 times :deviceID 0 
20:43:03 680	start InitSensor failed 3 times :deviceID 0 
20:43:03 680	start cam_stop 
20:43:03 820	finish cam_stop 
20:43:04 023	 start Playnew
20:43:04 023	into cam_play:deviceID0 
20:43:04 023	openDevice:deviceID0 
20:43:04 227	开始sensor power:deviceID 0 
20:43:04 602	完成sensor power:deviceID 0 
20:43:04 633	完成Pin set:deviceID 0 
20:43:04 961	完成I2C set:deviceID 0 
20:43:05 117	start InitSensor :deviceID 0 
20:43:05 601	start InitSensor failed 1 times :deviceID 0 
20:43:06 195	start InitSensor failed 2 times :deviceID 0 
20:43:06 789	start InitSensor failed 3 times :deviceID 0 
20:43:06 789	start cam_stop 
20:43:06 914	finish cam_stop 
20:43:06 914	 start Playnew
20:43:06 914	into cam_play:deviceID0 
20:43:06 914	openDevice:deviceID0 
20:43:07 070	开始sensor power:deviceID 0 
20:43:07 445	完成sensor power:deviceID 0 
20:43:07 461	完成Pin set:deviceID 0 
20:43:07 804	完成I2C set:deviceID 0 
20:43:07 961	start InitSensor :deviceID 0 
20:43:08 445	start InitSensor failed 1 times :deviceID 0 
20:43:09 086	start InitSensor failed 2 times :deviceID 0 
20:43:09 679	start InitSensor failed 3 times :deviceID 0 
20:43:09 679	start cam_stop 
20:43:09 820	finish cam_stop 
20:43:10 039	 start Playnew
20:43:10 039	into cam_play:deviceID0 
20:43:10 039	openDevice:deviceID0 
20:43:10 242	开始sensor power:deviceID 0 
20:43:10 632	完成sensor power:deviceID 0 
20:43:10 648	完成Pin set:deviceID 0 
20:43:11 007	完成I2C set:deviceID 0 
20:43:11 164	start InitSensor :deviceID 0 
20:43:11 648	start InitSensor failed 1 times :deviceID 0 
20:43:12 242	start InitSensor failed 2 times :deviceID 0 
20:43:12 835	start InitSensor failed 3 times :deviceID 0 
20:43:14 851	 start getImage
20:43:14 851	  getImage times:0
20:43:14 913	  getImage times:1
20:43:14 976	  getImage times:2
20:43:15 038	 start getImage
20:43:15 038	  getImage times:0
20:43:15 101	  getImage times:1
20:43:15 163	  getImage times:2
20:43:15 226	 start getImage
20:43:15 226	  getImage times:0
20:43:15 288	  getImage times:1
20:43:15 351	  getImage times:2
20:43:15 413	 start getImage
20:43:15 413	  getImage times:0
20:43:15 476	  getImage times:1
20:43:15 538	  getImage times:2
20:43:15 601	 start getImage
20:43:15 601	  getImage times:0
20:43:15 679	  getImage times:1
20:43:15 741	  getImage times:2
20:43:15 804	 start getImage
20:43:15 804	  getImage times:0
20:43:15 882	  getImage times:1
20:43:15 945	  getImage times:2
20:43:34 756	 start getImage
20:43:34 756	  getImage times:0
20:43:34 834	  getImage times:1
20:43:34 896	  getImage times:2
20:43:34 959	 start getImage
20:43:34 974	  getImage times:0
20:43:35 037	  getImage times:1
20:43:35 099	  getImage times:2
20:43:35 162	 start getImage
20:43:35 162	  getImage times:0
20:43:35 240	  getImage times:1
20:43:35 303	  getImage times:2
20:43:35 428	 start getImage
20:43:35 428	  getImage times:0
20:43:35 506	  getImage times:1
20:43:35 568	  getImage times:2
20:43:35 631	 start getImage
20:43:35 631	  getImage times:0
20:43:35 709	  getImage times:1
20:43:35 771	  getImage times:2
20:43:35 834	 start getImage
20:43:35 849	  getImage times:0
20:43:35 912	  getImage times:1
20:43:35 974	  getImage times:2
20:43:45 114	 start setSN
20:43:45 114	start cam_stop 
20:43:45 255	finish cam_stop 
20:43:45 771	start cam_stop 
20:43:45 896	finish cam_stop 
20:43:45 896	 start Playnew
20:43:45 896	into cam_play:deviceID0 
20:43:45 911	openDevice:deviceID0 
20:43:46 099	开始sensor power:deviceID 0 
20:43:46 474	完成sensor power:deviceID 0 
20:43:46 505	完成Pin set:deviceID 0 
20:43:46 849	完成I2C set:deviceID 0 
20:43:47 005	start InitSensor :deviceID 0 
20:43:47 489	start InitSensor failed 1 times :deviceID 0 
20:43:48 083	start InitSensor failed 2 times :deviceID 0 
20:43:48 692	start InitSensor failed 3 times :deviceID 0 
20:43:48 692	start cam_stop 
20:43:48 833	finish cam_stop 
20:43:49 052	 start Playnew
20:43:49 052	into cam_play:deviceID0 
20:43:49 052	openDevice:deviceID0 
20:43:49 255	开始sensor power:deviceID 0 
20:43:49 630	完成sensor power:deviceID 0 
20:43:49 661	完成Pin set:deviceID 0 
20:43:50 005	完成I2C set:deviceID 0 
20:43:50 161	start InitSensor :deviceID 0 
20:43:50 645	start InitSensor failed 1 times :deviceID 0 
20:43:51 239	start InitSensor failed 2 times :deviceID 0 
20:43:51 833	start InitSensor failed 3 times :deviceID 0 
20:43:52 051	 start getImage
20:43:52 051	  getImage times:0
20:43:52 114	  getImage times:1
20:43:52 176	  getImage times:2
20:43:52 239	 start getImage
20:43:52 255	  getImage times:0
20:43:52 317	  getImage times:1
20:43:52 380	  getImage times:2
20:43:52 442	 start getImage
20:43:52 442	  getImage times:0
20:43:52 520	  getImage times:1
20:43:52 583	  getImage times:2
20:43:52 645	 start getImage
20:43:52 645	  getImage times:0
20:43:52 723	  getImage times:1
20:43:52 786	  getImage times:2
20:43:52 848	 start getImage
20:43:52 864	  getImage times:0
20:43:52 926	  getImage times:1
20:43:52 989	  getImage times:2
20:43:53 051	 start getImage
20:43:53 051	  getImage times:0
20:43:53 129	  getImage times:1
20:43:53 192	  getImage times:2
20:43:57 739	start cam_stop 
20:43:57 864	finish cam_stop 
