14:27:47 532	 start loadBaseParameter
14:27:52 408	 start loadBaseParameter
14:27:57 074	 start loadBaseParameter
14:28:01 786	 start loadBaseParameter
14:28:06 495	 start setSN
14:28:06 498	 start setSN
14:28:06 501	 start setSN
14:28:06 504	 start setSN
14:32:33 406	 start setSN
14:32:33 414	start cam_stop 
14:32:33 521	finish cam_stop 
14:32:33 729	start cam_stop 
14:32:33 837	finish cam_stop 
14:32:33 844	 start Playnew
14:32:33 850	into cam_play:deviceID0 
14:32:33 856	openDevice:deviceID0 
14:32:33 997	开始sensor power:deviceID 0 
14:32:34 298	完成sensor power:deviceID 0 
14:32:34 327	完成Pin set:deviceID 0 
14:32:34 619	完成I2C set:deviceID 0 
14:32:34 754	SensorIsMe check failed:deviceID 0 
14:32:34 760	start cam_stop 
14:32:34 880	finish cam_stop 
14:32:35 086	 start Playnew
14:32:35 092	into cam_play:deviceID0 
14:32:35 098	openDevice:deviceID0 
14:32:35 256	开始sensor power:deviceID 0 
14:32:35 557	完成sensor power:deviceID 0 
14:32:35 587	完成Pin set:deviceID 0 
14:32:35 879	完成I2C set:deviceID 0 
14:32:36 012	SensorIsMe check failed:deviceID 0 
14:32:47 454	 start setSN
14:32:47 460	start cam_stop 
14:32:47 565	finish cam_stop 
14:32:47 771	start cam_stop 
14:32:47 879	finish cam_stop 
14:32:47 886	 start Playnew
14:32:47 892	into cam_play:deviceID1 
14:32:47 897	openDevice:deviceID1 
14:32:48 237	开始sensor power:deviceID 1 
14:32:48 540	完成sensor power:deviceID 1 
14:32:48 569	完成Pin set:deviceID 1 
14:32:48 857	完成I2C set:deviceID 1 
14:32:48 992	SensorIsMe check failed:deviceID 1 
14:32:48 998	start cam_stop 
14:32:49 119	finish cam_stop 
14:32:49 326	 start Playnew
14:32:49 332	into cam_play:deviceID1 
14:32:49 338	openDevice:deviceID1 
14:32:49 689	开始sensor power:deviceID 1 
14:32:49 991	完成sensor power:deviceID 1 
14:32:50 020	完成Pin set:deviceID 1 
14:32:50 312	完成I2C set:deviceID 1 
14:32:50 446	SensorIsMe check failed:deviceID 1 
14:33:36 798	 start loadBaseParameter
14:33:43 301	 start loadBaseParameter
14:33:53 729	 start setSN
14:33:54 733	 start setSN
14:34:16 755	 start Playnew
14:34:16 757	into cam_play:deviceID0 
14:34:16 758	openDevice:deviceID0 
14:34:16 908	开始sensor power:deviceID 0 
14:34:17 216	完成sensor power:deviceID 0 
14:34:17 235	完成Pin set:deviceID 0 
14:34:17 526	完成I2C set:deviceID 0 
14:34:17 652	start InitSensor :deviceID 0 
14:34:17 658	start InitSensor failed 1 times :deviceID 0 
14:34:17 766	start InitSensor failed 2 times :deviceID 0 
14:34:17 873	start InitSensor failed 3 times :deviceID 0 
14:34:17 879	 start Playnew
14:34:17 884	into cam_play:deviceID0 
14:34:17 890	openDevice:deviceID0 
14:34:18 047	开始sensor power:deviceID 0 
14:34:18 352	完成sensor power:deviceID 0 
14:34:18 382	完成Pin set:deviceID 0 
14:34:18 678	完成I2C set:deviceID 0 
14:34:18 804	start InitSensor :deviceID 0 
14:34:18 810	start InitSensor failed 1 times :deviceID 0 
14:34:18 918	start InitSensor failed 2 times :deviceID 0 
14:34:19 025	start InitSensor failed 3 times :deviceID 0 
14:34:19 030	 start Playnew
14:34:19 036	into cam_play:deviceID0 
14:34:19 042	openDevice:deviceID0 
14:34:19 200	开始sensor power:deviceID 0 
14:34:19 500	完成sensor power:deviceID 0 
14:34:19 530	完成Pin set:deviceID 0 
14:34:19 823	完成I2C set:deviceID 0 
14:34:19 950	start InitSensor :deviceID 0 
14:34:19 956	start InitSensor failed 1 times :deviceID 0 
14:34:20 063	start InitSensor failed 2 times :deviceID 0 
14:34:20 169	start InitSensor failed 3 times :deviceID 0 
14:34:23 549	 1:start getImage
14:34:23 554	 2 getImage times:0
14:34:23 557	3  GrabFrame times:0,result=
14:34:23 611	 2 getImage times:1
14:34:23 616	3  GrabFrame times:1,result=
14:34:23 672	 2 getImage times:2
14:34:23 678	3  GrabFrame times:2,result=
14:34:23 766	 1:start getImage
14:34:23 769	 2 getImage times:0
14:34:23 771	3  GrabFrame times:0,result=
14:34:23 825	 2 getImage times:1
14:34:23 826	3  GrabFrame times:1,result=
14:34:23 878	 2 getImage times:2
14:34:23 879	3  GrabFrame times:2,result=
14:34:23 962	 1:start getImage
14:34:23 968	 2 getImage times:0
14:34:23 974	3  GrabFrame times:0,result=
14:34:24 029	 2 getImage times:1
14:34:24 035	3  GrabFrame times:1,result=
14:34:24 092	 2 getImage times:2
14:34:24 098	3  GrabFrame times:2,result=
14:34:24 185	 1:start getImage
14:34:24 191	 2 getImage times:0
14:34:24 197	3  GrabFrame times:0,result=
14:34:24 253	 2 getImage times:1
14:34:24 259	3  GrabFrame times:1,result=
14:34:24 315	 2 getImage times:2
14:34:24 321	3  GrabFrame times:2,result=
14:34:24 409	 1:start getImage
14:34:24 415	 2 getImage times:0
