14:08:09 436	 start loadBaseParameter
14:08:14 639	 start loadBaseParameter
14:08:19 451	 start loadBaseParameter
14:08:24 279	 start loadBaseParameter
14:08:29 122	 start setSN
14:08:29 122	 start setSN
14:08:29 122	 start setSN
14:08:29 122	 start setSN
14:08:29 138	 start loadPinDef
14:08:29 153	 finished loadPinDef
14:08:29 153	 start loadPinDef
14:08:29 153	 finished loadPinDef
14:08:29 169	 start loadPinDef
14:08:29 169	 finished loadPinDef
14:08:29 185	 start loadPinDef
14:08:29 185	 finished loadPinDef
16:05:36 503	 start loadPinDef
16:05:36 535	 finished loadPinDef
16:05:36 550	 start setSN
16:05:36 550	start cam_stop 
16:05:36 675	finish cam_stop 
16:05:36 894	start cam_stop 
16:05:37 019	finish cam_stop 
16:05:37 019	 start Playnew
16:05:37 019	into cam_play:deviceID3 
16:05:37 035	openDevice:deviceID3 
16:05:37 206	开始sensor power:deviceID 3 
16:05:37 581	完成sensor power:deviceID 3 
16:05:37 613	完成Pin set:deviceID 3 
16:05:37 956	完成I2C set:deviceID 3 
16:05:38 113	start InitSensor :deviceID 3 
16:05:38 597	完成 InitSensor  :deviceID 3 
16:05:38 597	set image format  :deviceID 3 
16:05:38 644	start Video :deviceID 3 
16:05:38 659	malloc memory :deviceID 3 
16:05:38 659	disable ISX019 AE :deviceID 3 
16:05:38 659	 WriteI2C:34,0,998,0 
16:05:38 675	 write I2C 0x998
16:05:39 675	finished play :deviceID 3 
16:05:39 691	 1:start getImage
16:05:39 691	 2 getImage times:0
16:05:39 706	3  GrabFrame times:0,result=
16:05:39 706	 5 ImageProcess result=
16:05:39 722	7 finish getImage
16:05:39 738	 1:start getImage
16:05:39 738	 2 getImage times:0
16:05:39 738	3  GrabFrame times:0,result=
16:05:39 738	 5 ImageProcess result=
16:05:39 738	7 finish getImage
16:05:40 206	 1:start getImage
16:05:40 206	 2 getImage times:0
16:05:40 222	3  GrabFrame times:0,result=
16:05:40 237	 5 ImageProcess result=
16:05:40 237	7 finish getImage
16:05:40 253	 1:start getImage
16:05:40 253	 2 getImage times:0
16:05:40 253	3  GrabFrame times:0,result=
16:05:40 269	 5 ImageProcess result=
16:05:40 269	7 finish getImage
16:05:40 472	 1:start getImage
16:05:40 472	 2 getImage times:0
16:05:40 487	3  GrabFrame times:0,result=
16:05:40 503	 5 ImageProcess result=
16:05:40 519	7 finish getImage
16:05:40 519	 1:start getImage
16:05:40 519	 2 getImage times:0
16:05:40 519	3  GrabFrame times:0,result=
16:05:40 534	 5 ImageProcess result=
16:05:40 550	7 finish getImage
16:05:40 737	 1:start getImage
16:05:40 737	 2 getImage times:0
16:05:40 737	3  GrabFrame times:0,result=
16:05:40 769	 5 ImageProcess result=
16:05:40 784	7 finish getImage
16:05:40 784	 1:start getImage
16:05:40 784	 2 getImage times:0
16:05:40 784	3  GrabFrame times:0,result=
16:05:40 800	 5 ImageProcess result=
16:05:40 816	7 finish getImage
16:05:41 003	 1:start getImage
16:05:41 003	 2 getImage times:0
16:05:41 019	3  GrabFrame times:0,result=
16:05:41 034	 5 ImageProcess result=
16:05:41 050	7 finish getImage
16:05:41 050	 1:start getImage
16:05:41 050	 2 getImage times:0
16:05:41 050	3  GrabFrame times:0,result=
16:05:41 066	 5 ImageProcess result=
16:05:41 081	7 finish getImage
16:05:41 269	 1:start getImage
16:05:41 269	 2 getImage times:0
16:05:41 269	3  GrabFrame times:0,result=
16:05:41 300	 5 ImageProcess result=
16:05:41 300	7 finish getImage
16:05:41 300	 1:start getImage
16:05:41 316	 2 getImage times:0
16:05:41 316	3  GrabFrame times:0,result=
16:05:41 316	 5 ImageProcess result=
16:05:41 331	7 finish getImage
16:05:41 519	 1:start getImage
16:05:41 519	 2 getImage times:0
16:05:41 519	3  GrabFrame times:0,result=
16:05:41 550	 5 ImageProcess result=
16:05:41 566	7 finish getImage
16:05:41 566	 1:start getImage
16:05:41 566	 2 getImage times:0
16:05:41 566	3  GrabFrame times:0,result=
16:05:41 581	 5 ImageProcess result=
16:05:41 597	7 finish getImage
16:05:41 784	 1:start getImage
16:05:41 784	 2 getImage times:0
16:05:41 784	3  GrabFrame times:0,result=
16:05:41 815	 5 ImageProcess result=
16:05:41 831	7 finish getImage
16:05:41 831	 1:start getImage
16:05:41 831	 2 getImage times:0
16:05:41 831	3  GrabFrame times:0,result=
16:05:41 847	 5 ImageProcess result=
16:05:41 862	7 finish getImage
16:05:42 050	 1:start getImage
16:05:42 050	 2 getImage times:0
16:05:42 050	3  GrabFrame times:0,result=
16:05:42 081	 5 ImageProcess result=
16:05:42 081	7 finish getImage
16:05:42 097	 1:start getImage
16:05:42 097	 2 getImage times:0
16:05:42 097	3  GrabFrame times:0,result=
16:05:42 097	 5 ImageProcess result=
16:05:42 097	7 finish getImage
16:05:42 300	 1:start getImage
16:05:42 300	 2 getImage times:0
16:05:42 300	3  GrabFrame times:0,result=
16:05:42 331	 5 ImageProcess result=
16:05:42 347	7 finish getImage
16:05:42 347	 1:start getImage
16:05:42 347	 2 getImage times:0
16:05:42 347	3  GrabFrame times:0,result=
16:05:42 362	 5 ImageProcess result=
16:05:42 378	7 finish getImage
16:05:42 565	 1:start getImage
16:05:42 565	 2 getImage times:0
16:05:42 581	3  GrabFrame times:0,result=
16:05:42 597	 5 ImageProcess result=
16:05:42 612	7 finish getImage
16:05:42 612	 1:start getImage
16:05:42 612	 2 getImage times:0
16:05:42 612	3  GrabFrame times:0,result=
16:05:42 628	 5 ImageProcess result=
16:05:42 644	7 finish getImage
16:05:42 831	 1:start getImage
16:05:42 831	 2 getImage times:0
16:05:42 831	3  GrabFrame times:0,result=
16:05:42 847	 5 ImageProcess result=
16:05:42 862	7 finish getImage
16:05:42 862	 1:start getImage
16:05:42 862	 2 getImage times:0
16:05:42 862	3  GrabFrame times:0,result=
16:05:42 878	 5 ImageProcess result=
16:05:42 878	7 finish getImage
16:05:43 065	 1:start getImage
16:05:43 065	 2 getImage times:0
16:05:43 065	3  GrabFrame times:0,result=
16:05:43 097	 5 ImageProcess result=
16:05:43 097	7 finish getImage
16:05:43 112	 1:start getImage
16:05:43 112	 2 getImage times:0
16:05:43 112	3  GrabFrame times:0,result=
16:05:43 112	 5 ImageProcess result=
16:05:43 128	7 finish getImage
16:05:43 315	 1:start getImage
16:05:43 315	 2 getImage times:0
16:05:43 315	3  GrabFrame times:0,result=
16:05:43 347	 5 ImageProcess result=
16:05:43 362	7 finish getImage
16:05:43 362	 1:start getImage
16:05:43 362	 2 getImage times:0
16:05:43 362	3  GrabFrame times:0,result=
16:05:43 378	 5 ImageProcess result=
16:05:43 394	7 finish getImage
16:05:43 581	 1:start getImage
16:05:43 581	 2 getImage times:0
16:05:43 597	3  GrabFrame times:0,result=
16:05:43 597	 5 ImageProcess result=
16:05:43 612	7 finish getImage
16:05:43 612	 1:start getImage
16:05:43 612	 2 getImage times:0
16:05:43 612	3  GrabFrame times:0,result=
16:05:43 628	 5 ImageProcess result=
16:05:43 628	7 finish getImage
16:05:43 831	 1:start getImage
16:05:43 831	 2 getImage times:0
16:05:43 831	3  GrabFrame times:0,result=
16:05:43 862	 5 ImageProcess result=
16:05:43 878	7 finish getImage
16:05:43 878	 1:start getImage
16:05:43 878	 2 getImage times:0
16:05:43 878	3  GrabFrame times:0,result=
16:05:43 893	 5 ImageProcess result=
16:05:43 909	7 finish getImage
16:05:44 097	 1:start getImage
16:05:44 097	 2 getImage times:0
16:05:44 097	3  GrabFrame times:0,result=
16:05:44 128	 5 ImageProcess result=
16:05:44 143	7 finish getImage
16:05:44 143	 1:start getImage
16:05:44 143	 2 getImage times:0
16:05:44 143	3  GrabFrame times:0,result=
16:05:44 159	 5 ImageProcess result=
16:05:44 175	7 finish getImage
16:05:44 362	 1:start getImage
16:05:44 362	 2 getImage times:0
16:05:44 362	3  GrabFrame times:0,result=
16:05:44 393	 5 ImageProcess result=
16:05:44 409	7 finish getImage
16:05:44 409	 1:start getImage
16:05:44 409	 2 getImage times:0
16:05:44 409	3  GrabFrame times:0,result=
16:05:44 425	 5 ImageProcess result=
16:05:44 440	7 finish getImage
16:05:44 628	 1:start getImage
16:05:44 628	 2 getImage times:0
16:05:44 643	3  GrabFrame times:0,result=
16:05:44 659	 5 ImageProcess result=
16:05:44 659	7 finish getImage
16:05:44 675	 1:start getImage
16:05:44 675	 2 getImage times:0
16:05:44 675	3  GrabFrame times:0,result=
16:05:44 690	 5 ImageProcess result=
16:05:44 690	7 finish getImage
