16:32:42 581	 start loadBaseParameter
16:32:44 053	 start setSN
16:32:44 053	 start setSN
16:32:44 054	 start setSN
16:32:44 054	 start setSN
16:32:44 055	 start loadPinDef
16:32:44 057	 finished loadPinDef
16:32:44 060	 start loadPinDef
16:32:44 063	 finished loadPinDef
16:32:44 066	 start loadPinDef
16:32:44 069	 finished loadPinDef
16:32:44 071	 start loadPinDef
16:32:44 074	 finished loadPinDef
16:37:01 471	 start setSN
16:37:01 471	 start setSN
16:37:01 472	 start setSN
16:37:01 472	 start setSN
16:37:05 408	start cam_stop 
16:37:05 511	finish cam_stop 
16:38:21 139	 start loadPinDef
16:38:21 142	 finished loadPinDef
16:38:21 145	 start setSN
16:38:21 145	start cam_stop 
16:38:21 248	finish cam_stop 
16:38:21 749	start cam_stop 
16:38:21 851	finish cam_stop 
16:38:21 851	 start Playnew
16:38:21 851	into cam_play:deviceID1 
16:38:21 852	openDevice:deviceID1 
16:38:21 976	开始sensor power:deviceID 1 
16:38:22 268	完成sensor power:deviceID 1 
16:38:22 279	完成Pin set:deviceID 1 
16:38:22 559	完成I2C set:deviceID 1 
16:38:22 680	start InitSensor :deviceID 1 
16:38:22 715	完成 InitSensor  :deviceID 1 
16:38:22 715	set image format  :deviceID 1 
16:38:22 733	start Video :deviceID 1 
16:38:22 741	malloc memory :deviceID 1 
16:38:22 744	finished play :deviceID 1 
16:38:22 778	 1:start getImage
16:38:22 778	 2 getImage times:0
16:38:22 822	3  GrabFrame times:0,result=
16:38:22 829	 5 ImageProcess result=
16:38:22 833	7 finish getImage
16:38:22 835	 1:start getImage
16:38:22 835	 2 getImage times:0
16:38:22 862	3  GrabFrame times:0,result=
16:38:22 867	 5 ImageProcess result=
16:38:22 870	7 finish getImage
16:39:17 010	 1:start getImage
16:39:17 010	 2 getImage times:0
16:39:17 011	3  GrabFrame times:0,result=
16:39:17 016	 5 ImageProcess result=
16:39:17 020	7 finish getImage
16:39:17 022	 1:start getImage
16:39:17 023	 2 getImage times:0
16:39:17 045	3  GrabFrame times:0,result=
16:39:17 050	 5 ImageProcess result=
16:39:17 053	7 finish getImage
16:39:18 013	 1:start getImage
16:39:18 013	 2 getImage times:0
16:39:18 014	3  GrabFrame times:0,result=
16:39:18 019	 5 ImageProcess result=
16:39:18 022	7 finish getImage
16:39:18 024	 1:start getImage
16:39:18 025	 2 getImage times:0
16:39:18 044	3  GrabFrame times:0,result=
16:39:18 049	 5 ImageProcess result=
16:39:18 052	7 finish getImage
16:39:18 982	 1:start getImage
16:39:18 982	 2 getImage times:0
16:39:18 983	3  GrabFrame times:0,result=
16:39:18 988	 5 ImageProcess result=
16:39:18 992	7 finish getImage
16:39:18 994	 1:start getImage
16:39:18 994	 2 getImage times:0
16:39:19 004	3  GrabFrame times:0,result=
16:39:19 009	 5 ImageProcess result=
16:39:19 013	7 finish getImage
16:39:19 870	 1:start getImage
16:39:19 870	 2 getImage times:0
16:39:19 871	3  GrabFrame times:0,result=
16:39:19 876	 5 ImageProcess result=
16:39:19 879	7 finish getImage
16:39:19 881	 1:start getImage
16:39:19 882	 2 getImage times:0
16:39:19 883	3  GrabFrame times:0,result=
