14:18:48 264	 start loadBaseParameter
14:18:53 545	 start loadBaseParameter
14:18:58 373	 start loadBaseParameter
14:19:03 139	 start loadBaseParameter
14:19:08 045	 start setSN
14:19:08 045	 start setSN
14:19:08 045	 start setSN
14:19:08 045	 start setSN
14:19:08 060	 start loadPinDef
14:19:08 060	 finished loadPinDef
14:19:08 076	 start loadPinDef
14:19:08 091	 finished loadPinDef
14:19:08 091	 start loadPinDef
14:19:08 091	 finished loadPinDef
14:19:08 107	 start loadPinDef
14:19:08 107	 finished loadPinDef
14:51:59 025	 start setSN
14:51:59 025	 start setSN
14:51:59 025	 start setSN
14:51:59 025	 start setSN
14:54:45 224	 start loadPinDef
14:54:45 255	 finished loadPinDef
14:54:45 270	 start setSN
14:54:47 286	start cam_stop 
14:54:47 411	finish cam_stop 
14:54:47 411	 start Playnew
14:54:47 411	into cam_play:deviceID3 
14:54:47 411	openDevice:deviceID3 
14:54:47 551	开始sensor power:deviceID 3 
14:54:47 926	完成sensor power:deviceID 3 
14:54:47 942	完成Pin set:deviceID 3 
14:54:48 270	完成I2C set:deviceID 3 
14:54:48 426	start InitSensor :deviceID 3 
14:54:48 911	完成 InitSensor  :deviceID 3 
14:54:48 911	set image format  :deviceID 3 
14:54:48 958	start Video :deviceID 3 
14:54:48 973	malloc memory :deviceID 3 
14:54:49 004	disable ISX019 AE :deviceID 3 
14:54:49 004	 WriteI2C:34,0,998,0 
14:54:49 004	 write I2C 0x998
14:54:49 958	finished play :deviceID 3 
14:54:51 973	 1:start getImage
14:54:51 973	 2 getImage times:0
14:54:51 973	3  GrabFrame times:0,result=
14:54:51 973	 5 ImageProcess result=
14:54:51 973	7 finish getImage
14:54:51 989	 1:start getImage
14:54:51 989	 2 getImage times:0
14:54:52 004	3  GrabFrame times:0,result=
14:54:52 020	 5 ImageProcess result=
14:54:52 020	7 finish getImage
14:55:59 453	 1:start getImage
14:55:59 453	 2 getImage times:0
14:55:59 453	3  GrabFrame times:0,result=
14:55:59 484	 5 ImageProcess result=
14:55:59 500	7 finish getImage
14:55:59 515	 1:start getImage
14:55:59 531	 2 getImage times:0
14:55:59 531	3  GrabFrame times:0,result=
14:55:59 531	 5 ImageProcess result=
14:55:59 546	7 finish getImage
14:56:00 390	 1:start getImage
14:56:00 390	 2 getImage times:0
14:56:00 406	3  GrabFrame times:0,result=
14:56:00 421	 5 ImageProcess result=
14:56:00 421	7 finish getImage
14:56:00 437	 1:start getImage
14:56:00 437	 2 getImage times:0
14:56:00 437	3  GrabFrame times:0,result=
14:56:00 453	 5 ImageProcess result=
14:56:00 453	7 finish getImage
14:56:01 234	 1:start getImage
14:56:01 234	 2 getImage times:0
14:56:01 234	3  GrabFrame times:0,result=
14:56:01 265	 5 ImageProcess result=
14:56:01 265	7 finish getImage
14:56:01 265	 1:start getImage
14:56:01 281	 2 getImage times:0
14:56:01 281	3  GrabFrame times:0,result=
14:56:01 281	 5 ImageProcess result=
14:56:01 296	7 finish getImage
14:56:02 078	 1:start getImage
14:56:02 078	 2 getImage times:0
14:56:02 078	3  GrabFrame times:0,result=
14:56:02 109	 5 ImageProcess result=
14:56:02 109	7 finish getImage
14:56:02 109	 1:start getImage
14:56:02 124	 2 getImage times:0
14:56:02 124	3  GrabFrame times:0,result=
14:56:02 124	 5 ImageProcess result=
14:56:02 140	7 finish getImage
14:56:02 687	 1:start getImage
14:56:02 687	 2 getImage times:0
14:56:02 687	3  GrabFrame times:0,result=
14:56:02 718	 5 ImageProcess result=
14:56:02 734	7 finish getImage
14:56:02 734	 1:start getImage
14:56:02 734	 2 getImage times:0
14:56:02 749	3  GrabFrame times:0,result=
14:56:02 765	 5 ImageProcess result=
14:56:02 765	7 finish getImage
14:56:03 296	 1:start getImage
14:56:03 296	 2 getImage times:0
14:56:03 296	3  GrabFrame times:0,result=
14:56:03 327	 5 ImageProcess result=
14:56:03 343	7 finish getImage
14:56:03 359	 1:start getImage
14:56:03 359	 2 getImage times:0
14:56:03 359	3  GrabFrame times:0,result=
14:56:03 374	 5 ImageProcess result=
14:56:03 374	7 finish getImage
14:56:05 312	 1:start getImage
14:56:05 312	 2 getImage times:0
14:56:05 312	3  GrabFrame times:0,result=
14:56:05 343	 5 ImageProcess result=
14:56:05 359	7 finish getImage
14:56:05 374	 1:start getImage
14:56:05 374	 2 getImage times:0
14:56:05 374	3  GrabFrame times:0,result=
14:56:05 390	 5 ImageProcess result=
14:56:05 390	7 finish getImage
14:56:05 952	 1:start getImage
14:56:05 952	 2 getImage times:0
14:56:05 952	3  GrabFrame times:0,result=
14:56:05 968	 5 ImageProcess result=
14:56:05 984	7 finish getImage
14:56:05 984	 1:start getImage
14:56:05 984	 2 getImage times:0
14:56:05 984	3  GrabFrame times:0,result=
14:56:05 999	 5 ImageProcess result=
14:56:05 999	7 finish getImage
14:56:06 546	 1:start getImage
14:56:06 546	 2 getImage times:0
14:56:06 546	3  GrabFrame times:0,result=
14:56:06 577	 5 ImageProcess result=
14:56:06 593	7 finish getImage
14:56:06 608	 1:start getImage
14:56:06 608	 2 getImage times:0
14:56:06 624	3  GrabFrame times:0,result=
14:56:06 640	 5 ImageProcess result=
14:56:06 640	7 finish getImage
14:56:07 202	 1:start getImage
14:56:07 202	 2 getImage times:0
14:56:07 202	3  GrabFrame times:0,result=
14:56:07 233	 5 ImageProcess result=
14:56:07 233	7 finish getImage
14:56:07 233	 1:start getImage
14:56:07 249	 2 getImage times:0
14:56:07 249	3  GrabFrame times:0,result=
14:56:07 249	 5 ImageProcess result=
14:56:07 265	7 finish getImage
14:56:07 812	 1:start getImage
14:56:07 812	 2 getImage times:0
14:56:07 812	3  GrabFrame times:0,result=
14:56:07 827	 5 ImageProcess result=
14:56:07 843	7 finish getImage
14:56:07 843	 1:start getImage
14:56:07 843	 2 getImage times:0
14:56:07 843	3  GrabFrame times:0,result=
14:56:07 858	 5 ImageProcess result=
14:56:07 858	7 finish getImage
14:56:08 405	 1:start getImage
14:56:08 405	 2 getImage times:0
14:56:08 405	3  GrabFrame times:0,result=
14:56:08 436	 5 ImageProcess result=
14:56:08 436	7 finish getImage
14:56:08 436	 1:start getImage
14:56:08 452	 2 getImage times:0
14:56:08 452	3  GrabFrame times:0,result=
14:56:08 452	 5 ImageProcess result=
14:56:08 468	7 finish getImage
14:56:09 015	 1:start getImage
14:56:09 015	 2 getImage times:0
14:56:09 015	3  GrabFrame times:0,result=
14:56:09 046	 5 ImageProcess result=
14:56:09 061	7 finish getImage
14:56:09 061	 1:start getImage
14:56:09 061	 2 getImage times:0
14:56:09 061	3  GrabFrame times:0,result=
14:56:09 077	 5 ImageProcess result=
14:56:09 077	7 finish getImage
14:56:09 624	 1:start getImage
14:56:09 624	 2 getImage times:0
14:56:09 624	3  GrabFrame times:0,result=
14:56:09 655	 5 ImageProcess result=
14:56:09 671	7 finish getImage
14:56:09 671	 1:start getImage
14:56:09 671	 2 getImage times:0
14:56:09 686	3  GrabFrame times:0,result=
14:56:09 702	 5 ImageProcess result=
14:56:09 702	7 finish getImage
14:56:10 233	 1:start getImage
14:56:10 233	 2 getImage times:0
14:56:10 233	3  GrabFrame times:0,result=
14:56:10 249	 5 ImageProcess result=
14:56:10 249	7 finish getImage
14:56:10 249	 1:start getImage
14:56:10 249	 2 getImage times:0
14:56:10 264	3  GrabFrame times:0,result=
14:56:10 264	 5 ImageProcess result=
14:56:10 264	7 finish getImage
14:56:10 796	 1:start getImage
14:56:10 796	 2 getImage times:0
14:56:10 796	3  GrabFrame times:0,result=
14:56:10 827	 5 ImageProcess result=
14:56:10 843	7 finish getImage
14:56:10 843	 1:start getImage
14:56:10 843	 2 getImage times:0
14:56:10 858	3  GrabFrame times:0,result=
14:56:10 858	 5 ImageProcess result=
14:56:10 858	7 finish getImage
14:56:11 389	 1:start getImage
14:56:11 389	 2 getImage times:0
14:56:11 389	3  GrabFrame times:0,result=
14:56:11 421	 5 ImageProcess result=
14:56:11 436	7 finish getImage
14:56:11 452	 1:start getImage
14:56:11 452	 2 getImage times:0
14:56:11 468	3  GrabFrame times:0,result=
14:56:11 468	 5 ImageProcess result=
14:56:11 483	7 finish getImage
14:56:12 014	 1:start getImage
14:56:12 014	 2 getImage times:0
14:56:12 014	3  GrabFrame times:0,result=
14:56:12 046	 5 ImageProcess result=
14:56:12 061	7 finish getImage
14:56:12 077	 1:start getImage
14:56:12 077	 2 getImage times:0
14:56:12 092	3  GrabFrame times:0,result=
14:56:12 092	 5 ImageProcess result=
14:56:12 108	7 finish getImage
14:56:12 624	 1:start getImage
14:56:12 624	 2 getImage times:0
14:56:12 624	3  GrabFrame times:0,result=
14:56:12 655	 5 ImageProcess result=
14:56:12 671	7 finish getImage
14:56:12 671	 1:start getImage
14:56:12 671	 2 getImage times:0
14:56:12 671	3  GrabFrame times:0,result=
14:56:12 686	 5 ImageProcess result=
14:56:12 686	7 finish getImage
14:56:13 217	 1:start getImage
14:56:13 217	 2 getImage times:0
14:56:13 217	3  GrabFrame times:0,result=
14:56:13 249	 5 ImageProcess result=
14:56:13 264	7 finish getImage
