09:37:36 517	 start loadBaseParameter
09:37:37 717	 start setSN
09:37:37 717	 start setSN
09:37:37 718	 start setSN
09:37:37 718	 start setSN
09:37:37 726	 start loadPinDef
09:37:37 728	 finished loadPinDef
09:37:37 731	 start loadPinDef
09:37:37 734	 finished loadPinDef
09:37:37 736	 start loadPinDef
09:37:37 739	 finished loadPinDef
09:37:37 741	 start loadPinDef
09:37:37 744	 finished loadPinDef
11:10:06 760	 start loadBaseParameter
11:10:07 960	 start setSN
11:10:07 960	 start setSN
11:10:07 960	 start setSN
11:10:07 961	 start setSN
11:10:07 962	 start loadPinDef
11:10:07 964	 finished loadPinDef
11:10:07 967	 start loadPinDef
11:10:07 969	 finished loadPinDef
11:10:07 972	 start loadPinDef
11:10:07 974	 finished loadPinDef
11:10:07 977	 start loadPinDef
11:10:07 979	 finished loadPinDef
12:13:16 074	 start setSN
12:13:16 074	 start setSN
12:13:16 075	 start setSN
12:13:16 075	 start setSN
12:27:55 702	 start loadPinDef
12:27:55 710	 finished loadPinDef
12:27:55 715	 start setSN
12:27:55 718	start cam_stop 
12:27:55 828	finish cam_stop 
12:27:56 329	start cam_stop 
12:27:56 431	finish cam_stop 
12:27:56 431	 start Playnew
12:27:56 431	into cam_play:deviceID2 
12:27:56 432	openDevice:deviceID2 
12:27:56 646	开始sensor power:deviceID 2 
12:27:56 939	完成sensor power:deviceID 2 
12:27:56 950	完成Pin set:deviceID 2 
12:27:57 235	完成I2C set:deviceID 2 
12:27:57 352	start InitSensor :deviceID 2 
12:27:57 675	完成 InitSensor  :deviceID 2 
12:27:57 676	set image format  :deviceID 2 
12:27:57 693	start Video :deviceID 2 
12:27:57 712	malloc memory :deviceID 2 
12:27:57 715	 WriteI2C:34,0,998,0 
12:27:57 715	 write I2C 0x998
12:27:57 874	finished play :deviceID 2 
12:27:57 878	 1:start getImage
12:27:57 878	 2 getImage times:0
12:27:57 879	3  GrabFrame times:0,result=
12:27:57 883	 5 ImageProcess result=
12:27:57 885	7 finish getImage
12:27:57 887	 1:start getImage
12:27:57 887	 2 getImage times:0
12:27:57 892	3  GrabFrame times:0,result=
12:27:57 896	 5 ImageProcess result=
12:27:57 898	7 finish getImage
12:27:57 904	 WriteI2C:fc,0,998,100 
12:27:57 904	 write I2C 0x998
12:27:58 076	 1:start getImage
12:27:58 077	 2 getImage times:0
12:27:58 077	3  GrabFrame times:0,result=
12:27:58 081	 5 ImageProcess result=
12:27:58 083	7 finish getImage
12:27:58 084	 1:start getImage
12:27:58 085	 2 getImage times:0
12:27:58 092	3  GrabFrame times:0,result=
12:27:58 096	 5 ImageProcess result=
12:27:58 098	7 finish getImage
12:27:58 800	 1:start getImage
12:27:58 801	 2 getImage times:0
12:27:58 801	3  GrabFrame times:0,result=
12:27:58 805	 5 ImageProcess result=
12:27:58 807	7 finish getImage
12:27:58 808	 1:start getImage
12:27:58 809	 2 getImage times:0
12:27:58 813	3  GrabFrame times:0,result=
12:27:58 816	 5 ImageProcess result=
12:27:58 818	7 finish getImage
12:27:58 983	 1:start getImage
12:27:58 983	 2 getImage times:0
12:27:58 984	3  GrabFrame times:0,result=
12:27:58 987	 5 ImageProcess result=
12:27:58 989	7 finish getImage
12:27:58 991	 1:start getImage
12:27:58 991	 2 getImage times:0
12:27:58 993	3  GrabFrame times:0,result=
12:27:58 997	 5 ImageProcess result=
12:27:58 998	7 finish getImage
12:27:59 160	 1:start getImage
12:27:59 160	 2 getImage times:0
12:27:59 161	3  GrabFrame times:0,result=
12:27:59 164	 5 ImageProcess result=
12:27:59 166	7 finish getImage
12:27:59 168	 1:start getImage
12:27:59 168	 2 getImage times:0
12:27:59 172	3  GrabFrame times:0,result=
12:27:59 176	 5 ImageProcess result=
12:27:59 178	7 finish getImage
12:27:59 344	 1:start getImage
12:27:59 344	 2 getImage times:0
12:27:59 345	3  GrabFrame times:0,result=
12:27:59 348	 5 ImageProcess result=
12:27:59 350	7 finish getImage
12:27:59 351	 1:start getImage
12:27:59 352	 2 getImage times:0
12:27:59 352	3  GrabFrame times:0,result=
