16:06:46 786	 start loadBaseParameter
16:06:50 635	 start setSN
16:06:50 639	 start setSN
16:06:50 643	 start loadPinDef
16:06:50 647	 finished loadPinDef
16:06:50 653	 start loadPinDef
16:06:50 657	 finished loadPinDef
16:06:50 662	 start loadPinDef
16:06:50 666	 finished loadPinDef
16:06:50 670	 start loadPinDef
16:06:50 675	 finished loadPinDef
16:08:57 947	 start loadPinDef
16:08:57 953	 finished loadPinDef
16:09:01 749	start cam_stop 
16:09:01 855	finish cam_stop 
16:09:02 359	start cam_stop 
16:09:02 464	finish cam_stop 
16:09:02 467	 start Playnew
16:09:02 470	into cam_play:deviceID0 
16:09:02 473	openDevice:deviceID0 
16:09:02 476	openDevice failed ,return:deviceID0 
16:09:02 479	start cam_stop 
16:09:02 583	finish cam_stop 
16:09:02 787	 start Playnew
16:09:02 790	into cam_play:deviceID0 
16:09:02 793	openDevice:deviceID0 
16:09:02 796	openDevice failed ,return:deviceID0 
16:09:02 800	 1:start getImage
16:09:02 803	 2 getImage times:0
16:09:02 807	3  GrabFrame times:0,result=
16:09:02 861	 2 getImage times:1
16:09:02 868	3  GrabFrame times:1,result=
16:09:02 921	 2 getImage times:2
16:09:02 924	3  GrabFrame times:2,result=
16:09:02 980	 1:start getImage
16:09:02 984	 2 getImage times:0
16:09:02 987	3  GrabFrame times:0,result=
16:09:03 041	 2 getImage times:1
16:09:03 044	3  GrabFrame times:1,result=
16:09:03 098	 2 getImage times:2
16:09:03 104	3  GrabFrame times:2,result=
16:09:03 160	 1:start getImage
16:09:03 163	 2 getImage times:0
16:09:03 166	3  GrabFrame times:0,result=
16:09:03 220	 2 getImage times:1
16:09:03 224	3  GrabFrame times:1,result=
16:09:03 277	 2 getImage times:2
16:09:03 280	3  GrabFrame times:2,result=
16:09:03 336	 1:start getImage
16:09:03 340	 2 getImage times:0
16:09:03 343	3  GrabFrame times:0,result=
16:09:03 396	 2 getImage times:1
16:09:03 399	3  GrabFrame times:1,result=
16:09:03 454	 2 getImage times:2
16:09:03 458	3  GrabFrame times:2,result=
16:09:03 512	 1:start getImage
16:09:03 516	 2 getImage times:0
16:09:03 519	3  GrabFrame times:0,result=
16:09:03 573	 2 getImage times:1
16:09:03 577	3  GrabFrame times:1,result=
16:09:03 631	 2 getImage times:2
16:09:03 634	3  GrabFrame times:2,result=
16:09:03 689	 1:start getImage
16:09:03 693	 2 getImage times:0
16:09:03 696	3  GrabFrame times:0,result=
16:09:03 750	 2 getImage times:1
16:09:03 753	3  GrabFrame times:1,result=
16:09:03 807	 2 getImage times:2
16:09:03 810	3  GrabFrame times:2,result=
16:09:03 866	 WriteI2C:fc,0,998,4000 
16:09:03 870	 write I2C 0x998
16:09:04 027	 1:start getImage
16:09:04 033	 2 getImage times:0
16:09:04 039	3  GrabFrame times:0,result=
16:09:04 095	 2 getImage times:1
16:09:04 099	3  GrabFrame times:1,result=
16:09:04 153	 2 getImage times:2
16:09:04 157	3  GrabFrame times:2,result=
16:09:04 214	 1:start getImage
16:09:04 218	 2 getImage times:0
16:09:04 221	3  GrabFrame times:0,result=
16:09:04 275	 2 getImage times:1
16:09:04 278	3  GrabFrame times:1,result=
16:09:04 332	 2 getImage times:2
16:09:04 335	3  GrabFrame times:2,result=
16:09:04 391	 1:start getImage
16:09:04 395	 2 getImage times:0
16:09:04 398	3  GrabFrame times:0,result=
16:09:04 453	 2 getImage times:1
16:09:04 456	3  GrabFrame times:1,result=
16:09:04 510	 2 getImage times:2
16:09:04 513	3  GrabFrame times:2,result=
16:09:04 569	 1:start getImage
16:09:04 574	 2 getImage times:0
16:09:04 577	3  GrabFrame times:0,result=
16:09:04 631	 2 getImage times:1
16:09:04 635	3  GrabFrame times:1,result=
16:09:04 689	 2 getImage times:2
16:09:04 692	3  GrabFrame times:2,result=
16:09:04 748	 1:start getImage
16:09:04 752	 2 getImage times:0
16:09:04 756	3  GrabFrame times:0,result=
16:09:04 809	 2 getImage times:1
16:09:04 812	3  GrabFrame times:1,result=
16:09:04 866	 2 getImage times:2
16:09:04 870	3  GrabFrame times:2,result=
16:09:04 926	 1:start getImage
16:09:04 931	 2 getImage times:0
16:09:04 934	3  GrabFrame times:0,result=
16:09:04 988	 2 getImage times:1
16:09:04 991	3  GrabFrame times:1,result=
16:09:05 046	 2 getImage times:2
16:09:05 050	3  GrabFrame times:2,result=
16:09:05 259	 1:start getImage
16:09:05 263	 2 getImage times:0
16:09:05 266	3  GrabFrame times:0,result=
16:09:05 320	 2 getImage times:1
16:09:05 324	3  GrabFrame times:1,result=
16:09:05 378	 2 getImage times:2
16:09:05 381	3  GrabFrame times:2,result=
16:09:05 437	 1:start getImage
16:09:05 442	 2 getImage times:0
16:09:05 445	3  GrabFrame times:0,result=
16:09:05 499	 2 getImage times:1
16:09:05 502	3  GrabFrame times:1,result=
16:09:05 557	 2 getImage times:2
16:09:05 561	3  GrabFrame times:2,result=
16:09:05 617	 1:start getImage
16:09:05 621	 2 getImage times:0
16:09:05 624	3  GrabFrame times:0,result=
16:09:05 679	 2 getImage times:1
16:09:05 683	3  GrabFrame times:1,result=
16:09:05 736	 2 getImage times:2
16:09:05 740	3  GrabFrame times:2,result=
16:09:05 795	 1:start getImage
16:09:05 799	 2 getImage times:0
16:09:05 802	3  GrabFrame times:0,result=
16:09:05 858	 2 getImage times:1
