10:12:14 492	 start loadBaseParameter
10:12:19 680	 start loadBaseParameter
10:12:24 539	 start loadBaseParameter
10:12:29 320	 start loadBaseParameter
10:12:34 117	 start setSN
10:12:34 117	 start setSN
10:12:34 117	 start setSN
10:12:34 132	 start setSN
10:12:34 132	 start loadPinDef
10:12:34 132	 finished loadPinDef
10:12:34 148	 start loadPinDef
10:12:34 164	 finished loadPinDef
10:12:34 164	 start loadPinDef
10:12:34 164	 finished loadPinDef
10:12:34 179	 start loadPinDef
10:12:34 179	 finished loadPinDef
10:18:21 973	 start setSN
10:18:21 973	 start setSN
10:18:21 973	 start setSN
10:18:21 989	 start setSN
10:23:40 173	 start loadPinDef
10:23:40 204	 finished loadPinDef
10:23:40 204	 start setSN
10:23:40 220	start cam_stop 
10:23:40 345	finish cam_stop 
10:23:40 563	start cam_stop 
10:23:40 688	finish cam_stop 
10:23:40 688	 start Playnew
10:23:40 688	into cam_play:deviceID3 
10:23:40 704	openDevice:deviceID3 
10:23:40 876	开始sensor power:deviceID 3 
10:23:41 251	完成sensor power:deviceID 3 
10:23:41 282	完成Pin set:deviceID 3 
10:23:41 626	完成I2C set:deviceID 3 
10:23:41 782	start InitSensor :deviceID 3 
10:23:42 266	完成 InitSensor  :deviceID 3 
10:23:42 266	set image format  :deviceID 3 
10:23:42 313	start Video :deviceID 3 
10:23:42 329	malloc memory :deviceID 3 
10:23:42 329	disable ISX019 AE :deviceID 3 
10:23:42 329	 WriteI2C:34,0,998,0 
10:23:42 344	 write I2C 0x998
10:23:43 344	finished play :deviceID 3 
10:23:43 344	 1:start getImage
10:23:43 344	 2 getImage times:0
10:23:43 344	3  GrabFrame times:0,result=
10:23:43 360	 5 ImageProcess result=
10:23:43 360	7 finish getImage
10:23:43 360	 1:start getImage
10:23:43 360	 2 getImage times:0
10:23:43 360	3  GrabFrame times:0,result=
10:23:43 376	 5 ImageProcess result=
10:23:43 376	7 finish getImage
10:23:43 829	 1:start getImage
10:23:43 829	 2 getImage times:0
10:23:43 844	3  GrabFrame times:0,result=
10:23:43 860	 5 ImageProcess result=
10:23:43 860	7 finish getImage
10:23:43 876	 1:start getImage
10:23:43 876	 2 getImage times:0
10:23:43 876	3  GrabFrame times:0,result=
10:23:43 876	 5 ImageProcess result=
10:23:43 891	7 finish getImage
10:23:44 079	 1:start getImage
10:23:44 079	 2 getImage times:0
10:23:44 079	3  GrabFrame times:0,result=
10:23:44 094	 5 ImageProcess result=
10:23:44 094	7 finish getImage
10:23:44 110	 1:start getImage
10:23:44 110	 2 getImage times:0
10:23:44 110	3  GrabFrame times:0,result=
10:23:44 110	 5 ImageProcess result=
10:23:44 110	7 finish getImage
10:23:44 297	 1:start getImage
10:23:44 297	 2 getImage times:0
10:23:44 313	3  GrabFrame times:0,result=
10:23:44 329	 5 ImageProcess result=
