09:14:52 807	 start loadBaseParameter
09:14:54 300	 start setSN
09:14:54 300	 start setSN
09:14:54 301	 start setSN
09:14:54 302	 start setSN
09:14:54 303	 start loadPinDef
09:14:54 307	 finished loadPinDef
09:14:54 310	 start loadPinDef
09:14:54 314	 finished loadPinDef
09:14:54 317	 start loadPinDef
09:14:54 320	 finished loadPinDef
09:14:54 324	 start loadPinDef
09:14:54 327	 finished loadPinDef
09:16:23 180	 start setSN
09:16:23 181	 start setSN
09:16:23 181	 start setSN
09:16:23 182	 start setSN
09:17:16 094	 start loadPinDef
09:17:16 098	 finished loadPinDef
09:17:16 102	 start setSN
09:17:16 103	start cam_stop 
09:17:16 214	finish cam_stop 
09:17:16 715	start cam_stop 
09:17:16 817	finish cam_stop 
09:17:16 817	 start Playnew
09:17:16 818	into cam_play:deviceID0 
09:17:16 818	openDevice:deviceID0 
09:17:16 944	开始sensor power:deviceID 0 
09:17:17 238	完成sensor power:deviceID 0 
09:17:17 250	完成Pin set:deviceID 0 
09:17:17 539	完成I2C set:deviceID 0 
09:17:17 661	start InitSensor :deviceID 0 
09:17:17 960	完成 InitSensor  :deviceID 0 
09:17:17 961	set image format  :deviceID 0 
09:17:17 990	start Video :deviceID 0 
09:17:18 010	malloc memory :deviceID 0 
09:17:18 012	 WriteI2C:34,0,998,0 
09:17:18 013	 write I2C 0x998
09:17:18 794	finished play :deviceID 0 
09:17:18 796	 WriteI2C:fc,0,998,100 
09:17:18 796	 write I2C 0x998
09:17:25 286	 1:start getImage
09:17:25 287	 2 getImage times:0
09:17:25 287	3  GrabFrame times:0,result=
09:17:25 294	 5 ImageProcess result=
09:17:25 297	7 finish getImage
09:17:25 299	 1:start getImage
09:17:25 299	 2 getImage times:0
09:17:25 310	3  GrabFrame times:0,result=
09:17:25 315	 5 ImageProcess result=
09:17:25 317	7 finish getImage
09:20:08 916	 start loadPinDef
09:20:08 920	 finished loadPinDef
09:20:08 923	 start setSN
09:20:08 923	start cam_stop 
09:20:09 049	finish cam_stop 
09:20:09 550	start cam_stop 
09:20:09 661	finish cam_stop 
09:20:09 662	 start Playnew
