18:16:34 262	 start loadBaseParameter
18:16:35 755	 start setSN
18:16:35 756	 start setSN
18:16:35 757	 start setSN
18:16:35 757	 start setSN
18:16:35 759	 start loadPinDef
18:16:35 763	 finished loadPinDef
18:16:35 766	 start loadPinDef
18:16:35 770	 finished loadPinDef
18:16:35 774	 start loadPinDef
18:16:35 778	 finished loadPinDef
18:16:35 782	 start loadPinDef
18:16:35 786	 finished loadPinDef
18:46:46 620	 start setSN
18:46:46 621	 start setSN
18:46:46 621	 start setSN
18:46:46 622	 start setSN
18:47:22 542	start cam_stop 
18:47:22 659	finish cam_stop 
18:47:50 715	 start setSN
18:47:50 716	 start setSN
18:47:50 716	 start setSN
18:47:50 717	 start setSN
18:48:04 745	 start loadPinDef
18:48:04 749	 finished loadPinDef
18:48:04 752	 start setSN
18:48:04 752	start cam_stop 
18:48:04 855	finish cam_stop 
18:48:05 356	start cam_stop 
18:48:05 458	finish cam_stop 
18:48:05 458	 start Playnew
18:48:05 459	into cam_play:deviceID1 
18:48:05 459	openDevice:deviceID1 
18:48:05 583	开始sensor power:deviceID 1 
18:48:05 875	完成sensor power:deviceID 1 
18:48:05 887	完成Pin set:deviceID 1 
18:48:06 175	完成I2C set:deviceID 1 
18:48:06 297	start InitSensor :deviceID 1 
18:48:06 597	完成 InitSensor  :deviceID 1 
18:48:06 598	set image format  :deviceID 1 
18:48:06 627	start Video :deviceID 1 
18:48:06 645	malloc memory :deviceID 1 
18:48:06 648	 WriteI2C:34,0,998,0 
18:48:06 648	 write I2C 0x998
18:48:07 428	finished play :deviceID 1 
18:48:07 430	 1:start getImage
18:48:07 431	 2 getImage times:0
18:48:07 431	3  GrabFrame times:0,result=
18:48:07 438	 5 ImageProcess result=
18:48:07 441	7 finish getImage
18:48:07 443	 1:start getImage
18:48:07 443	 2 getImage times:0
18:48:07 467	3  GrabFrame times:0,result=
18:48:07 471	 5 ImageProcess result=
18:48:07 474	7 finish getImage
18:48:07 478	 WriteI2C:fc,0,998,100 
18:48:07 478	 write I2C 0x998
18:48:08 260	 1:start getImage
18:48:08 261	 2 getImage times:0
18:48:08 262	3  GrabFrame times:0,result=
18:48:08 266	 5 ImageProcess result=
18:48:08 269	7 finish getImage
18:48:08 271	 1:start getImage
18:48:08 271	 2 getImage times:0
18:48:08 272	3  GrabFrame times:0,result=
18:48:08 277	 5 ImageProcess result=
18:48:08 279	7 finish getImage
18:48:08 888	 1:start getImage
18:48:08 889	 2 getImage times:0
18:48:08 890	3  GrabFrame times:0,result=
18:48:08 894	 5 ImageProcess result=
18:48:08 897	7 finish getImage
