15:56:13 613	 start loadBaseParameter
15:56:14 706	 start setSN
15:56:14 712	 start setSN
15:56:14 714	 start setSN
15:56:14 718	 start setSN
15:56:14 722	 start loadPinDef
15:56:14 726	 finished loadPinDef
15:56:14 730	 start loadPinDef
15:56:14 734	 finished loadPinDef
15:56:14 740	 start loadPinDef
15:56:14 744	 finished loadPinDef
15:56:14 748	 start loadPinDef
15:56:14 752	 finished loadPinDef
15:56:37 304	 start loadBaseParameter
15:56:38 366	 start setSN
15:56:38 370	 start setSN
15:56:38 372	 start setSN
15:56:38 376	 start setSN
15:56:38 378	 start loadPinDef
15:56:38 383	 finished loadPinDef
15:56:38 387	 start loadPinDef
15:56:38 391	 finished loadPinDef
15:56:38 397	 start loadPinDef
15:56:38 401	 finished loadPinDef
15:56:38 405	 start loadPinDef
15:56:38 409	 finished loadPinDef
17:27:34 516	 start setSN
17:27:34 520	 start setSN
17:27:34 524	 start setSN
17:27:34 526	 start setSN
17:27:46 940	 start loadPinDef
17:27:46 946	 finished loadPinDef
17:27:46 952	 start setSN
17:27:46 954	start cam_stop 
17:27:47 062	finish cam_stop 
17:27:47 568	start cam_stop 
17:27:47 676	finish cam_stop 
17:27:47 680	 start Playnew
17:27:47 682	into cam_play:deviceID2 
17:27:47 686	openDevice:deviceID2 
17:27:47 814	开始sensor power:deviceID 2 
17:27:48 114	完成sensor power:deviceID 2 
17:27:48 130	完成Pin set:deviceID 2 
17:27:48 418	完成I2C set:deviceID 2 
17:27:48 544	start InitSensor :deviceID 2 
17:27:48 849	完成 InitSensor  :deviceID 2 
17:27:48 853	set image format  :deviceID 2 
17:27:48 875	start Video :deviceID 2 
17:27:48 887	malloc memory :deviceID 2 
17:27:48 893	 WriteI2C:34,0,998,0 
17:27:48 897	 write I2C 0x998
17:27:49 681	finished play :deviceID 2 
17:27:49 687	 1:start getImage
17:27:49 691	 2 getImage times:0
17:27:49 695	3  GrabFrame times:0,result=
17:27:49 703	 5 ImageProcess result=
17:27:49 709	7 finish getImage
17:27:49 715	 1:start getImage
17:27:49 719	 2 getImage times:0
17:27:49 723	3  GrabFrame times:0,result=
17:27:49 729	 5 ImageProcess result=
17:27:49 737	7 finish getImage
17:27:49 743	 WriteI2C:fc,0,998,100 
17:27:49 749	 write I2C 0x998
17:28:36 773	 1:start getImage
17:28:36 777	 2 getImage times:0
17:28:36 781	3  GrabFrame times:0,result=
17:28:36 789	 5 ImageProcess result=
17:28:36 795	7 finish getImage
17:28:36 801	 1:start getImage
17:28:36 805	 2 getImage times:0
17:28:36 809	3  GrabFrame times:0,result=
17:28:36 815	 5 ImageProcess result=
17:28:36 821	7 finish getImage
17:28:37 785	 1:start getImage
17:28:37 789	 2 getImage times:0
17:28:37 793	3  GrabFrame times:0,result=
17:28:37 799	 5 ImageProcess result=
17:28:37 807	7 finish getImage
17:28:37 811	 1:start getImage
17:28:37 815	 2 getImage times:0
17:28:37 819	3  GrabFrame times:0,result=
17:28:37 825	 5 ImageProcess result=
17:28:37 831	7 finish getImage
17:28:38 646	 1:start getImage
17:28:38 650	 2 getImage times:0
17:28:38 654	3  GrabFrame times:0,result=
17:28:38 660	 5 ImageProcess result=
17:28:38 668	7 finish getImage
17:28:38 672	 1:start getImage
17:28:38 676	 2 getImage times:0
17:28:38 680	3  GrabFrame times:0,result=
17:28:38 688	 5 ImageProcess result=
17:28:38 694	7 finish getImage
17:28:39 218	 1:start getImage
17:28:39 222	 2 getImage times:0
17:28:39 226	3  GrabFrame times:0,result=
17:28:39 232	 5 ImageProcess result=
17:28:39 240	7 finish getImage
17:28:39 246	 1:start getImage
17:28:39 250	 2 getImage times:0
17:28:39 252	3  GrabFrame times:0,result=
17:28:39 260	 5 ImageProcess result=
17:28:39 266	7 finish getImage
17:28:39 708	 1:start getImage
17:28:39 712	 2 getImage times:0
17:28:39 716	3  GrabFrame times:0,result=
17:28:39 722	 5 ImageProcess result=
17:28:39 728	7 finish getImage
17:28:39 734	 1:start getImage
17:28:39 738	 2 getImage times:0
17:28:39 742	3  GrabFrame times:0,result=
17:28:39 750	 5 ImageProcess result=
