08:56:37 494	 start loadBaseParameter
08:56:39 002	 start setSN
08:56:39 003	 start setSN
08:56:39 004	 start setSN
08:56:39 004	 start setSN
08:56:39 005	 start loadPinDef
08:56:39 009	 finished loadPinDef
08:56:39 013	 start loadPinDef
08:56:39 017	 finished loadPinDef
08:56:39 021	 start loadPinDef
08:56:39 024	 finished loadPinDef
08:56:39 027	 start loadPinDef
08:56:39 031	 finished loadPinDef
10:20:31 684	 start loadBaseParameter
10:20:33 122	 start setSN
10:20:33 122	 start setSN
10:20:33 123	 start setSN
10:20:33 124	 start setSN
10:20:33 125	 start loadPinDef
10:20:33 128	 finished loadPinDef
10:20:33 131	 start loadPinDef
10:20:33 134	 finished loadPinDef
10:20:33 137	 start loadPinDef
10:20:33 140	 finished loadPinDef
10:20:33 143	 start loadPinDef
10:20:33 146	 finished loadPinDef
14:30:35 921	 start loadBaseParameter
14:30:37 365	 start setSN
14:30:37 366	 start setSN
14:30:37 366	 start setSN
14:30:37 367	 start setSN
14:30:37 368	 start loadPinDef
14:30:37 372	 finished loadPinDef
14:30:37 375	 start loadPinDef
14:30:37 378	 finished loadPinDef
14:30:37 381	 start loadPinDef
14:30:37 385	 finished loadPinDef
14:30:37 388	 start loadPinDef
14:30:37 391	 finished loadPinDef
15:32:15 582	 start setSN
15:32:15 583	 start setSN
15:32:15 583	 start setSN
15:32:15 584	 start setSN
15:33:20 668	 start loadPinDef
15:33:20 672	 finished loadPinDef
15:33:20 675	 start setSN
15:33:20 676	start cam_stop 
15:33:20 791	finish cam_stop 
15:33:21 291	start cam_stop 
15:33:21 394	finish cam_stop 
15:33:21 394	 start Playnew
15:33:21 395	into cam_play:deviceID2 
15:33:21 395	openDevice:deviceID2 
15:33:21 520	开始sensor power:deviceID 2 
15:33:21 813	完成sensor power:deviceID 2 
15:33:21 824	完成Pin set:deviceID 2 
15:33:22 124	完成I2C set:deviceID 2 
15:33:22 245	start InitSensor :deviceID 2 
15:33:22 545	完成 InitSensor  :deviceID 2 
15:33:22 546	set image format  :deviceID 2 
15:33:22 572	start Video :deviceID 2 
15:33:22 593	malloc memory :deviceID 2 
15:33:22 596	 WriteI2C:34,0,998,0 
15:33:22 596	 write I2C 0x998
15:33:23 376	finished play :deviceID 2 
15:33:23 378	 1:start getImage
15:33:23 378	 2 getImage times:0
15:33:23 379	3  GrabFrame times:0,result=
15:33:23 386	 5 ImageProcess result=
15:33:23 389	7 finish getImage
15:33:23 391	 1:start getImage
15:33:23 392	 2 getImage times:0
15:33:23 415	3  GrabFrame times:0,result=
15:33:23 419	 5 ImageProcess result=
15:33:23 422	7 finish getImage
15:33:23 427	 WriteI2C:fc,0,998,100 
15:33:23 427	 write I2C 0x998
15:33:24 209	 1:start getImage
15:33:24 210	 2 getImage times:0
15:33:24 211	3  GrabFrame times:0,result=
15:33:24 216	 5 ImageProcess result=
15:33:24 219	7 finish getImage
15:33:24 221	 1:start getImage
15:33:24 221	 2 getImage times:0
15:33:24 222	3  GrabFrame times:0,result=
15:33:24 227	 5 ImageProcess result=
15:33:24 229	7 finish getImage
15:33:24 738	 1:start getImage
15:33:24 739	 2 getImage times:0
15:33:24 739	3  GrabFrame times:0,result=
15:33:24 744	 5 ImageProcess result=
15:33:24 747	7 finish getImage
15:33:24 749	 1:start getImage
15:33:24 750	 2 getImage times:0
15:33:24 774	3  GrabFrame times:0,result=
15:33:24 779	 5 ImageProcess result=
15:33:24 782	7 finish getImage
15:33:24 948	 1:start getImage
15:33:24 948	 2 getImage times:0
15:33:24 949	3  GrabFrame times:0,result=
15:33:24 953	 5 ImageProcess result=
15:33:24 956	7 finish getImage
15:33:24 958	 1:start getImage
15:33:24 959	 2 getImage times:0
15:33:24 974	3  GrabFrame times:0,result=
15:33:24 979	 5 ImageProcess result=
15:33:24 982	7 finish getImage
15:33:25 148	 1:start getImage
15:33:25 148	 2 getImage times:0
15:33:25 149	3  GrabFrame times:0,result=
15:33:25 154	 5 ImageProcess result=
15:33:25 156	7 finish getImage
15:33:25 158	 1:start getImage
15:33:25 159	 2 getImage times:0
15:33:25 175	3  GrabFrame times:0,result=
15:33:25 179	 5 ImageProcess result=
15:33:25 182	7 finish getImage
15:33:25 348	 1:start getImage
15:33:25 348	 2 getImage times:0
15:33:25 349	3  GrabFrame times:0,result=
15:33:25 356	 5 ImageProcess result=
15:33:25 359	7 finish getImage
15:33:25 361	 1:start getImage
15:33:25 361	 2 getImage times:0
15:33:25 375	3  GrabFrame times:0,result=
15:33:25 383	 5 ImageProcess result=
15:33:25 386	7 finish getImage
15:33:25 567	 1:start getImage
15:33:25 567	 2 getImage times:0
15:33:25 568	3  GrabFrame times:0,result=
15:33:25 572	 5 ImageProcess result=
15:33:25 575	7 finish getImage
15:33:25 577	 1:start getImage
15:33:25 578	 2 getImage times:0
15:33:25 579	3  GrabFrame times:0,result=
15:33:25 583	 5 ImageProcess result=
15:33:25 586	7 finish getImage
15:33:25 752	 1:start getImage
15:33:25 752	 2 getImage times:0
15:33:25 753	3  GrabFrame times:0,result=
15:33:25 758	 5 ImageProcess result=
15:33:25 761	7 finish getImage
15:33:25 762	 1:start getImage
15:33:25 763	 2 getImage times:0
15:33:25 775	3  GrabFrame times:0,result=
15:33:25 779	 5 ImageProcess result=
15:33:25 782	7 finish getImage
15:33:25 957	 1:start getImage
15:33:25 957	 2 getImage times:0
15:33:25 958	3  GrabFrame times:0,result=
15:33:25 963	 5 ImageProcess result=
15:33:25 966	7 finish getImage
15:33:25 968	 1:start getImage
15:33:25 969	 2 getImage times:0
15:33:25 975	3  GrabFrame times:0,result=
15:33:25 979	 5 ImageProcess result=
15:33:25 982	7 finish getImage
15:33:26 148	 1:start getImage
15:33:26 148	 2 getImage times:0
15:33:26 149	3  GrabFrame times:0,result=
15:33:26 153	 5 ImageProcess result=
15:33:26 156	7 finish getImage
15:33:26 158	 1:start getImage
15:33:26 159	 2 getImage times:0
15:33:26 175	3  GrabFrame times:0,result=
15:33:26 179	 5 ImageProcess result=
15:33:26 182	7 finish getImage
15:33:26 348	 1:start getImage
15:33:26 348	 2 getImage times:0
15:33:26 349	3  GrabFrame times:0,result=
15:33:26 353	 5 ImageProcess result=
15:33:26 356	7 finish getImage
15:33:26 358	 1:start getImage
15:33:26 359	 2 getImage times:0
15:33:26 375	3  GrabFrame times:0,result=
15:33:26 380	 5 ImageProcess result=
15:33:26 383	7 finish getImage
15:33:26 550	 1:start getImage
15:33:26 550	 2 getImage times:0
15:33:26 551	3  GrabFrame times:0,result=
15:33:26 555	 5 ImageProcess result=
15:33:26 558	7 finish getImage
15:33:26 560	 1:start getImage
15:33:26 561	 2 getImage times:0
15:33:26 575	3  GrabFrame times:0,result=
15:33:26 579	 5 ImageProcess result=
15:33:26 582	7 finish getImage
15:33:26 749	 1:start getImage
15:33:26 749	 2 getImage times:0
15:33:26 751	3  GrabFrame times:0,result=
15:33:26 755	 5 ImageProcess result=
15:33:26 758	7 finish getImage
15:33:26 760	 1:start getImage
15:33:26 760	 2 getImage times:0
15:33:26 774	3  GrabFrame times:0,result=
15:33:26 779	 5 ImageProcess result=
15:33:26 782	7 finish getImage
15:33:26 949	 1:start getImage
15:33:26 949	 2 getImage times:0
15:33:26 950	3  GrabFrame times:0,result=
15:33:26 954	 5 ImageProcess result=
15:33:26 957	7 finish getImage
15:33:26 959	 1:start getImage
15:33:26 959	 2 getImage times:0
15:33:26 975	3  GrabFrame times:0,result=
15:33:26 979	 5 ImageProcess result=
15:33:26 982	7 finish getImage
15:33:27 148	 1:start getImage
15:33:27 149	 2 getImage times:0
15:33:27 149	3  GrabFrame times:0,result=
15:33:27 154	 5 ImageProcess result=
15:33:27 156	7 finish getImage
15:33:27 158	 1:start getImage
15:33:27 159	 2 getImage times:0
15:33:27 175	3  GrabFrame times:0,result=
15:33:27 179	 5 ImageProcess result=
15:33:27 182	7 finish getImage
15:33:27 348	 1:start getImage
15:33:27 348	 2 getImage times:0
15:33:27 349	3  GrabFrame times:0,result=
15:33:27 353	 5 ImageProcess result=
15:33:27 356	7 finish getImage
15:33:27 358	 1:start getImage
15:33:27 358	 2 getImage times:0
15:33:27 375	3  GrabFrame times:0,result=
15:33:27 379	 5 ImageProcess result=
15:33:27 382	7 finish getImage
15:33:27 550	 1:start getImage
15:33:27 550	 2 getImage times:0
15:33:27 551	3  GrabFrame times:0,result=
15:33:27 555	 5 ImageProcess result=
15:33:27 558	7 finish getImage
15:33:27 560	 1:start getImage
15:33:27 561	 2 getImage times:0
15:33:27 575	3  GrabFrame times:0,result=
15:33:27 580	 5 ImageProcess result=
15:33:27 583	7 finish getImage
15:33:27 749	 1:start getImage
15:33:27 750	 2 getImage times:0
15:33:27 751	3  GrabFrame times:0,result=
15:33:27 755	 5 ImageProcess result=
15:33:27 758	7 finish getImage
15:33:27 760	 1:start getImage
15:33:27 760	 2 getImage times:0
15:33:27 775	3  GrabFrame times:0,result=
15:33:27 779	 5 ImageProcess result=
15:33:27 782	7 finish getImage
15:33:27 949	 1:start getImage
15:33:27 949	 2 getImage times:0
15:33:27 950	3  GrabFrame times:0,result=
15:33:27 954	 5 ImageProcess result=
15:33:27 957	7 finish getImage
15:33:27 959	 1:start getImage
15:33:27 959	 2 getImage times:0
15:33:27 975	3  GrabFrame times:0,result=
15:33:27 980	 5 ImageProcess result=
15:33:27 982	7 finish getImage
15:33:28 148	 1:start getImage
15:33:28 148	 2 getImage times:0
15:33:28 149	3  GrabFrame times:0,result=
15:33:28 153	 5 ImageProcess result=
15:33:28 156	7 finish getImage
15:33:28 158	 1:start getImage
15:33:28 159	 2 getImage times:0
15:33:28 175	3  GrabFrame times:0,result=
15:33:28 179	 5 ImageProcess result=
15:33:28 182	7 finish getImage
15:33:28 349	 1:start getImage
15:33:28 349	 2 getImage times:0
15:33:28 350	3  GrabFrame times:0,result=
15:33:28 355	 5 ImageProcess result=
15:33:28 358	7 finish getImage
15:33:28 360	 1:start getImage
15:33:28 360	 2 getImage times:0
15:33:28 374	3  GrabFrame times:0,result=
15:33:28 379	 5 ImageProcess result=
15:33:28 382	7 finish getImage
15:33:28 549	 1:start getImage
15:33:28 549	 2 getImage times:0
15:33:28 550	3  GrabFrame times:0,result=
15:33:28 555	 5 ImageProcess result=
15:33:28 558	7 finish getImage
15:33:28 560	 1:start getImage
15:33:28 561	 2 getImage times:0
15:33:28 575	3  GrabFrame times:0,result=
15:33:28 579	 5 ImageProcess result=
15:33:28 582	7 finish getImage
15:33:28 748	 1:start getImage
15:33:28 748	 2 getImage times:0
15:33:28 749	3  GrabFrame times:0,result=
15:33:28 753	 5 ImageProcess result=
15:33:28 756	7 finish getImage
15:33:28 758	 1:start getImage
15:33:28 758	 2 getImage times:0
15:33:28 775	3  GrabFrame times:0,result=
15:33:28 779	 5 ImageProcess result=
15:33:28 782	7 finish getImage
15:33:28 949	 1:start getImage
15:33:28 949	 2 getImage times:0
15:33:28 950	3  GrabFrame times:0,result=
15:33:28 955	 5 ImageProcess result=
15:33:28 957	7 finish getImage
15:33:28 959	 1:start getImage
15:33:28 960	 2 getImage times:0
15:33:28 975	3  GrabFrame times:0,result=
15:33:28 979	 5 ImageProcess result=
15:33:28 982	7 finish getImage
15:33:29 148	 1:start getImage
15:33:29 148	 2 getImage times:0
15:33:29 149	3  GrabFrame times:0,result=
15:33:29 154	 5 ImageProcess result=
15:33:29 156	7 finish getImage
15:33:29 158	 1:start getImage
15:33:29 159	 2 getImage times:0
15:33:29 175	3  GrabFrame times:0,result=
15:33:29 179	 5 ImageProcess result=
15:33:29 182	7 finish getImage
15:33:29 348	 1:start getImage
15:33:29 348	 2 getImage times:0
15:33:29 349	3  GrabFrame times:0,result=
15:33:29 354	 5 ImageProcess result=
15:33:29 356	7 finish getImage
15:33:29 358	 1:start getImage
15:33:29 359	 2 getImage times:0
15:33:29 375	3  GrabFrame times:0,result=
15:33:29 380	 5 ImageProcess result=
15:33:29 382	7 finish getImage
15:33:29 548	 1:start getImage
15:33:29 548	 2 getImage times:0
15:33:29 549	3  GrabFrame times:0,result=
15:33:29 554	 5 ImageProcess result=
15:33:29 557	7 finish getImage
15:33:29 559	 1:start getImage
15:33:29 559	 2 getImage times:0
15:33:29 575	3  GrabFrame times:0,result=
15:33:29 580	 5 ImageProcess result=
15:33:29 583	7 finish getImage
15:33:29 748	 1:start getImage
