00:02:41 902	 5 ImageProcess result=
00:02:41 905	7 finish getImage
00:02:42 711	 1:start getImage
00:02:42 711	 2 getImage times:0
00:02:42 712	3  GrabFrame times:0,result=
00:02:42 718	 5 ImageProcess result=
00:02:42 721	7 finish getImage
00:02:42 723	 1:start getImage
00:02:42 723	 2 getImage times:0
00:02:42 738	3  GrabFrame times:0,result=
00:02:42 743	 5 ImageProcess result=
00:02:42 746	7 finish getImage
00:02:43 238	 1:start getImage
00:02:43 238	 2 getImage times:0
00:02:43 239	3  GrabFrame times:0,result=
00:02:43 244	 5 ImageProcess result=
00:02:43 247	7 finish getImage
00:02:43 249	 1:start getImage
00:02:43 249	 2 getImage times:0
00:02:43 257	3  GrabFrame times:0,result=
00:02:43 262	 5 ImageProcess result=
00:02:43 265	7 finish getImage
00:02:43 757	 1:start getImage
00:02:43 757	 2 getImage times:0
00:02:43 758	3  GrabFrame times:0,result=
00:02:43 763	 5 ImageProcess result=
00:02:43 766	7 finish getImage
00:02:43 768	 1:start getImage
00:02:43 769	 2 getImage times:0
00:02:43 777	3  GrabFrame times:0,result=
00:02:43 782	 5 ImageProcess result=
00:02:43 785	7 finish getImage
00:02:44 284	 1:start getImage
00:02:44 284	 2 getImage times:0
00:02:44 285	3  GrabFrame times:0,result=
00:02:44 290	 5 ImageProcess result=
00:02:44 293	7 finish getImage
00:02:44 294	 1:start getImage
00:02:44 294	 2 getImage times:0
00:02:44 297	3  GrabFrame times:0,result=
00:02:44 303	 5 ImageProcess result=
00:02:44 306	7 finish getImage
00:02:46 102	 1:start getImage
00:02:46 103	 2 getImage times:0
00:02:46 104	3  GrabFrame times:0,result=
00:02:46 109	 5 ImageProcess result=
00:02:46 112	7 finish getImage
00:02:46 113	 1:start getImage
00:02:46 114	 2 getImage times:0
00:02:46 136	3  GrabFrame times:0,result=
00:02:46 142	 5 ImageProcess result=
00:02:46 145	7 finish getImage
00:02:46 634	 1:start getImage
00:02:46 634	 2 getImage times:0
00:02:46 635	3  GrabFrame times:0,result=
00:02:46 641	 5 ImageProcess result=
00:02:46 644	7 finish getImage
00:02:46 645	 1:start getImage
00:02:46 645	 2 getImage times:0
00:02:46 656	3  GrabFrame times:0,result=
00:02:46 661	 5 ImageProcess result=
00:02:46 664	7 finish getImage
00:02:47 154	 1:start getImage
00:02:47 155	 2 getImage times:0
00:02:47 155	3  GrabFrame times:0,result=
00:02:47 160	 5 ImageProcess result=
00:02:47 164	7 finish getImage
00:02:47 165	 1:start getImage
00:02:47 165	 2 getImage times:0
00:02:47 176	3  GrabFrame times:0,result=
00:02:47 181	 5 ImageProcess result=
00:02:47 184	7 finish getImage
00:02:47 674	 1:start getImage
00:02:47 674	 2 getImage times:0
00:02:47 675	3  GrabFrame times:0,result=
00:02:47 680	 5 ImageProcess result=
00:02:47 684	7 finish getImage
00:02:47 685	 1:start getImage
00:02:47 685	 2 getImage times:0
00:02:47 696	3  GrabFrame times:0,result=
00:02:47 701	 5 ImageProcess result=
00:02:47 704	7 finish getImage
00:02:48 194	 1:start getImage
00:02:48 194	 2 getImage times:0
00:02:48 195	3  GrabFrame times:0,result=
00:02:48 200	 5 ImageProcess result=
00:02:48 203	7 finish getImage
00:02:48 205	 1:start getImage
00:02:48 206	 2 getImage times:0
00:02:48 215	3  GrabFrame times:0,result=
00:02:48 220	 5 ImageProcess result=
00:02:48 224	7 finish getImage
00:02:48 716	 1:start getImage
00:02:48 716	 2 getImage times:0
00:02:48 717	3  GrabFrame times:0,result=
00:02:48 722	 5 ImageProcess result=
00:02:48 726	7 finish getImage
00:02:48 728	 1:start getImage
00:02:48 728	 2 getImage times:0
00:02:48 735	3  GrabFrame times:0,result=
00:02:48 740	 5 ImageProcess result=
00:02:48 744	7 finish getImage
00:02:49 236	 1:start getImage
00:02:49 236	 2 getImage times:0
00:02:49 237	3  GrabFrame times:0,result=
00:02:49 242	 5 ImageProcess result=
00:02:49 246	7 finish getImage
00:02:49 248	 1:start getImage
00:02:49 248	 2 getImage times:0
00:02:49 255	3  GrabFrame times:0,result=
00:02:49 261	 5 ImageProcess result=
00:02:49 264	7 finish getImage
00:02:49 762	 1:start getImage
00:02:49 762	 2 getImage times:0
00:02:49 763	3  GrabFrame times:0,result=
00:02:49 769	 5 ImageProcess result=
00:02:49 772	7 finish getImage
00:02:49 773	 1:start getImage
00:02:49 773	 2 getImage times:0
00:02:49 775	3  GrabFrame times:0,result=
00:02:49 780	 5 ImageProcess result=
00:02:49 784	7 finish getImage
00:02:50 272	 1:start getImage
00:02:50 273	 2 getImage times:0
