10:34:19 364	 start loadBaseParameter
10:34:24 567	 start loadBaseParameter
10:34:29 348	 start loadBaseParameter
10:34:34 191	 start loadBaseParameter
10:34:39 003	 start setSN
10:34:39 003	 start setSN
10:34:39 003	 start setSN
10:34:39 003	 start setSN
10:34:39 019	 start loadPinDef
10:34:39 035	 finished loadPinDef
10:34:39 035	 start loadPinDef
10:34:39 050	 finished loadPinDef
10:34:39 050	 start loadPinDef
10:34:39 050	 finished loadPinDef
10:34:39 066	 start loadPinDef
10:34:39 066	 finished loadPinDef
11:26:26 478	 start setSN
11:26:26 478	 start setSN
11:26:26 478	 start setSN
11:26:26 494	 start setSN
11:27:43 623	 start loadPinDef
11:27:43 654	 finished loadPinDef
11:27:43 670	 start setSN
11:27:43 670	start cam_stop 
11:27:43 795	finish cam_stop 
11:27:44 014	start cam_stop 
11:27:44 139	finish cam_stop 
11:27:44 139	 start Playnew
11:27:44 139	into cam_play:deviceID0 
11:27:44 154	openDevice:deviceID0 
11:27:44 342	开始sensor power:deviceID 0 
11:27:44 717	完成sensor power:deviceID 0 
11:27:44 748	完成Pin set:deviceID 0 
11:27:45 092	完成I2C set:deviceID 0 
11:27:45 248	start InitSensor :deviceID 0 
11:27:45 732	完成 InitSensor  :deviceID 0 
11:27:45 732	set image format  :deviceID 0 
11:27:45 779	start Video :deviceID 0 
11:27:45 795	malloc memory :deviceID 0 
11:27:45 810	disable ISX019 AE :deviceID 0 
11:27:45 810	 WriteI2C:34,0,998,0 
11:27:45 810	 write I2C 0x998
11:27:46 764	finished play :deviceID 0 
11:27:46 779	 1:start getImage
11:27:46 779	 2 getImage times:0
11:27:46 795	3  GrabFrame times:0,result=
11:27:46 795	 5 ImageProcess result=
11:27:46 810	7 finish getImage
11:27:46 810	 1:start getImage
11:27:46 826	 2 getImage times:0
11:27:46 826	3  GrabFrame times:0,result=
11:27:46 826	 5 ImageProcess result=
11:27:46 826	7 finish getImage
11:27:47 295	 1:start getImage
11:27:47 295	 2 getImage times:0
11:27:47 310	3  GrabFrame times:0,result=
11:27:47 326	 5 ImageProcess result=
11:27:47 326	7 finish getImage
11:27:47 326	 1:start getImage
11:27:47 342	 2 getImage times:0
11:27:47 342	3  GrabFrame times:0,result=
11:27:47 342	 5 ImageProcess result=
11:27:47 357	7 finish getImage
11:27:47 545	 1:start getImage
11:27:47 545	 2 getImage times:0
11:27:47 545	3  GrabFrame times:0,result=
11:27:47 576	 5 ImageProcess result=
11:27:47 576	7 finish getImage
