13:11:28 089	 start loadBaseParameter
13:11:33 917	 start loadBaseParameter
13:11:38 901	 start loadBaseParameter
13:11:43 565	 start loadBaseParameter
13:11:48 392	 start setSN
13:11:48 408	 start setSN
13:11:48 408	 start setSN
13:11:48 408	 start setSN
13:11:48 439	 start loadPinDef
13:11:48 470	 finished loadPinDef
13:11:48 477	 start loadPinDef
13:11:48 493	 finished loadPinDef
13:11:48 508	 start loadPinDef
13:11:48 508	 finished loadPinDef
13:11:48 524	 start loadPinDef
13:11:48 524	 finished loadPinDef
14:59:26 235	 start setSN
14:59:26 235	 start setSN
14:59:26 235	 start setSN
14:59:26 235	 start setSN
15:00:29 087	 start loadPinDef
15:00:29 118	 finished loadPinDef
15:00:29 150	 start setSN
15:00:31 165	start cam_stop 
15:00:31 290	finish cam_stop 
15:00:31 290	 start Playnew
15:00:31 290	into cam_play:deviceID3 
15:00:31 290	openDevice:deviceID3 
15:00:31 431	开始sensor power:deviceID 3 
15:00:31 806	完成sensor power:deviceID 3 
15:00:31 837	完成Pin set:deviceID 3 
15:00:32 165	完成I2C set:deviceID 3 
15:00:32 321	start InitSensor :deviceID 3 
15:00:32 806	完成 InitSensor  :deviceID 3 
15:00:32 806	set image format  :deviceID 3 
15:00:32 853	start Video :deviceID 3 
15:00:32 868	malloc memory :deviceID 3 
15:00:32 884	disable ISX019 AE :deviceID 3 
15:00:32 884	 WriteI2C:34,0,998,0 
15:00:32 884	 write I2C 0x998
15:00:33 837	finished play :deviceID 3 
15:00:35 843	 1:start getImage
15:00:35 843	 2 getImage times:0
15:00:35 843	3  GrabFrame times:0,result=
15:00:35 843	 5 ImageProcess result=
15:00:35 859	7 finish getImage
15:00:35 859	 1:start getImage
15:00:35 859	 2 getImage times:0
15:00:35 859	3  GrabFrame times:0,result=
15:00:35 874	 5 ImageProcess result=
15:00:35 890	7 finish getImage
15:01:43 026	 1:start getImage
15:01:43 026	 2 getImage times:0
15:01:43 026	3  GrabFrame times:0,result=
15:01:43 057	 5 ImageProcess result=
15:01:43 057	7 finish getImage
15:01:43 073	 1:start getImage
15:01:43 073	 2 getImage times:0
