18:08:13 188	 start loadBaseParameter
18:08:16 130	 start loadBaseParameter
18:08:18 454	 start loadBaseParameter
18:08:20 946	 start loadBaseParameter
18:08:23 376	 start setSN
18:08:23 377	 start setSN
18:08:23 378	 start setSN
18:08:23 379	 start setSN
18:08:23 381	 start loadPinDef
18:08:23 389	 finished loadPinDef
18:08:23 395	 start loadPinDef
18:08:23 399	 finished loadPinDef
18:08:23 404	 start loadPinDef
18:08:23 409	 finished loadPinDef
18:08:23 414	 start loadPinDef
18:08:23 418	 finished loadPinDef
18:09:05 110	 start loadBaseParameter
18:09:07 641	 start loadBaseParameter
18:09:10 133	 start loadBaseParameter
18:09:12 628	 start loadBaseParameter
18:09:15 163	 start setSN
18:09:15 164	 start setSN
18:09:15 165	 start setSN
18:09:15 167	 start setSN
18:09:15 170	 start loadPinDef
18:09:15 177	 finished loadPinDef
18:09:15 184	 start loadPinDef
18:09:15 190	 finished loadPinDef
18:09:15 197	 start loadPinDef
18:09:15 202	 finished loadPinDef
18:09:15 205	 start loadPinDef
18:09:15 208	 finished loadPinDef
18:10:16 414	 start setSN
18:10:16 415	 start setSN
18:10:16 415	 start setSN
18:10:16 415	 start setSN
18:11:08 407	 start setSN
18:11:10 408	start cam_stop 
18:11:10 511	finish cam_stop 
18:11:10 511	 start Playnew
18:11:10 511	into cam_play:deviceID0 
18:11:10 512	openDevice:deviceID0 
18:11:10 629	开始sensor power:deviceID 0 
18:11:10 924	完成sensor power:deviceID 0 
18:11:10 935	完成Pin set:deviceID 0 
18:11:11 216	完成I2C set:deviceID 0 
18:11:11 333	start InitSensor :deviceID 0 
18:11:11 798	start InitSensor failed 1 times :deviceID 0 
18:11:11 939	start InitSensor failed 2 times :deviceID 0 
18:11:12 580	start cam_stop 
18:11:12 695	finish cam_stop 
18:11:12 897	 start Playnew
18:11:12 897	into cam_play:deviceID0 
18:11:12 897	openDevice:deviceID0 
18:11:13 020	开始sensor power:deviceID 0 
18:11:13 315	完成sensor power:deviceID 0 
18:11:13 326	完成Pin set:deviceID 0 
18:11:13 608	完成I2C set:deviceID 0 
18:11:13 726	start InitSensor :deviceID 0 
18:11:14 266	完成 InitSensor  :deviceID 0 
18:11:14 267	set image format  :deviceID 0 
18:11:14 296	start Video :deviceID 0 
18:11:14 317	malloc memory :deviceID 0 
18:11:14 332	finished play :deviceID 0 
18:11:14 333	start cam_stop 
18:11:14 458	finish cam_stop 
18:11:14 458	 start Playnew
18:11:14 458	into cam_play:deviceID0 
18:11:14 459	openDevice:deviceID0 
18:11:14 582	开始sensor power:deviceID 0 
18:11:14 877	完成sensor power:deviceID 0 
18:11:14 888	完成Pin set:deviceID 0 
18:11:15 168	完成I2C set:deviceID 0 
18:11:15 285	start InitSensor :deviceID 0 
18:11:15 820	完成 InitSensor  :deviceID 0 
18:11:15 820	set image format  :deviceID 0 
18:11:15 838	start Video :deviceID 0 
18:11:15 845	malloc memory :deviceID 0 
18:11:15 848	finished play :deviceID 0 
18:11:17 855	 start getImage
18:11:17 856	  getImage times:0
18:11:17 881	 finish getImage
18:11:17 885	 start getImage
18:11:17 886	  getImage times:0
18:11:18 489	 finish getImage
18:11:36 367	 start setSN
18:11:38 368	start cam_stop 
18:11:38 469	finish cam_stop 
18:11:38 469	 start Playnew
18:11:38 469	into cam_play:deviceID1 
18:11:38 470	openDevice:deviceID1 
18:11:38 764	开始sensor power:deviceID 1 
18:11:39 059	完成sensor power:deviceID 1 
18:11:39 071	完成Pin set:deviceID 1 
18:11:39 352	完成I2C set:deviceID 1 
18:11:39 469	start InitSensor :deviceID 1 
18:11:39 893	start InitSensor failed 1 times :deviceID 1 
18:11:40 418	start InitSensor failed 2 times :deviceID 1 
18:11:40 944	start InitSensor failed 3 times :deviceID 1 
18:11:40 945	start cam_stop 
18:11:41 057	finish cam_stop 
18:11:41 258	 start Playnew
18:11:41 259	into cam_play:deviceID1 
18:11:41 260	openDevice:deviceID1 
18:11:41 607	开始sensor power:deviceID 1 
18:11:41 904	完成sensor power:deviceID 1 
18:11:41 916	完成Pin set:deviceID 1 
18:11:42 197	完成I2C set:deviceID 1 
18:11:42 314	start InitSensor :deviceID 1 
18:11:42 737	start InitSensor failed 1 times :deviceID 1 
18:11:43 263	start InitSensor failed 2 times :deviceID 1 
18:11:43 788	start InitSensor failed 3 times :deviceID 1 
18:11:43 789	start cam_stop 
18:11:43 900	finish cam_stop 
18:11:43 901	 start Playnew
18:11:43 901	into cam_play:deviceID1 
18:11:43 901	openDevice:deviceID1 
18:11:44 215	开始sensor power:deviceID 1 
