SN,时间,色温,R/G,B/G,R,G,B
产品SN,14：22：35,k5500,1.45732833530242,0.680305541419155,72.4449723571371,49.7108102561551,33.8185396856985
产品SN,14：49：55,k5500,1.45732833530242,0.680305541419155,72.4449723571371,49.7108102561551,33.8185396856985
