SN, LS_Res, LS_UL, LS_UR, LS_LL, LS_LR, LS_Delta, 
0000139018_ImageTest,Pass,35.208, 35.907, 37.187, 36.561, 1.979,
A00006ABF24C1A0020-X_133042699_pass_srcImg,Fail,9.727, 9.714, 9.727, 9.719, 0.013,
