SN, HP_Res, HP_SingleCount, HP_DoubleCount, HP_MultipleCount, 
0000139018_ImageTest,Fail,134, 859, 257709,
A00006ABF24C1A0020-X_133042699_pass_srcImg,Fail,27, 260, 7588,
