TName,Bin,Filter,R1,NumLevels,AngleExtent,MinContrast,R2,SourceImage,LowLimit,Subpixel,R3
1111,20,1,*,4,40,10,*,1,30,1,*
Mark_1,20,1,*,4,40,10,*,1,30,1,*
